"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
1,0,0.066,0.066,10.133,10.133,10.2,30.5,30.633,118.233,118.8,276,276.5
2,28.033,30.5,10.2,10.333,10.333,10.4,30.766,36.966,121.833,121.866,523.133,527.066
3,30.633,30.766,10.4,10.766,10.766,10.8,81.866,84.766,122.366,122.766,584.166,588.4
4,36.966,37.9,10.8,10.866,10.866,10.9,101.066,118.233,123,123.433,1207.2,1213.766
5,72.666,81.866,10.9,11.666,11.666,11.7,118.8,121.833,123.933,124.266,2528.9,2532.833
6,84.766,87.1,11.7,13.033,13.033,13.066,121.866,122.366,124.633,124.733,2580.566,2585.066
7,91.266,93.433,13.066,13.566,13.566,13.733,122.766,123,127.933,128.2,2653.066,2654.5
8,98.433,101.066,13.733,13.8,13.8,14.166,123.433,123.933,128.266,128.8,2823.933,2829
9,129.033,129.666,14.166,14.2,14.2,17.966,124.266,124.633,209.5,209.7,2870.433,2873.733
10,201.266,208.433,17.966,19.9,19.9,20.066,124.733,127.933,209.733,209.766,4128.766,4133.966
11,210.3,210.933,20.066,20.933,20.933,22.6,128.2,128.266,219.4,220.2,5271.966,5276.5
12,214.633,215.533,22.6,28.033,45,45.366,128.8,129.033,266.366,266.8,5799.033,5799.566
13,220.533,225.333,37.9,45,46.133,47.133,208.433,209.5,275.333,275.833,11645.998,11648.098
14,251.666,258.366,45.366,46.133,47.366,47.4,209.7,209.733,275.9,275.933,12045.465,12047.765
15,260.833,263.766,47.133,47.366,47.5,47.9,209.766,210.3,288.333,288.366,12177.731,12179.298
16,321.266,327.833,47.4,47.5,47.933,47.966,215.533,219.4,288.433,288.566,12291.998,12301.565
17,381.266,382.066,47.9,47.933,48,48.266,220.2,220.533,288.866,288.9,12672.398,12677.631
18,383.3,386.233,47.966,48,48.3,48.333,225.333,251.666,289.066,289.133,13119.831,13128.498
19,457.966,462.366,48.266,48.3,48.733,48.933,258.366,260.833,289.7,289.733,13130.698,13134.265
20,483.166,484.066,48.333,48.733,50.5,56.2,263.766,266.366,289.766,291.166,13180.331,13184.431
21,529.666,531.733,48.933,50.5,56.3,56.5,266.8,275.333,291.2,291.333,13235.098,13239.465
22,608.266,619.766,56.2,56.3,56.533,56.666,275.833,275.9,292.566,293.166,13257.498,13260.765
23,902.466,924.466,56.5,56.533,56.766,58.366,275.933,276,293.2,294.8,13270.465,13277.731
24,924.8,925.333,56.666,56.766,58.833,59.266,276.5,288.333,295.033,295.5,13282.998,13288.098
25,939.766,947.1,58.366,58.833,59.333,59.633,288.366,288.433,295.533,295.566,13316.365,13317.931
26,957.066,957.6,59.266,59.333,59.666,60.466,288.566,288.866,295.6,295.866,13318.731,13320.898
27,1077.233,1092.933,59.633,59.666,61.4,61.466,288.9,289.066,296.566,297.2,13443.898,13450.965
28,1093.033,1123.933,60.466,61.4,61.5,61.666,289.133,289.7,297.766,299.033,13597.931,13601.165
29,1156.133,1170.766,61.466,61.5,71.366,71.4,289.733,289.766,299.1,299.4,13982.998,13987.898
30,1178.266,1183,61.666,71.366,71.566,71.7,291.166,291.2,299.5,299.533,13989.331,13993.331
31,1228.466,1241.366,71.4,71.566,71.966,72.466,291.333,292.566,315.333,315.366,14217.931,14220.031
32,1253.4,1254.533,71.7,71.966,72.566,72.6,293.166,293.2,315.4,316.166,14433.031,14436.598
33,1323.033,1323.666,72.466,72.566,89.533,90.7,294.8,295.033,317,317.433,14691.698,14695.598
34,1430.733,1435.5,72.6,72.666,96.266,97.933,295.5,295.533,317.5,318.533,14764.464,14766.698
35,1435.633,1435.833,87.1,89.533,145.166,145.366,295.566,295.6,318.666,319.066,14960.298,14965.331
36,1443.1,1445.3,90.7,91.266,147.266,148,295.866,296.566,319.633,319.666,16261.964,16262.764
37,1491.466,1492.933,93.433,96.266,154.7,155.4,297.2,297.766,319.766,319.833,16433.131,16434.998
38,1499.9,1515.266,97.933,98.433,156,157.966,299.033,299.1,328.566,328.633,16999.864,17000.064
39,1534.8,1571.833,129.666,145.166,158.133,160.2,299.4,299.5,329.766,335.6,17094.298,17095.431
40,1596.033,1596.466,145.366,147.266,160.3,160.5,299.533,315.333,335.733,335.866,17326.964,17328.364
41,1608.466,1623.766,148,154.7,160.6,162.533,315.366,315.4,342.366,342.733,17397.031,17399.964
42,1638.366,1655.366,155.4,156,163.566,163.666,316.166,317,344.833,345.1,17528.698,17532.531
43,1664.166,1667.566,157.966,158.133,164.3,164.933,317.433,317.5,345.266,345.3,NA,NA
44,1720.633,1722.7,160.2,160.3,165.1,165.666,318.533,318.666,346.033,346.766,NA,NA
45,1727.8,1740.266,160.5,160.6,166.333,166.8,319.066,319.633,346.8,350.166,NA,NA
46,1740.666,1741.033,162.533,163.566,166.933,168.233,319.666,319.766,351.066,351.7,NA,NA
47,1741.7,1762.3,163.666,164.3,168.3,169.7,319.833,321.266,352.1,352.166,NA,NA
48,1961.6,1968.6,164.933,165.1,169.9,170.9,327.833,328.566,352.566,359.5,NA,NA
49,1978.733,1995.1,165.666,166.333,172.766,175.833,328.633,329.766,359.7,362.7,NA,NA
50,2006,2023.266,166.8,166.933,175.966,176.833,335.6,335.733,367.1,367.133,NA,NA
51,2024.6,2025.333,168.233,168.3,176.933,177,335.866,342.366,375.4,375.666,NA,NA
52,2025.866,2025.966,169.7,169.9,177.433,177.833,342.733,344.833,375.7,375.766,NA,NA
53,2157.2,2198.866,170.9,172.766,177.9,178.066,345.1,345.266,382.066,382.333,NA,NA
54,2256.7,2278.866,175.833,175.966,178.1,178.3,345.3,346.033,546.266,546.333,NA,NA
55,2302.666,2314.333,176.833,176.933,178.333,178.366,346.766,346.8,549.7,549.766,NA,NA
