"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
454,NA,NA,12822.266,12829.766,13560.466,13560.699,NA,NA,NA,NA,NA,NA
455,NA,NA,12829.966,12830.832,13561.132,13562.166,NA,NA,NA,NA,NA,NA
456,NA,NA,12835.566,12843.066,13562.299,13566.799,NA,NA,NA,NA,NA,NA
457,NA,NA,12843.132,12843.166,13566.999,13570.766,NA,NA,NA,NA,NA,NA
458,NA,NA,12843.199,12848.132,13570.832,13571.566,NA,NA,NA,NA,NA,NA
459,NA,NA,12848.732,12848.999,13583.799,13584.932,NA,NA,NA,NA,NA,NA
460,NA,NA,12860.666,12860.732,13836.099,13836.166,NA,NA,NA,NA,NA,NA
461,NA,NA,12863.032,12864.432,13837.232,13837.299,NA,NA,NA,NA,NA,NA
462,NA,NA,12867.832,12867.899,13837.566,13837.632,NA,NA,NA,NA,NA,NA
463,NA,NA,12868.766,12868.832,13837.932,13840.666,NA,NA,NA,NA,NA,NA
464,NA,NA,13180.299,13181.966,13841.499,13844.499,NA,NA,NA,NA,NA,NA
465,NA,NA,13183.232,13184.499,13846.166,13846.232,NA,NA,NA,NA,NA,NA
466,NA,NA,13184.566,13184.732,13846.299,13846.332,NA,NA,NA,NA,NA,NA
467,NA,NA,13189.266,13192.299,13849.932,13850.199,NA,NA,NA,NA,NA,NA
468,NA,NA,13192.399,13226.799,13850.232,13852.399,NA,NA,NA,NA,NA,NA
469,NA,NA,13232.966,13235.099,13855.632,13855.766,NA,NA,NA,NA,NA,NA
470,NA,NA,13324.132,13324.932,13858.866,13859.732,NA,NA,NA,NA,NA,NA
471,NA,NA,13328.399,13333.266,13860.466,13864.099,NA,NA,NA,NA,NA,NA
472,NA,NA,13340.932,13346.532,13865.032,13866.432,NA,NA,NA,NA,NA,NA
473,NA,NA,13347.266,13349.266,13866.632,13873.499,NA,NA,NA,NA,NA,NA
474,NA,NA,13350.066,13351.066,13886.499,13888.099,NA,NA,NA,NA,NA,NA
475,NA,NA,13351.132,13354.666,13896.332,13896.866,NA,NA,NA,NA,NA,NA
476,NA,NA,13362.199,13364.466,13897.732,13899.132,NA,NA,NA,NA,NA,NA
477,NA,NA,13365.532,13367.066,13937.066,13938.066,NA,NA,NA,NA,NA,NA
478,NA,NA,13367.332,13381.932,13944.299,13944.832,NA,NA,NA,NA,NA,NA
479,NA,NA,13384.199,13386.866,13945.032,13945.499,NA,NA,NA,NA,NA,NA
480,NA,NA,13387.132,13388.132,13945.566,13949.566,NA,NA,NA,NA,NA,NA
481,NA,NA,13388.199,13392.132,13955.966,13957.099,NA,NA,NA,NA,NA,NA
482,NA,NA,13392.532,13392.732,13958.832,13958.866,NA,NA,NA,NA,NA,NA
483,NA,NA,13395.199,13443.232,13959.566,13959.599,NA,NA,NA,NA,NA,NA
484,NA,NA,13445.766,13559.699,13959.632,13959.832,NA,NA,NA,NA,NA,NA
485,NA,NA,13560.432,13560.466,13960.066,13960.199,NA,NA,NA,NA,NA,NA
486,NA,NA,13560.699,13561.132,14008.632,14011.199,NA,NA,NA,NA,NA,NA
487,NA,NA,13562.166,13562.299,14011.466,14013.199,NA,NA,NA,NA,NA,NA
488,NA,NA,13566.799,13566.999,14014.799,14015.032,NA,NA,NA,NA,NA,NA
489,NA,NA,13570.766,13570.832,14015.099,14016.832,NA,NA,NA,NA,NA,NA
490,NA,NA,13571.566,13583.799,14017.899,14018.032,NA,NA,NA,NA,NA,NA
