"X1","Right_start","Right_stop","Unknown_start","Unknown_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop"
62,581.633,593.9,NA,NA,1831.3,1843.866,508.066,508.333,607.9,608.1,1331.333,1331.533
63,615.166,615.733,NA,NA,1844.033,1845.233,508.4,508.6,638.766,638.9,1335,1335.2
64,617.666,617.966,NA,NA,1848.366,1852.066,508.733,509.533,639.566,640.266,1338.366,1338.7
65,620.666,625.8,NA,NA,1855.233,1858.533,509.933,510,646.366,646.9,1339.1,1339.166
66,630.633,630.8,NA,NA,1865.133,1872.133,510.033,510.066,648.533,648.766,1340.733,1340.833
67,666.066,689.766,NA,NA,1878.9,1880.7,510.1,515.466,652.133,652.2,1340.933,1341.1
68,704.166,704.8,NA,NA,1885.833,1889.1,522.2,525.533,652.233,653.733,1344,1344.166
69,704.833,765.666,NA,NA,1895.5,1900.166,594.666,598.933,655.166,657.166,1509.3,1510.733
70,770.033,776.266,NA,NA,1904.033,1911,599.633,600.433,658.733,658.833,1512.666,1513.233
71,866.033,881.066,NA,NA,1911.6,1914.266,602.366,602.433,777.633,778.266,1518.933,1520.566
72,881.266,886.766,NA,NA,1914.733,1914.9,602.566,602.7,778.4,778.433,1523.2,1523.266
73,921.8,922.9,NA,NA,1914.933,1915.033,602.933,603,779.833,790.033,1524.533,1525.866
74,923.066,923.2,NA,NA,2138.2,2142,604.166,607.833,790.166,798.433,1526.033,1526.1
75,923.233,994.6,NA,NA,2185.633,2203,607.866,607.9,799.233,800.5,1526.833,1527.333
76,996.4,997.266,NA,NA,2237.266,2245.033,608.1,608.8,805.766,806.1,1527.833,1528.466
77,1033.766,1043.566,NA,NA,2277.233,2302.866,608.9,611.733,806.333,806.4,1575.2,1576.466
78,1051.433,1099.533,NA,NA,2311.033,2313.433,637.966,638.766,807.433,807.833,1576.933,1577.5
79,1168.133,1217.433,NA,NA,2453.6,2454.2,638.9,639.566,808,808.066,1578.266,1578.6
80,1275.7,1278.066,NA,NA,2457.133,2460.433,640.266,646.366,808.166,808.233,1578.633,1580.1
81,1289.633,1323.9,NA,NA,2575.066,2586.066,646.9,648.533,810.366,810.433,1580.366,1580.933
82,1323.966,1324.033,NA,NA,2606.466,2606.666,648.766,652.133,811.133,811.2,1582.8,1583.866
83,1324.1,1324.166,NA,NA,2609.6,2617.233,652.2,652.233,812.366,812.4,1845.366,1845.433
84,1325.9,1326.8,NA,NA,2641.833,2644.266,653.733,655.166,836.133,836.333,1863.166,1863.266
85,1327.466,1327.566,NA,NA,2649.866,2650.4,657.166,658.733,838.433,838.466,1863.8,1863.866
86,1327.7,1329.766,NA,NA,2678.9,2683.633,658.833,661.366,838.533,838.566,1874,1874.166
87,1329.833,1330.9,NA,NA,2787.8,2790.766,661.466,661.933,850.833,850.9,1874.733,1875.366
88,1331.033,1331.1,NA,NA,2797.066,2799.133,776.933,777.633,851.4,851.466,1875.433,1875.466
89,1331.133,1331.333,NA,NA,2817.3,2818.666,778.266,778.4,852.933,853,1875.5,1877
90,1331.533,1335,NA,NA,2836.7,2836.766,778.433,779.833,864.433,864.466,2161.133,2161.266
91,1335.2,1338.366,NA,NA,2836.8,2894.366,790.033,790.166,891.8,893.933,2161.466,2161.5
92,1338.7,1339.1,NA,NA,2894.633,2894.666,798.433,799.233,895.6,895.666,2161.7,2164.566
93,1339.166,1340.733,NA,NA,2903.633,2912.233,800.5,805.766,897.666,897.766,2165.033,2166.466
94,1340.833,1340.933,NA,NA,2919.266,2921.3,806.1,806.333,1005.5,1005.6,2169.4,2169.533
95,1341.1,1344,NA,NA,2928.2,2931,806.4,807.433,1005.7,1006.8,2171.666,2171.933
96,1344.166,1357,NA,NA,2938.8,2997.1,807.833,808,1009.333,1009.633,2172.133,2172.4
97,1506.9,1509.3,NA,NA,3000.6,3005.333,808.066,808.166,1009.9,1010.033,2172.666,2172.7
98,1510.733,1512.666,NA,NA,3009.733,3009.833,808.233,810.366,1012.733,1012.766,2172.866,2172.9
99,1513.233,1518.933,NA,NA,3011.4,3011.533,810.433,811.133,1021.333,1023.133,2172.966,2175.066
100,1520.566,1523.2,NA,NA,3012.533,3013.133,811.2,812.366,1024.933,1025,2176.6,2176.633
101,1523.266,1524.533,NA,NA,3014.8,3015.4,812.4,830.766,1116.833,1116.866,2176.733,2177.566
102,1525.866,1526.033,NA,NA,3015.533,3015.733,834.533,836.133,1119.4,1119.933,2178,2178.333
103,1526.1,1526.833,NA,NA,3061.733,3062.866,836.333,838.433,1122.433,1122.9,2180.3,2180.433
104,1527.333,1527.833,NA,NA,3072.7,3082.233,838.466,838.533,1123,1123.166,2180.9,2181.133
105,1528.466,1537.3,NA,NA,3137.7,3142.266,838.566,850.833,1123.2,1123.633,2181.2,2181.566
106,1569.133,1570.8,NA,NA,3179.6,3182.033,850.9,851.4,1125.433,1125.8,2181.833,2182.3
107,1576.466,1576.933,NA,NA,3182.366,3182.633,851.466,852.933,1127.466,1127.766,2182.6,2183.066
108,1577.5,1578.266,NA,NA,3182.7,3193.6,853,864.433,1128,1128.166,2184.566,2184.6
109,1578.6,1578.633,NA,NA,3195.433,3195.766,864.466,865.366,1134.566,1134.6,2320.666,2320.766
110,1580.1,1580.366,NA,NA,3203.3,3208.933,887.233,891.8,1135.066,1135.1,2320.833,2321.1
111,1580.933,1582.8,NA,NA,3228.333,3236.966,893.933,895.6,1135.666,1135.866,2331.333,2331.366
112,1583.866,1585.733,NA,NA,3237.3,3237.7,895.666,897.666,1136.166,1136.233,2331.4,2333.733
113,1777.566,1778.9,NA,NA,3237.933,3238.033,897.766,905.433,1136.4,1139.3,2335.066,2335.2
114,1779.2,1784.8,NA,NA,3255.1,3255.9,913.5,917.133,1139.433,1139.566,2335.933,2336
115,1786.766,1795.766,NA,NA,4363.499,4364.966,920.733,921.133,1140.866,1141.066,2339.9,2341.766
116,1843.866,1844.033,NA,NA,4393.299,4396.533,1000.733,1005.5,1141.266,1141.3,2344.033,2346.4
117,1845.233,1845.366,NA,NA,4408.133,4412.699,1005.6,1005.7,1143.2,1143.266,2346.533,2349.733
118,1845.433,1848.366,NA,NA,4417.299,4424.033,1006.8,1009.333,1145.733,1145.8,2350.966,2351.6
119,1858.533,1863.166,NA,NA,4470.266,4472.266,1009.633,1009.9,1147.466,1147.8,2353.2,2353.466
120,1863.266,1863.8,NA,NA,4472.299,4472.333,1010.033,1012.733,1151.866,1154.366,2356.3,2356.4
121,1863.866,1865.133,NA,NA,4484.833,4488.499,1012.766,1021.333,1155.366,1156.033,2356.433,2356.633
122,1872.133,1874,NA,NA,4490.699,4491.833,1023.133,1024.933,1156.333,1156.633,2437.666,2441.566
123,1874.166,1874.733,NA,NA,4497.199,4497.699,1025,1032.766,1158.266,1158.466,2589.666,2590
124,1875.366,1875.433,NA,NA,4499.833,4504.499,1108.266,1116.833,1160,1160.366,2590.4,2590.433
125,1875.466,1875.5,NA,NA,4522.866,4557.266,1116.866,1119.4,1162.666,1162.833,2590.666,2590.9
126,1877,1878.9,NA,NA,4584.866,4590.533,1119.933,1122.433,1162.966,1163.033,2591.966,2593.8
127,1889.1,1895.5,NA,NA,4608.499,4633.566,1122.9,1123,1226.466,1226.6,2600.333,2602.266
128,2143.1,2161.133,NA,NA,4649.399,4651.533,1123.166,1123.2,1226.9,1227.3,2606.7,2609.6
129,2161.266,2161.466,NA,NA,4673.999,4680.399,1123.633,1125.433,1227.533,1227.566,2645.633,2645.866
130,2161.5,2161.7,NA,NA,4685.866,4694.799,1125.8,1127.466,1228.9,1229,2658.333,2659.366
131,2164.566,2165.033,NA,NA,4697.833,4702.699,1127.766,1128,1234.1,1236.766,2660.366,2662.933
