"X1","Left_start","Left_stop","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Huddle_Center_start","Huddle_Center_stop"
51,290.6,290.9,2016,2016.167,1254.7,1254.734,1824.5,1826.2,386.4,386.8,11852.533,11854.666,NA,NA
52,291.067,294.7,2028.5,2042.567,1260.9,1268.667,1826.267,1826.6,387.134,395,11876.566,11883.6,NA,NA
53,294.834,295.967,2710.2,2711.1,1331.8,1389.134,1826.734,1827.334,395.067,395.534,12361.466,12365.2,NA,NA
54,360.867,361.334,2774.767,2775.3,1479.6,1479.7,1827.4,1827.534,397.134,397.4,12880.2,12880.9,NA,NA
55,361.667,367.134,2781.834,2792.067,1480.567,1480.667,1827.634,1827.7,400.2,400.334,12910.566,12913.166,NA,NA
56,367.6,371.6,3016.467,3016.833,1482.5,1483.434,1828.867,1828.9,400.534,401.467,13066.9,13067.566,NA,NA
57,371.667,383.734,3017.667,3020.7,1483.467,1483.6,1829.034,1829.167,402.334,402.867,13153.2,13153.5,NA,NA
58,384.4,386.4,3028.633,3029.4,1484.034,1484.067,1829.2,1829.367,403.2,404.134,13190.633,13196.3,NA,NA
59,386.8,387.134,3066.367,3066.667,1484.434,1491.767,1829.734,1831.367,404.2,404.334,13240.466,13242.2,NA,NA
60,395,395.067,3074.2,3081.733,1491.8,1506.134,1831.434,1831.5,404.4,405,13334.633,13339.233,NA,NA
61,395.534,397.134,3109.4,3110.3,1506.8,1507.234,1831.634,1831.867,405.134,405.467,13386.666,13389.466,NA,NA
62,397.4,400.2,3115.1,3115.333,1507.334,1507.367,1832.5,1846.934,409.6,409.734,13591.533,13605,NA,NA
63,400.334,400.534,3115.467,3125.233,1544.767,1562.6,1847,1847.067,468.067,468.334,13646.333,13646.933,NA,NA
64,401.467,402.334,3129.533,3134.867,1787.767,1816.167,1847.134,1847.267,471.4,476.334,13700.1,13700.733,NA,NA
65,402.867,403.2,3166.167,3166.8,1816.2,1816.434,1848.1,1848.534,476.534,477.534,13724.833,13733.433,NA,NA
66,404.134,404.2,3206.5,3210.833,1817.1,1817.267,1848.667,1850.367,477.934,478,13818.999,13820.866,NA,NA
67,404.334,404.4,3286.133,3287.1,1817.534,1824.4,2015.767,2015.967,478.134,478.2,13870.299,13873.299,NA,NA
68,405,405.134,3289.1,3299.467,1824.434,1824.5,2713.3,2714,479.934,480,14048.266,14052.432,NA,NA
69,405.467,409.6,3424.8,3424.9,1826.2,1826.267,2725.8,2733.767,480.067,480.134,14060.466,14063.732,NA,NA
70,409.734,419.067,3529.567,3530.033,1826.6,1826.734,2740.034,2762.2,481.4,481.8,14066.632,14071.032,NA,NA
71,457.067,468.067,3530.067,3530.1,1827.334,1827.4,2762.234,2762.9,482.734,482.934,14576.332,14581.166,NA,NA
72,468.334,471.4,3568.5,3569.1,1827.534,1827.634,2763,2768.767,483.067,484.867,15381.132,15381.566,NA,NA
73,476.334,476.534,3614.567,3642.333,1827.7,1828.867,2773.834,2774,486.267,486.467,15764.232,15766.332,NA,NA
74,477.534,477.934,3928.667,3949.2,1828.9,1829.034,3030.933,3031.433,486.934,488.6,15830.499,15830.766,NA,NA
75,478,478.134,3986.7,3987.367,1829.167,1829.2,3031.5,3031.533,488.667,488.734,15951.632,15955.166,NA,NA
76,478.2,479.934,3988.233,3988.733,1829.367,1829.734,3031.567,3031.667,505.367,505.567,16488.199,16488.532,NA,NA
77,480,480.067,3990.1,3992.9,1831.367,1831.434,3031.9,3031.967,522,522.734,17478.532,17488.398,NA,NA
78,480.134,481.4,4229.3,4229.767,1831.5,1831.634,3032.2,3032.267,524,524.4,19649.565,19650.365,NA,NA
79,481.8,482.734,4338.633,4339.5,1831.867,1832.5,3033.2,3034.2,524.667,524.934,20466.165,20467.165,NA,NA
80,482.934,483.067,4464.5,4470.7,1846.934,1847,3034.367,3034.5,525.267,525.634,20490.065,20492.298,NA,NA
