"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
59,1736.766,1769.066,647.466,648.933,577.733,578.8,1340.6,1408.266,3277.1,3281.8,14418.397,14419.164
60,1866.833,1985.733,650.133,650.333,579,579.366,1424.666,1425.1,3358.733,3358.866,14483.397,14483.964
61,1995.033,2011.833,650.533,652.7,579.766,583,1664.733,1665.033,3358.9,3360.633,14507.331,14507.664
62,2031.633,2049.3,769.2,801.366,583.033,583.1,1665.1,1665.233,3360.733,3361,14512.431,14516.197
63,2166.3,2167,801.6,801.633,584.533,585,1672.666,1673.066,3365.366,3393.266,14519.297,14522.564
64,2316.166,2317.3,804.433,805.366,585.633,585.7,1676.066,1691.166,3409.5,3412.3,14523.564,14523.764
65,2320.6,2321.966,811.266,812.666,641.933,643.566,1691.566,1691.633,3413.8,3413.833,14524.831,14526.031
66,2322.5,2322.533,812.966,813.066,643.833,644.1,1706.9,1712.033,3479.6,3479.633,15011.497,15011.597
67,2323.5,2324.533,824.966,825.366,645.566,646.133,1725.1,1725.6,3674.966,3676.233,15286.631,15290.464
68,2326.3,2326.4,825.4,825.533,647.4,647.466,1729.933,1730.933,3677,3689.3,15346.931,15354.131
69,2329.8,2331.5,825.6,826.233,648.933,650.133,1736.366,1736.766,3690.7,3701.266,16481.864,16487.064
70,2333.7,2333.8,828.7,829.266,650.333,650.533,1985.733,1994.166,3701.466,3701.533,16726.764,16731.764
71,2335.066,2335.133,840.5,846,801.366,801.6,1994.5,1995.033,3810.1,3810.366,16878.831,16879.964
72,2335.166,2335.2,853.6,876,801.633,804.433,2049.3,2049.5,3810.9,3811.466,18629.063,18632.763
73,2335.333,2339.766,1077.866,1078.566,805.366,811.266,2059.166,2132.233,3841.233,3850.2,18680.563,18680.73
74,2340.333,2340.633,1081.3,1082.266,812.666,812.966,2147.9,2150.433,4031.9,4032.366,18709.663,18710.497
75,2343,2343.433,1095.6,1100.133,813.066,824.966,2150.666,2152.133,4036.166,4036.633,18747.997,18749.763
76,2350.3,2441.7,1100.166,1100.233,825.366,825.4,2165.766,2166.3,4036.766,4055.233,18989.63,18990.897
77,2488.266,2489.266,1100.3,1100.333,825.533,825.6,2331.5,2333.7,4273.533,4274.533,18991.33,18991.563
78,2789.233,2873.766,1100.733,1101.766,826.233,828.7,2333.8,2335.066,4330.866,4360.433,18999.53,18999.563
79,2887.933,2915.6,1120.433,1120.566,829.266,840.5,2335.133,2335.166,4475.633,4500.633,19016.397,19016.43
80,2975.9,3039.1,1123.166,1140.7,846,853.6,2335.2,2335.333,4504.433,4518.666,NA,NA
81,3050.133,3059.733,1142.566,1142.6,1078.566,1081.3,2339.766,2340.333,4519.3,4519.366,NA,NA
82,3061.033,3063.2,1143.733,1144,1100.133,1100.166,2340.633,2343,4519.566,4525.733,NA,NA
83,3065.566,3068.8,1144.7,1145.133,1100.233,1100.3,2343.433,2350.3,4553.366,4573.6,NA,NA
84,3069.333,3069.566,1147.5,1155.233,1100.333,1100.733,2441.7,2485.5,4574.466,4600.833,NA,NA
85,3069.833,3070.3,1157.666,1158.433,1101.766,1120.433,2485.6,2488.266,4601.166,4602.3,NA,NA
86,3070.466,3070.6,1158.533,1158.6,1120.566,1123.166,2873.766,2887.933,4602.366,6326.099,NA,NA
87,3092.466,3149.766,1159,1159.066,1140.7,1142.566,3149.766,3150.466,6336.033,6415.233,NA,NA
88,3169.033,3171.2,1159.333,1162.666,1142.6,1143.733,3154.433,3169.033,6415.399,6415.566,NA,NA
89,3210.3,3260.1,1182.666,1186.833,1144,1144.7,3269.866,3273,6415.599,6457.933,NA,NA
90,3261.766,3261.833,1434.233,1476.1,1145.133,1147.5,3273.166,3273.3,6457.999,6458.033,NA,NA
91,3262.4,3269.866,1483.033,1483.133,1155.233,1157.666,3274.6,3274.933,6458.066,6458.566,NA,NA
92,3281.8,3329.833,1483.433,1483.466,1158.433,1158.533,3276.733,3277.1,6458.799,6465.499,NA,NA
93,3330.266,3334.7,1484.833,1484.866,1158.6,1159,3329.833,3330.266,6465.866,6465.899,NA,NA
94,3356.333,3357,1485.033,1485.2,1159.066,1159.333,3357,3358.733,6513.266,6520.833,NA,NA
95,3394.1,3408.766,1485.333,1485.4,1162.666,1182.666,3358.866,3358.9,6746.233,6749.133,NA,NA
96,3416,3440.833,1485.566,1485.666,1476.1,1483.033,3360.633,3360.733,6853.133,6853.766,NA,NA
97,3447.966,3451.033,1486.033,1514.7,1483.133,1483.433,3361,3365.366,6887.966,6888.699,NA,NA
98,3455,3455.1,1516.1,1516.233,1483.466,1484.833,3393.266,3394.1,6930.966,6931.166,NA,NA
99,3456.3,3459.6,1517.466,1517.666,1484.866,1485.033,3408.766,3409.5,6931.299,6931.599,NA,NA
100,3459.933,3461.866,1521.366,1521.633,1485.2,1485.333,3412.3,3413.8,7097.233,7098.033,NA,NA
101,3462.666,3469.366,1522,1522.966,1485.4,1485.566,3413.833,3416,7161.099,7199.166,NA,NA
102,3539.733,3550.9,1531.9,1591.1,1485.666,1486.033,3459.6,3459.933,7200.432,7202.632,NA,NA
103,3592.8,3595.7,1591.866,1591.9,1514.7,1516.1,3461.866,3462.666,7372.966,7381.699,NA,NA
