"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
1,0,1.433,1.433,2.933,2.933,35.633,75.367,76.167,76.167,76.2,324.267,324.367
2,74.533,75.367,35.633,37.533,37.533,40.1,76.2,76.467,76.467,78.033,792.9,792.967
3,78.967,79.3,40.1,40.2,40.2,40.533,78.033,78.567,78.567,78.633,1451.567,1451.6
4,83.533,84.167,40.533,40.567,40.567,40.967,78.633,78.7,78.7,78.733,2429.367,2432.933
5,84.633,85,40.967,41.067,41.067,44.7,78.733,78.967,84.367,84.467,2436.4,2437.7
6,87.1,91.033,44.7,44.8,44.8,45.567,84.167,84.367,93.5,93.6,2760.3,2760.5
7,91.733,93.1,45.567,45.6,45.6,49.633,84.467,84.633,97.2,97.6,3406.567,3406.7
8,95.033,95.4,49.633,49.767,49.767,50.033,91.033,91.733,97.8,98,3865,3865.167
9,95.933,96.7,50.033,50.133,50.133,50.267,93.1,93.5,137.5,137.867,4366.767,4377.733
10,98.033,98.467,50.267,50.433,50.433,50.6,93.6,95.033,138.133,138.233,4386.667,4402.867
11,103.2,103.6,50.6,50.833,50.833,51.067,96.7,97.2,232.167,232.2,4463.733,4466.3
12,105.233,105.767,51.067,51.133,51.133,51.3,97.6,97.8,242.533,242.633,4478.933,4479.8
13,114.167,119.433,51.3,51.5,51.5,51.6,98,98.033,248.233,248.333,4528.367,4530.2
14,121.433,122.133,51.6,51.8,51.8,52.133,103.6,105.233,249.6,249.7,4530.4,4531.533
15,125.3,126.267,52.133,52.2,52.2,52.467,119.433,121.433,249.733,250,4594.267,4594.467
16,127.833,137.5,52.467,52.5,52.5,55.767,137.867,138.133,254.533,254.6,4598.533,4600.533
17,138.333,138.767,55.767,56.033,56.033,58.333,138.233,138.333,292.067,292.133,5640.033,5640.167
18,148.167,154.533,58.333,58.367,58.367,60.833,154.533,155.367,295.1,295.267,5805.167,5805.267
19,155.367,158.6,60.833,60.967,60.967,61.133,209.033,210.2,295.633,295.733,10517.399,10517.432
20,176.3,180.667,61.133,61.433,61.433,61.467,229.133,232.167,301.2,301.233,10637.699,10657.432
21,181.567,184.2,61.467,61.6,61.6,61.767,232.2,232.433,301.6,304.133,10657.932,10665.332
22,207.633,209.033,61.767,73.9,73.9,73.933,242.2,242.533,349.767,350.133,10665.666,10666.532
23,210.2,211.467,73.933,74.1,74.1,74.133,242.633,242.833,351.1,351.133,10713.732,10714.466
24,228.8,229.133,74.133,74.533,85.433,85.667,247.033,248.233,369.267,369.333,10729.532,10731.132
25,232.433,232.733,79.3,83.533,85.867,86.567,248.333,249.6,369.4,369.467,10733.532,10737.666
26,241.633,242.2,85,85.433,95.633,95.767,249.7,249.733,463.467,465.1,10741.266,10741.732
27,242.833,247.033,85.667,85.867,107.167,107.4,250,251.333,465.933,466.067,10744.132,10746.099
28,251.333,253.867,86.567,87.1,107.5,107.767,253.867,254.533,466.8,467.1,11000.999,11001.066
29,255,255.7,95.4,95.633,111.4,111.433,254.6,255,467.8,467.833,11021.432,11022.532
30,269.5,273.6,95.767,95.933,124.733,124.767,281.133,292.067,470.4,471.167,11048.832,11048.932
31,280.767,281.133,98.467,103.2,171.067,171.267,292.133,295.1,523.667,523.8,11107.366,11108.866
32,304.5,304.933,105.767,107.167,171.3,171.4,295.267,295.633,526.033,526.267,11247.166,11253.799
33,324.367,328.7,107.4,107.5,173.6,173.633,295.733,301.2,588.467,588.8,12312.066,12312.299
34,332.767,344.733,107.767,111.4,194.867,194.933,301.233,301.6,594.167,594.867,12477.566,12477.732
35,352.767,353.3,111.433,114.167,203.8,203.833,304.133,304.5,606.333,606.8,12976.399,12977.832
36,353.8,354.567,122.133,124.733,203.933,204.367,344.733,349.767,607.7,607.867,13109.899,13114.232
37,369.7,374.833,124.767,125.3,207.3,207.367,350.133,351.1,772.033,775.767,13527.299,13528.566
38,375.267,378,126.267,127.833,207.5,207.533,351.133,352.767,776.667,786.7,13610.566,13635.699
39,390.167,391.033,138.767,148.167,225.8,227.333,354.567,369.267,788.4,789.567,13725.566,13731.766
40,392.4,398,158.6,171.067,227.633,228.2,369.333,369.4,791.1,791.4,13741.166,13741.466
41,452.467,452.5,171.267,171.3,228.433,228.667,369.467,369.7,792.2,792.467,13741.666,13742.232
42,452.533,452.7,171.4,173.6,240.267,240.933,374.833,375.267,792.567,792.7,13989.032,14002.066
43,454.4,454.9,173.633,176.3,258.1,260.4,391.033,392.4,797.6,799,15443.465,15443.532
44,472.333,472.6,180.667,181.567,268.033,269.467,454.9,463.467,800.133,800.3,17279.565,17279.699
45,486,486.633,184.2,194.867,273.633,273.767,465.1,465.933,800.333,800.433,18446.098,18446.231
46,519,521.867,194.933,203.8,275.1,275.133,466.067,466.8,800.467,800.767,19252.698,19252.898
47,535.467,539.767,203.833,203.933,275.833,276.033,467.1,467.8,804.167,804.233,19286.031,19288.164
48,548.833,549.333,204.367,207.3,278.133,278.267,467.833,470.4,807.7,807.933,20352.198,20352.431
49,550.467,552.467,207.367,207.5,278.3,278.367,471.167,472.333,808.1,808.433,20585.798,20587.764
50,558.133,558.667,207.533,207.633,313.9,315.133,486.633,519,822.633,822.7,20647.431,20670.464
51,763.3,770.067,211.467,225.8,315.2,315.267,521.867,523.667,823.033,825.567,20739.631,20740.631
52,792.967,797.367,227.333,227.633,315.3,316.8,523.8,526.033,826.167,826.267,21001.631,21003.531
53,810.633,811.233,228.2,228.433,317.8,317.967,526.267,535.467,847.067,847.2,21098.864,21099.264
54,820.633,821.133,228.667,228.8,318,318.033,549.333,550.467,850.167,851.1,21374.264,21374.298
55,828.5,829.1,232.733,240.267,319.533,319.6,558.667,588.467,872.933,873.133,21600,21600
56,846.667,847.033,240.933,241.633,329.7,329.9,588.8,594.167,900.767,900.8,NA,NA
57,852.867,856.867,255.7,258.1,331.033,331.333,594.867,606.333,901.3,901.467,NA,NA
58,863.267,863.633,260.4,268.033,332.633,332.7,606.8,607.7,909.8,909.867,NA,NA
59,890.033,890.733,269.467,269.5,385.233,385.333,607.867,763.3,910,911,NA,NA
60,898.567,898.867,273.6,273.633,385.4,385.733,770.067,772.033,914.267,914.3,NA,NA
61,905,906.4,273.767,275.1,389.133,389.6,775.767,776.667,914.333,914.367,NA,NA
62,909.2,909.5,275.133,275.833,439.333,439.933,786.7,788.4,914.433,914.667,NA,NA
63,928.5,970.633,276.033,278.133,440.967,443.433,789.567,791.1,915.033,915.1,NA,NA
64,1006.233,1006.667,278.267,278.3,443.7,447.567,791.4,792.2,915.3,915.567,NA,NA
65,1014.8,1019.933,278.367,280.767,448.167,448.7,792.467,792.567,915.833,915.933,NA,NA
66,1038.3,1039.1,304.933,313.9,449.833,449.867,792.7,792.9,916.633,916.667,NA,NA
67,1040,1041.8,315.133,315.2,450.2,450.3,797.367,797.6,916.733,924.167,NA,NA
68,1060.033,1060.433,315.267,315.3,450.533,450.6,799,800.133,924.567,925.633,NA,NA
69,1133.233,1144.467,316.8,317.8,453,453.067,800.3,800.333,925.9,927.467,NA,NA
70,1157.5,1185,317.967,318,474.133,474.2,800.433,800.467,1006.867,1006.9,NA,NA
71,1193.033,1194.5,318.033,319.533,474.233,474.4,800.767,804.167,1007.233,1009.7,NA,NA
72,1215.5,1215.8,319.6,324.267,475.567,475.667,804.233,807.7,1009.867,1010.867,NA,NA
73,1244.4,1247.267,328.7,329.7,483.2,483.267,807.933,808.1,1011,1012.1,NA,NA
74,1269.2,1315.533,329.9,331.033,483.3,483.333,808.433,810.633,1012.567,1012.633,NA,NA
75,1329.167,1330,331.333,332.633,483.367,483.433,821.133,822.633,1012.667,1013.733,NA,NA
76,1360.8,1361.1,332.7,332.767,484.533,484.567,822.7,823.033,1013.867,1014.567,NA,NA
77,1363.2,1368.6,353.3,353.8,544.6,545.1,825.567,826.167,1020.133,1020.3,NA,NA
78,1391.333,1391.633,378,385.233,548.3,548.467,826.267,828.5,1026.633,1026.933,NA,NA
79,1394.6,1414.867,385.333,385.4,554.1,554.133,847.033,847.067,1026.967,1027,NA,NA
80,1430.5,1450.3,385.733,389.133,556.9,557,847.2,850.167,1027.4,1027.567,NA,NA
81,1451.6,1470.6,389.6,390.167,812,817.533,851.1,852.867,1028.267,1029.4,NA,NA
82,1647.633,1648.667,398,439.333,818.8,819.033,863.633,872.933,1029.433,1032.1,NA,NA
83,1659.6,1664.367,439.933,440.967,819.867,819.9,873.133,890.033,1035.4,1036.233,NA,NA
