"X1","X1_1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Right_start","Right_stop","Unknown_start","Unknown_stop"
98,NA,4447.43,4453.264,2290.897,2290.931,4179.73,4180.864,1999.031,2000.464,2649.531,2649.664,NA,NA
99,NA,4455.964,4457.264,2291.197,2291.397,4268.764,4269.197,2066.464,2109.997,2650.064,2660.364,NA,NA
100,NA,4459.73,4461.364,2291.464,2291.564,4269.864,4270.43,2110.297,2110.331,2661.864,2663.731,NA,NA
101,NA,4506.364,4518.43,2291.597,2292.464,4271.164,4271.564,2110.364,2110.431,2663.997,2672.764,NA,NA
102,NA,5467.997,5490.464,2292.764,2292.864,4346.597,4375.13,2111.331,2111.364,2673.564,2673.597,NA,NA
103,NA,5652.264,5652.33,2292.931,2293.131,4376.164,4378.997,2111.531,2111.697,2692.964,2693.531,NA,NA
104,NA,5652.564,5652.63,2293.831,2294.097,4398.364,4400.83,2112.164,2112.197,2695.397,2740.964,NA,NA
105,NA,5652.664,5652.697,2323.331,2323.731,4405.33,4406.897,2112.331,2112.364,2741.197,2741.264,NA,NA
106,NA,5652.797,5652.93,2324.731,2325.631,4442.73,4445.63,2114.531,2114.697,2746.997,2749.531,NA,NA
107,NA,5652.997,5657.097,2326.931,2327.031,4519.697,5450.497,2114.797,2115.497,2749.631,2763.397,NA,NA
108,NA,5674.664,5722.764,2327.897,2330.864,5658.097,5671.897,2124.831,2125.764,2959.531,2962.431,NA,NA
109,NA,7025.397,7026.03,2330.964,2337.764,5727.164,6985.197,2130.797,2131.197,2962.797,2963.864,NA,NA
110,NA,7029.53,7042.364,2347.564,2347.864,6986.164,7007.13,2131.497,2131.697,2977.264,2987.564,NA,NA
111,NA,9375.83,9382.03,2348.331,2349.631,9407.863,9423.53,2151.497,2152.031,2992.364,3000.131,NA,NA
112,NA,9440.197,9492.263,2350.164,2351.531,9513.197,9513.363,2152.997,2153.264,3100.931,3101.131,NA,NA
113,NA,12772.096,12787.529,2351.697,2352.097,9514.097,9514.497,2164.797,2214.897,3102.131,3104.797,NA,NA
114,NA,12956.529,12985.929,2353.597,2353.964,9515.23,9515.263,2282.731,2285.531,3107.464,3107.597,NA,NA
115,NA,12985.963,12989.029,2353.997,2357.697,9516.03,9518.963,2285.564,2287.164,3107.631,3107.697,NA,NA
116,NA,13192.963,13244.629,2555.697,2555.731,9551.563,9551.897,2287.264,2287.364,3107.731,3108.197,NA,NA
117,NA,13244.696,13245.429,2555.864,2555.897,9552.897,9554.697,2287.631,2287.831,3109.164,3111.697,NA,NA
118,NA,13367.796,13368.196,2555.931,2556.231,9557.897,9559.197,2289.097,2289.164,3117.431,3117.497,NA,NA
119,NA,13368.529,13368.796,2557.297,2558.064,9567.13,9567.597,2289.431,2289.564,3117.531,3118.464,NA,NA
120,NA,13368.996,13369.129,2558.297,2562.064,9787.263,10781.83,2289.864,2290.664,3118.631,3119.864,NA,NA
121,NA,13369.596,13422.863,2613.464,2613.731,10781.83,12496.929,2290.697,2290.897,3120.031,3120.397,NA,NA
122,NA,13913.629,13935.363,2620.364,2624.431,12497.796,12758.496,2290.931,2291.197,3127.164,3140.597,NA,NA
123,NA,13935.529,13936.696,2624.931,2625.364,12768.163,12768.663,2291.397,2291.464,3141.031,3143.831,NA,NA
124,NA,14274.596,14322.163,2625.531,2626.164,12768.729,12768.929,2291.564,2291.597,3443.897,3444.697,NA,NA
125,NA,14339.096,14353.896,2626.431,2626.631,13248.929,13249.029,2292.464,2292.764,3444.764,3444.931,NA,NA
126,NA,14433.529,14436.663,2629.597,2630.164,13249.163,13251.096,2292.864,2292.931,3466.731,3477.597,NA,NA
127,NA,14445.596,14452.863,2765.831,2765.964,13258.096,13261.029,2293.131,2293.831,3520.797,3530.131,NA,NA
128,NA,14475.629,14479.129,2766.064,2766.997,14033.429,14033.829,2294.097,2323.331,3602.397,3602.964,NA,NA
129,NA,14882.563,14904.129,2767.464,2769.031,14253.729,14253.996,2323.731,2324.731,3605.097,3614.53,NA,NA
130,NA,14926.996,14929.629,2769.431,2771.531,14254.329,14254.363,2325.631,2326.931,3680.397,3686.73,NA,NA
131,NA,15022.063,15022.163,2777.931,2829.264,14254.429,14254.629,2327.031,2327.897,3686.864,3689.197,NA,NA
132,NA,15022.329,15023.129,2829.664,2829.731,14254.663,14255.029,2330.864,2330.964,3690.397,3692.897,NA,NA
133,NA,15063.329,15069.596,2830.031,2830.197,14255.829,14256.696,2337.764,2347.564,3693.664,3770.63,NA,NA
134,NA,15072.163,15079.429,2895.664,2900.964,14326.996,14333.963,2347.864,2348.331,3770.697,3770.764,NA,NA
135,NA,15081.496,15093.096,2900.997,2913.164,14437.196,14438.829,2349.631,2350.164,3770.83,3771.03,NA,NA
136,NA,15172.496,15174.963,3001.431,3001.664,14668.396,14669.563,2351.531,2351.697,3771.364,3908.064,NA,NA
137,NA,15192.929,15204.763,3001.864,3001.897,14670.463,14672.429,2352.097,2353.597,3908.13,3908.264,NA,NA
