"X1","Center_start","Center_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop"
49,833.2666667,833.6333333,655.2333333,658.0666667,609.8666667,613.4333333,837.2666667,847.6,944.5666667,945.4333333
50,851,852.8,677.2,747.8,622.3,623.7333333,847.6666667,848.0666667,945.5333333,945.6333333
51,859.2333333,861.5333333,748.5,773.9,632.7666667,655.2333333,848.1333333,848.1666667,945.7,945.7666667
52,869.6,872.7666667,815.1,815.6,658.0666667,677.2,850.5666667,851,945.8666667,946.1666667
53,876.6333333,880.9,815.8666667,833.1333333,747.8,748.5,872.7666667,873.7,1056.566667,1056.6
54,906.3333333,907.4,864.8666667,865.2333333,773.9,776.7666667,874.1333333,876.6333333,1056.633333,1056.666667
55,922.2,922.7,913.3333333,919.4,796.2666667,799.1333333,880.9,900.0666667,1057.433333,1057.5
56,947.5,948.6666667,920.5,920.5333333,811.4,815.1,903.6333333,906.3333333,1057.533333,1057.566667
57,1003.5,1056,920.9666667,921.2,815.6,815.8666667,922.7,928.6333333,1118.4,1119.966667
58,1059.833333,1060.666667,950.4666667,995.7666667,833.1333333,833.2666667,929.7,930.8666667,1120.6,1120.766667
59,1102.4,1103.833333,995.8333333,996.2333333,852.8,859.2333333,930.9,931.5333333,1121.5,1122.1
60,1122.633333,1123.766667,999.2333333,1003.333333,861.5333333,864.8666667,931.6666667,943.5333333,1457.733333,1457.933333
61,1455.266667,1456,1067.3,1067.566667,865.2333333,869.6,943.5666667,943.7,1458.966667,1459.133333
62,1466.166667,1470.733333,1068.333333,1068.433333,907.4,913.3333333,944.4666667,944.5666667,1461.666667,1461.8
63,1477.966667,1478.233333,1068.533333,1069,919.4,920.5,945.4333333,945.5333333,1461.866667,1462.433333
64,1481.466667,1481.866667,1069.3,1069.333333,920.5333333,920.9666667,945.6333333,945.7,1462.466667,1462.966667
65,1488.733333,1491.2,1069.566667,1072.366667,921.2,922.2,945.7666667,945.8666667,1463.3,1463.333333
66,1497.1,1497.466667,1072.733333,1072.833333,948.6666667,950.4666667,946.1666667,947.5,1463.366667,1463.433333
67,1531.466667,1540.266667,1072.9,1073.1,995.7666667,995.8333333,1056,1056.566667,1463.5,1463.566667
68,1619.766667,1621.9,1074,1075.133333,996.2333333,999.2333333,1056.6,1056.633333,1464.833333,1464.866667
69,1676.066667,1683,1075.5,1075.766667,1003.333333,1003.5,1056.666667,1057.433333,1480.366667,1480.533333
70,1693.366667,1696.733333,1075.8,1075.866667,1060.666667,1067.3,1057.5,1057.533333,1491.9,1491.966667
71,1714.233333,1717.7,1076.033333,1076.9,1067.566667,1068.333333,1057.566667,1059.833333,1492,1492.166667
72,1719.866667,1723.5,1078.5,1078.566667,1068.433333,1068.533333,1103.833333,1118.4,1493.133333,1493.5
73,1725.1,1727.133333,1078.633333,1081.333333,1069,1069.3,1119.966667,1120.6,1493.566667,1493.6
74,1733.8,1734.366667,1082.333333,1097.633333,1069.333333,1069.566667,1120.766667,1121.5,1493.633333,1493.9
75,1880.7,1889.066667,1125.666667,1143.633333,1072.366667,1072.733333,1122.1,1122.633333,1493.933333,1494
76,1924.966667,1945.866667,1143.666667,1143.766667,1072.833333,1072.9,1456,1457.733333,1494.066667,1494.133333
77,1956.666667,1957.3,1143.833333,1213.266667,1073.1,1074,1457.933333,1458.966667,1494.2,1494.433333
78,1996.166667,2003.633333,1213.3,1213.633333,1075.133333,1075.5,1459.133333,1461.666667,1585.566667,1585.666667
79,2003.733333,2003.766667,1213.7,1213.766667,1075.766667,1075.8,1461.8,1461.866667,1585.7,1585.766667
80,2018.266667,2018.4,1216.5,1218.166667,1075.866667,1076.033333,1462.433333,1462.466667,1586.133333,1586.466667
81,2065.566667,2068.033333,1218.2,1220.566667,1076.9,1078.5,1462.966667,1463.3,1586.633333,1586.666667
82,2068.1,2069.133333,1223.7,1310.966667,1078.566667,1078.633333,1463.333333,1463.366667,1586.7,1586.9
83,2071.033333,2071.566667,1311.466667,1311.5,1081.333333,1082.333333,1463.433333,1463.5,1589.333333,1590
84,2072.4,2082.266667,1315.066667,1435,1097.633333,1102.4,1463.566667,1464.833333,1590.1,1593
85,2100.066667,2104.633333,1435.233333,1437.566667,1123.766667,1125.666667,1464.866667,1466.166667,1593.833333,1593.966667
