"X1","Center_start","Center_stop","Left_start","Left_stop","Unknown_start","Unknown_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Left_start","Contact_Left_stop"
252,13525.999,13532.899,3193.9,3194.667,NA,NA,2655.033,2659.767,3717.7,3719.067,5153.433,5153.533
253,13532.965,13532.999,3198.533,3198.867,NA,NA,2679.433,2679.567,3757.333,3758.533,5167.5,5167.8
254,13555.599,13557.432,3201.933,3202.733,NA,NA,2680.833,2682.167,3759.633,3760.033,5262.533,5262.933
255,13557.765,13559.799,3204.267,3205.233,NA,NA,2682.733,2682.933,3760.367,3760.6,5470.933,5471
256,13560.165,13580.832,3208.267,3208.4,NA,NA,2683.433,2684.833,3761.3,3761.433,5471.133,5471.167
257,13581.732,13630.065,3208.5,3208.967,NA,NA,2688.967,2704.033,3763.1,3763.3,5471.233,5471.3
258,13668.999,13669.399,3209.8,3210.633,NA,NA,2708.933,2715.767,3765.567,3765.633,5471.333,5471.467
259,13676.165,13676.232,3221.267,3221.333,NA,NA,2739.267,2740.4,3765.667,3765.7,5474.533,5474.733
260,13676.299,13690.165,3221.533,3227.767,NA,NA,2741.467,2767.767,3765.9,3769.433,5478.233,5478.567
261,13690.599,13697.732,3227.933,3265.833,NA,NA,2768.033,2769.8,4020.667,4021.7,5486.833,5487.133
262,13711.732,13729.232,3265.933,3266.5,NA,NA,2780.767,2782.033,4021.8,4026.367,5488.967,5489.167
263,13737.965,13738.465,3266.533,3266.567,NA,NA,2785.2,2797.7,4026.7,4028.267,5502.767,5502.833
264,13914.899,13952.632,3267.033,3267.233,NA,NA,2800.9,2807.067,4132.167,4132.233,5557.167,5557.4
265,14009.832,14015.399,3269.433,3269.667,NA,NA,2807.533,2810.167,4132.533,4135.6,5557.5,5557.767
266,14022.932,14221.599,3270.4,3332.6,NA,NA,2810.233,2810.633,4151.033,4154.733,5559.367,5559.533
267,14221.899,14222.099,3338.8,3339.333,NA,NA,2816.3,2835.8,4155.333,4155.7,5559.8,5560.033
268,14225.365,14270.832,3339.5,3339.667,NA,NA,2835.833,2836.967,4164.567,4164.667,5575.567,5576.667
269,14309.699,14314.865,3350.333,3350.733,NA,NA,2844.6,2844.867,4217.033,4217.767,5576.767,5576.833
270,14426.665,14430.331,3350.9,3354.433,NA,NA,2845.533,2848.567,4217.8,4219.4,5580.833,5583.633
271,14743.131,14743.731,3354.533,3354.7,NA,NA,2851.133,2851.4,4219.633,4219.7,5583.667,5583.7
272,14766.998,14767.598,3354.833,3355.067,NA,NA,2851.433,2852.233,4219.9,4219.933,5583.8,5583.833
273,14781.065,14781.331,3355.167,3355.2,NA,NA,2852.333,2852.467,4222.433,4223.033,5584.633,5586.6
274,14787.431,14789.165,3355.233,3368.967,NA,NA,2852.633,2852.667,4226.833,4227,5586.633,5586.733
275,14791.165,14791.965,3369.033,3369.933,NA,NA,2852.7,2852.733,4349.3,4349.867,5588.533,5589.967
276,14795.931,14796.298,3370.3,3370.733,NA,NA,2853,2853.4,4360.767,4360.9,5590.067,5590.467
277,14799.731,14809.298,3412.433,3416.4,NA,NA,2853.433,2853.767,4360.933,4360.967,5592.4,5593
278,14811.065,14812.298,3466.433,3466.467,NA,NA,2853.833,2855.367,4433.567,4434.233,5633.167,5634.133
279,15063.165,15103.265,3466.533,3466.7,NA,NA,2855.4,2855.533,4501.833,4502.133,5690.9,5691.933
280,15108.831,15120.865,3467.433,3468,NA,NA,2855.7,2855.833,4530.667,4531.167,5697.033,5697.1
281,15123.631,15199.631,3498.233,3498.533,NA,NA,2856.033,2866.433,4721.7,4721.967,5697.4,5697.7
282,15199.831,15201.865,3498.833,3498.967,NA,NA,2866.6,2869.967,4722,4722.067,5697.9,5698.767
283,15201.998,15202.331,3499,3499.433,NA,NA,2870.1,2871.2,4722.133,4722.333,5699.033,5699.067
284,15204.365,15221.865,3499.667,3501.133,NA,NA,2871.533,2871.733,4722.667,4723,5699.667,5699.7
285,15223.398,15224.965,3501.4,3501.533,NA,NA,2872.4,2873.233,4727.667,4730.933,5699.867,5701.367
286,15227.531,15227.798,3501.6,3502.167,NA,NA,2885.533,2887.667,4731.233,4734.7,5701.767,5702.1
287,15277.598,15281.598,3502.667,3502.733,NA,NA,2892.733,2908.6,4735.1,4735.167,5702.133,5702.3
288,15285.098,15426.998,3503.167,3504.3,NA,NA,2911.5,2914.567,4735.333,4737.133,5730.933,5730.967
289,15427.265,15427.965,3627.967,3639.733,NA,NA,2916.6,2923.933,4737.267,4737.733,5734.267,5736.367
290,15646.031,15649.765,3719.6,3719.933,NA,NA,2950.633,2950.733,4739.667,4741,5736.533,5736.767
291,15650.265,15650.865,3720.267,3722.867,NA,NA,2951.367,2952.3,4741.4,4741.467,5736.933,5737
292,15676.565,15676.731,3752.067,3755.6,NA,NA,2994.9,2995.067,4741.533,4741.667,5899.733,5899.767
293,15676.865,15748.998,4186.967,4200.3,NA,NA,2995.8,3005.1,4742,4744.4,5899.867,5901.433
294,15911.831,15914.898,4200.433,4200.567,NA,NA,3055.833,3060.367,4745,4745.267,6433.467,6433.833
295,15917.665,16016.131,4200.733,4203.1,NA,NA,3092.667,3095.6,4747.733,4747.833,6435.467,6435.867
296,16016.231,16017.898,4203.2,4203.533,NA,NA,3371,3371.933,4747.933,4749.733,6437.333,6437.7
297,16018.431,16018.765,4203.867,4204.367,NA,NA,3372.3,3374.367,4749.833,4753.867,6437.9,6438.033
298,16048.198,16126.265,4381.1,4389.067,NA,NA,3504.633,3511.233,4760.567,4769.5,6438.8,6439.1
299,16127.865,16130.631,4389.7,4390.333,NA,NA,3511.267,3511.333,4769.7,4769.733,6441.8,6443.1
300,16330.965,16343.931,4391,4391.067,NA,NA,3511.633,3535.767,4770.333,4770.633,6443.333,6453.967
301,16354.031,16539.165,4392.633,4392.9,NA,NA,3535.767,3553.133,4771.867,4775.8,6454,6454.033
302,16843.431,16845.398,4399.067,4399.133,NA,NA,3554.233,3557.3,4776.033,4776.4,6454.667,6454.733
303,17576.365,17577.898,4400.333,4402.733,NA,NA,3585.2,3587.067,4777,4778.333,6455.3,6459.667
304,17620.865,17847.731,4408.367,4408.7,NA,NA,3587.5,3590.1,4780,4795.433,6459.733,6460.333
305,17847.831,17848.031,4487.667,4493.5,NA,NA,3640.1,3653,4795.633,4795.8,6752.266,6752.3
306,18528.164,18528.864,4499.633,4501.067,NA,NA,3653.1,3657.267,4796.1,4796.4,7889.333,7889.366
307,18804.897,18806.097,4822.767,4824.967,NA,NA,3657.367,3657.6,4797.533,4798.333,7889.433,7889.499
308,18817.197,18819.397,5001.8,5005.133,NA,NA,3657.633,3658.367,4853.833,4853.9,7889.666,7889.799
309,18964.097,18974.364,5005.467,5006.833,NA,NA,3658.833,3659.7,4868.433,4868.7,7889.833,7889.933
310,19502.797,19520.831,5006.9,5007.633,NA,NA,3659.933,3662.067,4869.533,4869.6,7893.899,7893.966
311,19520.964,19525.864,5007.767,5008.133,NA,NA,3662.133,3665.1,4869.7,4870.833,7894.099,7894.233
312,19525.897,19526.264,5008.167,5008.633,NA,NA,3716.567,3716.767,4871.067,4872.533,7894.266,7894.399
313,19599.264,19599.797,5008.733,5009.233,NA,NA,3716.967,3717.7,4872.867,4873.667,7925.666,7925.799
314,19605.564,19638.964,5012.833,5012.933,NA,NA,3719.067,3719.233,4877.167,4877.233,7927.533,7927.633
315,19685.031,19685.664,5012.967,5013.6,NA,NA,3755.933,3757.333,4877.267,4877.333,7927.999,7928.299
316,19687.197,19687.664,5014,5014.133,NA,NA,3758.533,3759.633,4883.2,4883.3,7932.366,7932.633
317,19688.831,19694.964,5014.233,5015.1,NA,NA,3760.033,3760.367,4887.767,4888.433,7958.233,7959.066
318,19699.697,19699.997,5023.233,5026,NA,NA,3760.6,3761.3,4890.8,4891,7959.099,7959.266
319,19730.431,19732.464,5026.967,5027.233,NA,NA,3761.433,3763.1,4891.133,4891.7,7959.533,7961.766
320,19767.564,19767.764,5042.567,5043.467,NA,NA,3763.3,3765.567,4896.2,4896.267,7968.233,7968.766
321,19827.964,19829.564,5074.033,5085.767,NA,NA,3765.633,3765.667,4896.3,4916.2,7968.933,7968.966
322,19848.464,19851.664,5085.9,5087.333,NA,NA,3765.7,3765.9,4918.1,4918.367,7969.099,7969.499
323,19925.531,19934.831,5089.8,5096.433,NA,NA,3769.433,3781.033,4918.6,4969.533,7969.766,7970.566
324,19983.731,19987.597,5096.8,5097.967,NA,NA,3783.533,3788.933,4969.733,4969.767,7971.099,7996.399
325,20098.797,20101.664,5098.3,5098.367,NA,NA,4020.433,4020.667,4976,4976.1,7996.433,7997.166
326,20103.664,20105.297,5098.867,5098.967,NA,NA,4021.7,4021.8,4981.2,4981.433,8138.299,8138.466
327,20106.697,20110.364,5109.7,5117.6,NA,NA,4026.367,4026.7,4981.733,4981.967,8147.599,8147.833
328,20111.364,20112.197,5123.367,5125.167,NA,NA,4028.267,4028.567,4985.233,4985.433,8148.199,8148.466
329,20112.464,20112.631,5125.4,5126.8,NA,NA,4123.833,4126.533,4986.733,4986.8,8148.633,8148.899
330,20386.997,20387.931,5130.267,5132.767,NA,NA,4127,4132.167,4988.567,4988.633,8154.399,8154.433
331,20834.531,20836.764,5135,5135.1,NA,NA,4132.233,4132.533,4989.067,4998.733,8166.733,8167.766
332,21220.797,21234.364,5135.167,5139.9,NA,NA,4135.6,4151.033,5169.167,5169.633,8169.499,8170.566
333,21236.797,21237.164,5141.633,5141.667,NA,NA,4154.733,4155.333,5170,5170.133,8174.233,8174.666
334,21237.397,21237.597,5142.167,5152.733,NA,NA,4155.7,4164.567,5266.9,5267.033,8198.099,8198.266
335,21237.997,21238.531,5153.133,5153.433,NA,NA,4164.667,4180.867,5267.067,5267.1,8198.333,8198.366
336,21257.564,21258.464,5153.533,5167.5,NA,NA,4204.567,4217.033,5287.967,5288.167,8198.433,8198.466
337,21274.764,21275.297,5167.8,5168.7,NA,NA,4217.767,4217.8,5288.267,5288.4,8198.533,8198.633
338,21275.431,21284.897,5171.433,5176.367,NA,NA,4219.4,4219.633,5288.533,5288.833,8218.966,8219.066
339,21291.964,21292.464,5261.967,5262.533,NA,NA,4219.7,4219.9,5290,5290.267,8272.366,8273.266
340,21529.531,21534.097,5461.4,5470.933,NA,NA,4219.933,4222.433,5292.233,5292.767,8273.366,8275.233
341,21600,21600,5471,5471.133,NA,NA,4223.033,4226.833,5295.667,5327.433,8276.466,8276.499
342,21600,21600,5471.167,5471.233,NA,NA,4227,4228.167,5328.633,5333.6,8276.666,8277.699
343,21600,21600,5471.3,5471.333,NA,NA,4231,4232,5435.767,5435.933,8289.833,8289.866
344,NA,NA,5471.467,5474.533,NA,NA,4234.367,4238,5436,5436.267,8289.899,8289.933
345,NA,NA,5474.733,5478.233,NA,NA,4333.267,4349.3,5436.567,5436.967,8401.999,8402.233
346,NA,NA,5478.567,5478.867,NA,NA,4349.867,4360.767,5505.467,5511.733,8403.566,8403.833
347,NA,NA,5486.267,5486.833,NA,NA,4360.9,4360.933,5755.167,5797.333,8403.933,8405.166
348,NA,NA,5487.133,5488.967,NA,NA,4360.967,4367,5802.733,5802.8,8408.166,8408.899
349,NA,NA,5489.167,5489.5,NA,NA,4408.967,4429.733,5808.667,5808.833,8408.933,8408.999
350,NA,NA,5491.5,5502.767,NA,NA,4433.067,4433.567,5814.067,5814.7,8409.033,8411.166
351,NA,NA,5502.833,5503.267,NA,NA,4434.233,4454.8,5815.6,5846.433,8411.599,8411.666
352,NA,NA,5527.767,5557.167,NA,NA,4501.667,4501.833,5848.267,5866.967,8411.966,8412.599
353,NA,NA,5557.4,5557.5,NA,NA,4502.133,4530.667,5867,5871,8412.866,8413.966
354,NA,NA,5557.767,5559.367,NA,NA,4531.167,4721.7,5871.467,5882.467,8414.099,8414.499
355,NA,NA,5559.533,5559.8,NA,NA,4721.967,4722,5885,5887.767,8414.533,8419.999
356,NA,NA,5560.033,5575.567,NA,NA,4722.067,4722.133,5887.867,5887.933,8420.466,8424.033
357,NA,NA,5576.667,5576.767,NA,NA,4722.333,4722.667,5888.167,5890,8424.566,8425.733
358,NA,NA,5576.833,5580.833,NA,NA,4723,4727.667,5912.3,5912.6,8456.133,8456.799
359,NA,NA,5583.633,5583.667,NA,NA,4730.933,4731.233,6022.733,6027.367,8456.933,8456.999
360,NA,NA,5583.7,5583.8,NA,NA,4734.7,4735.1,6027.4,6027.833,8457.133,8457.466
361,NA,NA,5583.833,5584.633,NA,NA,4735.167,4735.333,6027.867,6027.9,8457.999,8460.366
362,NA,NA,5586.6,5586.633,NA,NA,4737.133,4737.267,6028.633,6028.667,8460.633,8461.433
363,NA,NA,5586.733,5588.533,NA,NA,4737.733,4739.667,6117.333,6117.733,8469.399,8469.599
364,NA,NA,5589.967,5590.067,NA,NA,4741,4741.4,6155.433,6159.467,8469.666,8469.866
365,NA,NA,5590.467,5592.4,NA,NA,4741.467,4741.533,6159.6,6159.8,8519.066,8519.233
366,NA,NA,5593,5593.267,NA,NA,4741.667,4742,6160.267,6165.8,8519.866,8520.266
367,NA,NA,5597.733,5627.867,NA,NA,4744.4,4745,6165.867,6184,8522.699,8524.299
368,NA,NA,5630.533,5633.167,NA,NA,4745.267,4747.733,6184.2,6184.467,8536.699,8536.766
369,NA,NA,5634.133,5638.167,NA,NA,4747.833,4747.933,6187.667,6194.8,8541.466,8541.599
370,NA,NA,5646.3,5690.9,NA,NA,4749.733,4749.833,6195.333,6195.5,8542.233,8543.099
371,NA,NA,5691.933,5697.033,NA,NA,4753.867,4753.933,6213.2,6213.733,8553.066,8553.199
372,NA,NA,5697.1,5697.4,NA,NA,4756.667,4760.567,6215.933,6216.3,8553.233,8553.466
373,NA,NA,5697.7,5697.9,NA,NA,4769.5,4769.7,6218.3,6218.867,8553.499,8565.133
374,NA,NA,5698.767,5699.033,NA,NA,4769.733,4770.333,6235.067,6236.133,8568.799,8570.399
375,NA,NA,5699.067,5699.667,NA,NA,4770.633,4771.867,6237.733,6240.2,8605.866,8605.899
376,NA,NA,5699.7,5699.867,NA,NA,4775.8,4776.033,6240.467,6240.867,8606.299,8606.399
377,NA,NA,5701.367,5701.767,NA,NA,4776.4,4777,6301.533,6301.567,8685.799,8685.933
378,NA,NA,5702.1,5702.133,NA,NA,4778.333,4780,6301.633,6301.833,8714.266,8714.366
379,NA,NA,5702.3,5725.367,NA,NA,4795.433,4795.633,6302.2,6302.233,8718.199,8719.133
380,NA,NA,5729.4,5730.933,NA,NA,4795.8,4796.1,6315,6316.933,8719.199,8719.266
381,NA,NA,5730.967,5734.267,NA,NA,4796.4,4797.533,6317.133,6317.167,8751.299,8751.433
382,NA,NA,5736.367,5736.533,NA,NA,4798.333,4798.467,6317.2,6317.233,8791.633,8792.766
383,NA,NA,5736.767,5736.933,NA,NA,4853.767,4853.833,6317.833,6319.5,8797.266,8797.499
384,NA,NA,5737,5738.067,NA,NA,4853.9,4868.433,6319.667,6320.067,8797.633,8797.899
385,NA,NA,5896.933,5899.733,NA,NA,4868.7,4869.533,6320.133,6320.3,8797.966,8804.799
386,NA,NA,5899.767,5899.867,NA,NA,4869.6,4869.7,6320.967,6321.033,8832.833,8836.399
387,NA,NA,5901.433,5902.1,NA,NA,4870.833,4871.067,6322.233,6322.367,8844.033,8844.166
388,NA,NA,6346.667,6433.467,NA,NA,4872.533,4872.867,6322.467,6326.833,8844.999,8845.866
389,NA,NA,6433.833,6435.467,NA,NA,4873.667,4877.167,6327.567,6328.2,8876.166,8876.199
390,NA,NA,6435.867,6437.333,NA,NA,4877.233,4877.267,6329.6,6329.767,8910.699,8911.299
391,NA,NA,6437.7,6437.9,NA,NA,4877.333,4883.2,6330.1,6331.833,8951.433,8951.499
392,NA,NA,6438.033,6438.8,NA,NA,4883.3,4887.767,6332.433,6333.1,9012.633,9018.566
393,NA,NA,6439.1,6441.8,NA,NA,4888.433,4890.8,6336.5,6336.8,9033.299,9036.166
394,NA,NA,6443.1,6443.333,NA,NA,4891,4891.133,6337.2,6337.567,9036.266,9038.533
395,NA,NA,6453.967,6454,NA,NA,4891.7,4896.2,6339.533,6339.633,9038.599,9042.266
396,NA,NA,6454.033,6454.667,NA,NA,4896.267,4896.3,6607.967,6608.2,9042.533,9071.733
397,NA,NA,6454.733,6455.3,NA,NA,4916.2,4918.1,6610.633,6611.033,9072.133,9072.199
398,NA,NA,6459.667,6459.733,NA,NA,4918.367,4918.6,6633.233,6633.533,9072.266,9072.399
399,NA,NA,6460.333,6460.6,NA,NA,4969.533,4969.733,6636.733,6637,9072.466,9072.533
400,NA,NA,6751.833,6752.266,NA,NA,4969.767,4976,6640.433,6662.467,9084.766,9090.533
401,NA,NA,6752.3,6752.966,NA,NA,4976.1,4981.2,6676.433,6676.533,9090.766,9090.899
402,NA,NA,7886.166,7889.333,NA,NA,4981.433,4981.733,6687,6687.3,9091.099,9091.433
403,NA,NA,7889.366,7889.433,NA,NA,4981.967,4985.233,6690.133,6690.167,9091.899,9093.433
404,NA,NA,7889.499,7889.666,NA,NA,4985.433,4986.733,6753.333,6753.566,9100.099,9100.299
405,NA,NA,7889.799,7889.833,NA,NA,4986.8,4988.567,6754.666,6755.033,9104.766,9105.633
406,NA,NA,7889.933,7893.899,NA,NA,4988.633,4989.067,6755.066,6759.233,9198.699,9198.833
407,NA,NA,7893.966,7894.099,NA,NA,4998.733,4998.9,6760.1,6760.166,9198.966,9199.433
408,NA,NA,7894.233,7894.266,NA,NA,5169.633,5170,6760.233,6760.3,9200.166,9201.599
409,NA,NA,7909.499,7910.933,NA,NA,5170.133,5170.967,6760.6,6761.833,9224.633,9226.566
410,NA,NA,7925.133,7925.666,NA,NA,5263.3,5266.9,6773.066,6774.166,9234.966,9234.999
411,NA,NA,7925.799,7927.533,NA,NA,5267.033,5267.067,6795.633,6795.666,9235.166,9235.399
412,NA,NA,7927.633,7927.999,NA,NA,5267.1,5287.967,6796.666,6797.066,9235.499,9238.366
413,NA,NA,7928.299,7932.366,NA,NA,5288.167,5288.267,6797.766,6798.033,9239.099,9239.299
414,NA,NA,7932.633,7958.233,NA,NA,5288.4,5288.533,6806.533,6806.733,9239.566,9243.199
415,NA,NA,7959.066,7959.099,NA,NA,5288.833,5290,6810.766,6811.166,9260.533,9260.699
416,NA,NA,7959.266,7959.533,NA,NA,5290.267,5292.233,6814.666,6814.766,9267.266,9268.133
417,NA,NA,7961.766,7968.233,NA,NA,5292.767,5295.667,6854.8,6882.233,9270.133,9273.033
418,NA,NA,7968.766,7968.933,NA,NA,5327.433,5328.633,6901.8,6903.6,9275.533,9275.766
419,NA,NA,7968.966,7969.099,NA,NA,5333.6,5341.333,6915.5,6921.933,9278.599,9279.999
420,NA,NA,7969.499,7969.766,NA,NA,5346.567,5353.467,6923.166,6923.8,9322.866,9323.999
421,NA,NA,7970.566,7971.099,NA,NA,5432.1,5435.767,6926.066,6926.1,9324.533,9324.666
422,NA,NA,7996.399,7996.433,NA,NA,5435.933,5436,6926.2,6926.233,9324.733,9328.633
423,NA,NA,7997.166,7997.199,NA,NA,5436.267,5436.567,6927.233,6927.266,9490.433,9504.866
424,NA,NA,8009.133,8009.533,NA,NA,5436.967,5457.8,6927.3,6928.033,9509.099,9509.133
425,NA,NA,8111.766,8112.866,NA,NA,5503.6,5505.467,6928.1,6928.166,9509.266,9509.466
426,NA,NA,8133.533,8138.299,NA,NA,5511.733,5525.233,6928.433,6929.533,9511.166,9512.399
427,NA,NA,8138.466,8138.633,NA,NA,5639.233,5641.1,6930.1,6930.4,9512.499,9512.699
428,NA,NA,8145.899,8147.599,NA,NA,5748.633,5755.167,6930.7,6931.6,9575.233,9575.533
429,NA,NA,8147.833,8147.899,NA,NA,5797.333,5802.733,6931.633,6942.233,9578.199,9578.866
430,NA,NA,8148.899,8149.333,NA,NA,5802.8,5808.667,6943.1,6947.133,9578.899,9579.633
431,NA,NA,8149.499,8154.399,NA,NA,5808.833,5814.067,6976.7,6979.433,9583.133,9583.699
432,NA,NA,8154.433,8166.733,NA,NA,5814.7,5815.6,6984.6,6984.666,9583.766,9584.066
433,NA,NA,8167.766,8169.499,NA,NA,5846.433,5848.267,7752.633,7769.499,9593.899,9596.666
434,NA,NA,8170.566,8170.666,NA,NA,5866.967,5867,7769.633,7771.766,9596.866,9596.933
435,NA,NA,8173.799,8174.233,NA,NA,5871,5871.467,7772.066,7778.499,9604.333,9604.566
436,NA,NA,8174.666,8174.733,NA,NA,5882.467,5885,7823.333,7823.633,9605.099,9605.166
437,NA,NA,8186.633,8198.099,NA,NA,5887.767,5887.867,7850.399,7850.633,9610.866,9611.399
438,NA,NA,8198.266,8198.333,NA,NA,5887.933,5888.167,7852.733,7853.699,9652.366,9652.633
439,NA,NA,8198.366,8198.433,NA,NA,5890,5891.467,7854.333,7854.599,9652.933,9653.033
440,NA,NA,8198.466,8198.533,NA,NA,5908.5,5912.3,7854.799,7858.233,9745.466,9745.599
441,NA,NA,8198.633,8218.966,NA,NA,5912.6,5930.067,7858.333,7858.599,9770.799,9771.066
442,NA,NA,8219.066,8241.666,NA,NA,6010.033,6022.733,7864.799,7869.899,9771.199,9783.099
443,NA,NA,8263.066,8272.366,NA,NA,6027.367,6027.4,7870.866,7872.566,9788.866,9788.966
444,NA,NA,8273.266,8273.366,NA,NA,6027.833,6027.867,7900.566,7902.399,9869.099,9871.499
445,NA,NA,8275.233,8276.466,NA,NA,6027.9,6028.633,7903.866,7903.999,9913.299,9913.433
446,NA,NA,8276.499,8276.666,NA,NA,6028.667,6117.333,8043.733,8043.999,9929.733,9930.166
447,NA,NA,8277.699,8289.833,NA,NA,6117.733,6155.433,8060.299,8060.599,9935.966,9944.566
448,NA,NA,8289.866,8289.899,NA,NA,6159.467,6159.6,8061.133,8062.566,9948.866,9950.499
449,NA,NA,8289.933,8290.466,NA,NA,6159.8,6160.267,8093.399,8093.666,9951.633,9959.199
450,NA,NA,8400.666,8401.999,NA,NA,6165.8,6165.867,8256.099,8257.133,9964.033,9964.299
451,NA,NA,8402.233,8403.566,NA,NA,6184,6184.2,8354.366,8354.699,9964.633,9966.433
452,NA,NA,8403.833,8403.933,NA,NA,6184.467,6187.667,8354.966,8355.033,9967.766,9967.799
453,NA,NA,8405.166,8408.166,NA,NA,6194.8,6195.333,9519.766,9522.033,9968.133,9968.199
454,NA,NA,8408.899,8408.933,NA,NA,6195.5,6213.2,9522.133,9522.366,9968.766,9971.899
455,NA,NA,8408.999,8409.033,NA,NA,6213.733,6215.933,9522.533,9522.566,9985.499,9985.533
456,NA,NA,8411.166,8411.599,NA,NA,6216.3,6218.3,9522.866,9523.533,9986.566,9988.866
457,NA,NA,8411.666,8411.966,NA,NA,6218.867,6235.067,9526.133,9526.766,9989.099,9989.366
458,NA,NA,8412.599,8412.866,NA,NA,6236.133,6237.733,9527.533,9527.699,9989.899,10002.033
459,NA,NA,8413.966,8414.099,NA,NA,6240.2,6240.467,9529.499,9529.699,10003.466,10005.199
460,NA,NA,8414.499,8414.533,NA,NA,6240.867,6301.533,9529.999,9530.866,10006.099,10020.733
461,NA,NA,8419.999,8420.466,NA,NA,6301.567,6301.633,9531.233,9531.533,10020.966,10022.133
462,NA,NA,8424.033,8424.566,NA,NA,6301.833,6302.2,9531.599,9533.633,10033.966,10034.199
463,NA,NA,8425.733,8456.133,NA,NA,6302.233,6315,9533.966,9534.133,10034.299,10034.533
464,NA,NA,8456.799,8456.933,NA,NA,6316.933,6317.133,9534.166,9536.299,10034.799,10035.199
465,NA,NA,8456.999,8457.133,NA,NA,6317.167,6317.2,9793.499,9798.966,10035.299,10035.766
466,NA,NA,8457.466,8457.999,NA,NA,6317.233,6317.833,9800.399,9803.866,10035.933,10036.499
467,NA,NA,8460.366,8460.633,NA,NA,6319.5,6319.667,9816.333,9816.366,10036.699,10036.933
468,NA,NA,8461.433,8469.399,NA,NA,6320.067,6320.133,9816.499,9816.966,10039.833,10040.499
469,NA,NA,8469.599,8469.666,NA,NA,6320.3,6320.967,9817.066,9817.166,10042.233,10048.033
470,NA,NA,8469.866,8471.733,NA,NA,6321.033,6322.233,9817.399,9819.366,10135.199,10135.466
471,NA,NA,8516.966,8519.066,NA,NA,6322.367,6322.467,9821.366,9821.866,10135.533,10140.399
472,NA,NA,8519.233,8519.866,NA,NA,6326.833,6327.567,9822.066,9823.333,10140.799,10151.033
473,NA,NA,8520.266,8522.699,NA,NA,6328.2,6329.6,10808.665,10808.699,10151.666,10153.733
474,NA,NA,8524.299,8536.699,NA,NA,6329.767,6330.1,10808.732,10809.165,10153.899,10154.166
475,NA,NA,8536.766,8541.466,NA,NA,6331.833,6332.433,10809.699,10810.165,10154.199,10154.699
476,NA,NA,8541.599,8542.233,NA,NA,6333.1,6336.5,10810.932,10810.965,10154.799,10157.999
477,NA,NA,8543.099,8553.066,NA,NA,6336.8,6337.2,10811.132,10819.932,10158.333,10167.399
478,NA,NA,8553.199,8553.233,NA,NA,6337.567,6339.533,10822.265,10822.332,10168.633,10187.333
479,NA,NA,8553.466,8553.499,NA,NA,6339.633,6344.467,10823.732,10823.865,10189.499,10193.066
480,NA,NA,8565.133,8568.799,NA,NA,6460.9,6607.967,10824.099,10824.365,10196.833,10213.233
481,NA,NA,8570.399,8605.866,NA,NA,6608.2,6610.633,10825.932,10829.032,10213.266,10213.366
482,NA,NA,8605.899,8606.299,NA,NA,6611.033,6633.233,10831.632,10831.865,10213.433,10214.133
483,NA,NA,8606.399,8685.799,NA,NA,6633.533,6636.733,10832.365,10832.632,10214.233,10217.933
484,NA,NA,8685.933,8714.266,NA,NA,6637,6640.433,10833.199,10833.832,10221.566,10224.599
485,NA,NA,8714.366,8718.199,NA,NA,6662.467,6664.933,10833.999,10835.032,10224.666,10225.133
486,NA,NA,8719.133,8719.199,NA,NA,6675.967,6676.433,10841.565,10841.765,10225.866,10227.733
487,NA,NA,8719.266,8721.333,NA,NA,6676.533,6687,10842.065,10842.832,10227.899,10228.566
488,NA,NA,8749.333,8751.299,NA,NA,6687.3,6687.9,10845.732,10845.799,10228.599,10228.633
489,NA,NA,8751.433,8751.799,NA,NA,6691,6698.567,10846.899,10847.132,10228.699,10229.333
490,NA,NA,8792.766,8797.266,NA,NA,6702.7,6702.767,10847.199,10848.065,10229.433,10229.633
491,NA,NA,8797.499,8797.633,NA,NA,6753.266,6753.333,10848.565,10849.799,10231.266,10232.333
492,NA,NA,8797.899,8797.966,NA,NA,6753.566,6754.666,10850.632,10850.932,10232.866,10235.766
493,NA,NA,8804.799,8832.833,NA,NA,6755.033,6755.066,10851.032,10851.332,10235.933,10238.599
494,NA,NA,8836.399,8844.033,NA,NA,6759.233,6760.1,10854.799,10854.832,10238.666,10239.733
495,NA,NA,8844.166,8844.999,NA,NA,6760.166,6760.233,10854.899,10857.032,10240.399,10241.666
496,NA,NA,8845.866,8876.166,NA,NA,6760.3,6760.6,10857.665,10857.865,10242.199,10242.966
497,NA,NA,8876.199,8910.699,NA,NA,6761.833,6773.066,10882.799,10883.265,10243.466,10243.833
498,NA,NA,8911.299,8951.433,NA,NA,6774.166,6774.733,10883.332,10883.399,10243.866,10249.133
499,NA,NA,8951.499,9012.633,NA,NA,6795.466,6795.633,10883.432,10883.565,10251.299,10251.433
500,NA,NA,9018.566,9033.299,NA,NA,6795.666,6796.666,10884.099,10884.232,10251.566,10252.266
501,NA,NA,9036.166,9036.266,NA,NA,6797.066,6797.766,10885.099,10885.299,10252.466,10257.166
502,NA,NA,9038.533,9038.599,NA,NA,6798.033,6806.533,10886.699,10886.999,10257.266,10257.633
503,NA,NA,9042.266,9042.533,NA,NA,6806.733,6810.766,10887.432,10887.799,10260.433,10260.733
504,NA,NA,9071.733,9072.133,NA,NA,6811.166,6814.666,10889.332,10889.465,10261.166,10270.466
