"X1","Center_start","Center_stop","Left_start","Left_stop","Unknown_start","Unknown_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Left_start","Contact_Left_stop"
62,1122.1,1145.967,350.933,351.033,NA,NA,487.1,487.133,489.267,489.333,392.067,392.133
63,1162.8,1166.367,351.233,358.733,NA,NA,487.2,487.433,489.367,489.467,426.4,428.1
64,1183.2,1185.633,359.6,365.633,NA,NA,487.5,487.9,489.567,489.667,428.267,431.233
65,1190.733,1191.033,365.8,366.767,NA,NA,488.1,488.133,494.267,494.433,435.933,442.333
66,1379.633,1380.167,367.067,367.367,NA,NA,488.333,489.267,495.3,499.667,445,446.1
67,1417.267,1417.5,368.733,368.933,NA,NA,489.333,489.367,499.7,500.4,446.633,446.667
68,1420.167,1426.167,369.5,370.067,NA,NA,489.467,489.567,507,507.133,446.967,447.233
69,1427.133,1435.1,371.3,372.133,NA,NA,489.667,494.267,507.4,509.2,447.267,451.133
70,1439.2,1439.6,372.167,372.2,NA,NA,494.433,495.3,510.4,511.3,457.233,457.4
71,1440.833,1463.267,372.5,372.7,NA,NA,499.667,499.7,517.767,517.933,477.733,479.633
72,1463.3,1463.467,373.433,378.933,NA,NA,500.4,507,524.4,533.967,603.1,607.933
73,1464.567,1547.167,379.267,379.333,NA,NA,507.133,507.4,535.5,541.467,609.067,609.167
74,1562.6,1563.8,383.267,384,NA,NA,509.2,510.4,545.633,546.3,609.233,609.933
75,1564.2,1571.333,392,392.067,NA,NA,511.3,517.767,546.333,546.367,610,610.133
76,1583.833,1585.4,392.133,426.4,NA,NA,517.933,524.4,547.267,548.067,611.767,612.667
77,1588.533,1588.867,428.1,428.267,NA,NA,533.967,535.5,548.767,551.733,612.767,613.333
78,1635.233,1641.633,431.233,431.367,NA,NA,541.467,545.633,625.667,625.767,613.567,614.667
79,1670.9,1708.367,442.333,445,NA,NA,546.3,546.333,674.5,675.9,617.867,619.733
80,1743.8,1748.033,446.1,446.633,NA,NA,546.367,547.267,683.333,683.433,622.1,622.567
81,1750.1,1757.267,446.667,446.967,NA,NA,548.067,548.767,683.633,694.2,622.633,622.967
82,1764.767,1767.133,447.233,447.267,NA,NA,551.733,600.1,697.3,699.867,623,623.167
83,1831.4,1834.433,451.133,457.233,NA,NA,625.633,625.667,734.133,734.267,623.233,623.3
84,1834.833,1835.367,457.4,477.733,NA,NA,625.767,628.4,734.967,752.7,623.4,623.467
85,1836,1843.133,479.633,480.6,NA,NA,640.667,648.833,753.167,753.267,634.133,634.567
86,1846.833,1858.767,600.8,603.1,NA,NA,673.367,674.5,810.867,811,639.5,639.6
87,1861.067,1870.167,607.933,609.067,NA,NA,675.9,683.333,816.7,816.967,639.733,639.967
88,1902.733,2118.4,609.167,609.233,NA,NA,683.433,683.633,817.4,818.833,721.167,721.333
89,2134.1,2140,609.933,610,NA,NA,694.2,697.3,819.067,819.433,807.2,807.333
90,2145.967,2260.133,610.133,611.767,NA,NA,699.867,713.6,819.6,819.933,807.433,807.933
91,2260.633,2261.233,612.667,612.767,NA,NA,728.5,734.133,820,820.033,808.033,808.3
92,2303,2303.9,613.333,613.567,NA,NA,734.267,734.967,820.133,820.2,837.567,837.667
93,2308.833,2309.267,614.667,617.867,NA,NA,752.7,753.167,822.2,822.433,837.867,838.267
