"X1","Center_start","Center_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
51,4142.333,4208.433,925.834,925.867,441.834,441.9,545.967,546.4,702.2,702.5,NA,NA,NA,NA
52,4208.5,4209.6,926.467,926.567,442,442.034,626.034,626.4,702.534,702.934,NA,NA,NA,NA
53,4220,4222.833,926.7,927,442.167,442.267,626.5,626.734,924.467,925.334,NA,NA,NA,NA
54,4256.2,4263.367,1066.434,1069.934,442.5,442.7,729.267,730.3,925.5,925.834,NA,NA,NA,NA
55,4283.633,4309.1,1070.567,1114.7,545.9,545.967,800.667,800.834,925.867,926.467,NA,NA,NA,NA
56,4370.9,4370.933,1116,1117.067,546.4,626.034,801.2,801.3,926.567,926.7,NA,NA,NA,NA
57,4371.033,4420.867,1118.067,1239.734,626.4,626.5,802.334,805.2,1069.934,1070.567,NA,NA,NA,NA
58,4481.367,4484.5,1240.267,1240.4,626.734,627.967,806.2,806.3,1114.7,1116,NA,NA,NA,NA
59,4534.133,4541.8,1242.467,1246.334,726.8,729.267,806.5,806.6,1117.067,1118.067,NA,NA,NA,NA
60,6680,6682.333,1247.934,1249.334,730.3,800.667,806.8,806.9,1280.9,1281.934,NA,NA,NA,NA
61,6693.733,6829.067,1278.334,1280.9,800.834,801.2,807.967,808.134,1283.134,1283.6,NA,NA,NA,NA
62,9686.499,9689.099,1281.934,1283.134,801.3,802.334,808.3,808.567,1287.067,1287.367,NA,NA,NA,NA
63,9713.732,9731.199,1283.6,1287.067,805.2,806.2,808.667,808.767,1287.467,1289.834,NA,NA,NA,NA
64,9733.299,9736.866,1287.367,1287.467,806.3,806.5,810.034,810.434,1291.034,1291.134,NA,NA,NA,NA
65,9751.632,9758.066,1289.834,1291.034,806.6,806.8,814.667,816,1291.5,1292.267,NA,NA,NA,NA
66,9818.332,9838.966,1291.134,1291.5,806.9,807.967,836.2,836.534,1467.2,1467.267,NA,NA,NA,NA
67,9873.399,9874.366,1292.267,1293.6,808.134,808.3,836.7,837.4,1958.534,1958.567,NA,NA,NA,NA
68,9892.099,9923.766,1960.134,1961.534,808.567,808.667,838.067,838.134,1958.6,1959.3,NA,NA,NA,NA
69,9924.266,9945.599,1963.3,1971.1,808.767,810.034,838.234,838.567,1961.534,1963.3,NA,NA,NA,NA
70,9952.899,9958.766,1971.267,1973.267,810.434,814.667,840.5,841.734,1971.1,1971.267,NA,NA,NA,NA
71,9976.532,9979.499,1973.367,1980.667,816,817.734,846,846.267,3670.6,3671.7,NA,NA,NA,NA
72,10013.999,10023.232,3669.167,3670.6,834.434,836.2,846.534,850.6,3671.9,3694.033,NA,NA,NA,NA
73,10027.832,10030.199,3671.7,3671.9,836.534,836.7,1048.634,1048.867,3698,3698.067,NA,NA,NA,NA
