"X1","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
54,901.433,901.6,946.8,946.933,1441.033,1442.933,471.467,472.067,585.167,585.233,12073.965,12075.799,NA,NA
55,901.633,920.433,948.533,949.5,1443.167,1443.7,472.4,479.267,586.2,590.333,12817.832,12827.565,NA,NA
56,920.567,920.833,950,950.367,1444.933,1446.8,482.267,485.967,645.767,649.1,12939.965,12949.632,NA,NA
57,921.5,923.333,959.7,962.3,1485.033,1485.8,487.667,494.967,649.133,650.533,12953.132,12965.299,NA,NA
58,923.367,923.433,962.367,962.833,1499.633,1509.133,495.267,495.333,651.533,663.533,13035.065,13041.632,NA,NA
59,923.7,925.667,963.033,964.5,1518.467,1518.867,495.733,495.767,667.067,667.233,13277.965,13282.732,NA,NA
60,925.733,926.533,965.3,965.367,1679.3,1679.8,495.833,496.967,667.3,670.1,13337.332,13354.132,NA,NA
61,927.7,927.867,965.433,965.633,1689.333,1692.433,509.3,511.167,670.3,670.633,13817.899,13820.099,NA,NA
62,930.367,930.433,976.033,976.567,1693.933,1714.3,543.533,582.467,671.9,674.333,13900.665,13901.599,NA,NA
63,933.233,940.167,977.3,977.5,1715.633,1739.267,582.533,582.833,751.533,751.667,13906.232,13908.832,NA,NA
64,941.233,941.4,977.567,977.7,1753.3,1753.733,583.033,584.033,751.833,751.867,14543.465,14548.498,NA,NA
65,941.6,941.633,978.367,978.767,1773.8,1778.567,584.067,584.1,751.933,752.1,14552.198,14552.231,NA,NA
66,942.367,942.567,980.5,980.967,1797.1,1797.567,584.167,584.267,752.9,754.7,14761.365,14765.031,NA,NA
67,943.467,943.7,981.1,981.767,1801.067,1804.2,584.433,584.767,755.2,755.333,14799.965,14801.765,NA,NA
68,944.667,945.1,983.967,984.167,1806.8,1839.933,585.133,585.167,756.3,762.633,14857.398,14858.131,NA,NA
69,945.867,946.033,984.233,985.233,1847.767,1849,585.233,586.2,763,765.033,14882.165,14891.831,NA,NA
70,946.2,946.267,985.367,986.167,1878.733,1881.167,590.333,590.7,765.067,770.567,14931.631,14935.498,NA,NA
71,946.333,946.8,986.567,987.7,1961.933,1967.4,630.567,645.767,789.5,797,14937.498,14941.665,NA,NA
72,946.933,948.533,1204,1204.033,1968.067,1990.3,649.1,649.133,848.033,848.467,15025.698,15027.498,NA,NA
73,949.5,950,1205.1,1205.233,2057.233,2064.6,650.533,651.533,849,850.867,15405.865,15409.465,NA,NA
74,950.367,959.7,1205.6,1205.633,2120.533,2131.3,663.533,667.067,851.7,853.5,15427.031,15436.965,NA,NA
75,962.3,962.367,1206.067,1206.7,2225.967,2226.533,667.233,667.3,886.2,887.333,15582.631,15584.431,NA,NA
76,962.833,963.033,1208.533,1212.9,2243.267,2244.5,670.1,670.3,996.167,1004.233,15689.365,15694.165,NA,NA
77,964.5,965.3,1212.933,1213.033,2252.5,2257.167,670.633,671.9,1004.567,1004.767,15696.931,15700.865,NA,NA
78,965.367,965.433,1224.767,1225.733,2357.967,2358.5,674.333,684.6,1004.967,1005.167,16041.931,16043.331,NA,NA
79,965.633,976.033,1225.767,1225.8,2359.5,2363.267,736.567,750.233,1005.567,1007.7,16044.231,16045.531,NA,NA
80,976.567,977.3,1226,1234.067,2369.2,2391.7,750.5,751.533,1008.1,1009.367,16205.731,16214.565,NA,NA
81,977.5,977.567,1235.367,1235.567,2391.967,2394.2,751.667,751.833,1013.433,1013.7,16406.198,16409.265,NA,NA
82,977.7,978.367,1235.633,1235.7,2402.333,2402.933,751.867,751.933,1014.167,1014.3,16703.131,16703.531,NA,NA
83,978.767,980.5,1258,1258.567,2414.933,2418.767,752.1,752.9,1015.433,1015.5,16803.398,16808.398,NA,NA
84,980.967,981.1,1258.6,1258.867,2425.833,2432.7,754.7,755.2,1015.567,1017.5,16822.398,16824.598,NA,NA
85,981.767,983.967,1261.767,1262.433,2451.7,2452.033,755.333,756.3,1017.7,1019.967,16855.798,16859.165,NA,NA
86,984.167,984.233,1262.533,1262.667,2455.933,2456.567,762.633,763,1020.433,1020.5,16870.931,16880.198,NA,NA
87,985.233,985.367,1262.767,1263.433,2456.633,2456.733,765.033,765.067,1036.633,1037.5,17034.965,17036.231,NA,NA
88,986.167,986.567,1266.067,1266.2,2456.833,2457.833,770.567,789.5,1053.733,1054.2,17138.798,17201.965,NA,NA
89,987.7,988.3,1682.767,1683.167,2458.633,2459.433,797,848.033,1189.933,1194.133,17316.731,17325.798,NA,NA
90,1203.767,1204,1685.967,1686.333,2461.333,2475.333,848.467,849,1276.6,1278.167,17338.665,17344.665,NA,NA
91,1204.033,1205.1,1686.4,1686.667,2489.033,2489.433,850.867,851.7,1325,1325.367,20053.831,20067.897,NA,NA
92,1205.233,1205.6,1686.7,1686.733,2502.9,2506.7,853.5,854.6,1326.867,1329.033,20216.331,20217.231,NA,NA
93,1205.633,1206.067,1688.967,1689.3,2652.833,2653.5,873.367,877.067,1367.467,1367.933,20354.631,20357.131,NA,NA
94,1206.7,1208.533,1747.2,1747.733,2666.6,2667.133,885.633,886.2,1368.5,1371.533,20551.164,20556.064,NA,NA
95,1212.9,1212.933,1840,1840.333,2667.3,2667.467,887.333,895.167,1386.433,1387.033,20561.331,20566.131,NA,NA
96,1213.033,1219.767,1846.833,1847.067,2674.8,2675.267,988.633,996.167,1389.3,1390.5,20689.264,20690.331,NA,NA
97,1222,1224.767,1847.133,1847.167,2679.7,2690.467,1004.233,1004.567,1461.333,1466.767,20752.131,20754.964,NA,NA
98,1225.733,1225.767,1847.333,1847.567,2711.867,2715.667,1004.767,1004.967,1467.2,1484.633,20757.397,20761.964,NA,NA
99,1225.8,1226,1897.533,1897.767,2823.133,2823.8,1005.167,1005.567,1520.9,1521.333,20929.964,20934.164,NA,NA
100,1234.067,1235.367,1910,1910.133,2824.733,2826.667,1007.7,1008.1,1556.9,1557.2,21092.364,21094.897,NA,NA
101,1235.567,1235.633,1911.833,1911.967,2864.233,2867.6,1009.367,1013.433,1661.567,1661.6,21280.097,21283.364,NA,NA
102,1235.7,1236.3,1913.4,1914.7,2912.633,2913.8,1013.7,1014.167,1661.633,1666.5,21304.631,21344.431,NA,NA
103,1257.733,1258,1916.267,1916.367,2921.8,2923.533,1014.3,1015.433,1693.367,1693.433,21438.631,21440.031,NA,NA
104,1258.567,1258.6,1916.5,1916.7,2931.933,2932.367,1015.5,1015.567,1785.633,1785.767,21489.964,21494.764,NA,NA
105,1258.867,1258.9,1916.933,1918.133,2992.167,3031.867,1017.5,1017.7,1787,1796.967,21508.164,21515.931,NA,NA
106,1258.967,1261.767,1918.567,1918.733,3035.4,3039.333,1019.967,1020.433,1871.667,1876,21517.264,21517.664,NA,NA
107,1262.433,1262.533,1995.733,1995.8,3074.933,3075.5,1020.5,1036.633,2085.5,2085.633,NA,NA,NA,NA
108,1262.667,1262.767,1996,1996.533,3079.9,3082.267,1037.5,1053.733,2085.8,2088.467,NA,NA,NA,NA
109,1263.433,1266.067,1997.1,1997.7,3083.133,3085.267,1054.2,1189.933,2089.433,2090.6,NA,NA,NA,NA
110,1266.2,1266.933,1997.967,1998.367,3152.933,3154.133,1194.133,1201.833,2111.333,2112.9,NA,NA,NA,NA
111,1281.3,1302.267,1998.7,1999,3167.7,3169.033,1236.567,1253.933,2115.533,2116.8,NA,NA,NA,NA
112,1312.133,1313.333,2056.667,2056.733,3180.333,3180.833,1267.233,1276.6,2454.1,2455.733,NA,NA,NA,NA
113,1314.067,1314.7,2056.867,2056.967,3190.667,3200.133,1278.167,1279.8,2492.2,2496.833,NA,NA,NA,NA
114,1316.067,1316.233,2136.967,2137.6,3200.167,3200.267,1321,1325,2655.367,2657.733,NA,NA,NA,NA
115,1319.5,1320.533,2138.5,2140.1,3203.267,3228.033,1325.367,1326.867,2661.667,2662.5,NA,NA,NA,NA
116,1354.8,1356.3,2140.567,2141.733,3231.9,3234.433,1329.033,1329.667,2662.9,2666.367,NA,NA,NA,NA
117,1393.3,1397.8,2143.2,2144.233,3243.067,3271.067,1361.3,1367.467,2676.9,2678.167,NA,NA,NA,NA
118,1420.7,1428.233,2148.567,2149.3,3288.6,3300.767,1367.933,1368.5,2709.767,2710.333,NA,NA,NA,NA
119,1442.933,1443.167,2149.767,2150.967,3342.4,3342.867,1371.533,1386.433,2867.767,2912.333,NA,NA,NA,NA
120,1443.7,1444.933,2151.633,2153.067,3420.033,3427.933,1387.033,1389.3,2958.1,2958.467,NA,NA,NA,NA
121,1485.8,1499.633,2168.633,2168.967,3433.267,3433.933,1390.5,1391.1,2958.633,2962.167,NA,NA,NA,NA
122,1509.133,1510.533,2169,2170.133,3807.633,3810.867,1428.767,1433.167,2964.7,2964.833,NA,NA,NA,NA
123,1511.333,1518.467,2172.5,2172.667,3811.133,3811.167,1433.3,1433.4,2991.633,2991.933,NA,NA,NA,NA
124,1679.8,1682.767,2175.433,2175.467,3811.633,3812.7,1433.533,1434.067,3046.133,3046.833,NA,NA,NA,NA
125,1683.167,1685.967,2178.8,2179.3,3813.4,3814,1434.3,1434.367,3046.9,3048.267,NA,NA,NA,NA
126,1686.333,1686.4,2209.2,2209.433,3842.533,3845.933,1435.1,1440.2,3065.7,3065.733,NA,NA,NA,NA
127,1686.667,1686.7,2209.533,2209.567,3852.467,3866.8,1440.633,1441.033,3065.8,3065.867,NA,NA,NA,NA
128,1686.733,1688.967,2209.6,2210.133,3880.033,3890.533,1446.8,1461.333,3066.633,3066.8,NA,NA,NA,NA
129,1689.3,1689.333,2223.067,2225.5,3907.8,3912.567,1466.767,1467.2,3067.133,3069.233,NA,NA,NA,NA
130,1714.3,1715.633,2275.267,2279.567,3926.8,3934.1,1484.633,1485.033,3069.367,3069.4,NA,NA,NA,NA
131,1739.267,1739.933,2279.667,2279.933,3934.233,3934.367,1518.867,1520.9,3154.133,3158.033,NA,NA,NA,NA
132,1747.733,1753.3,2282.9,2283.367,3934.667,3941.4,1521.333,1556.9,3159.233,3159.3,NA,NA,NA,NA
133,1753.733,1773.8,2508.967,2509.267,3941.9,3942.167,1557.2,1661.567,3159.467,3159.6,NA,NA,NA,NA
134,1797.567,1801.067,2510.9,2512.033,3943.367,3948.267,1661.6,1661.633,3159.933,3164.933,NA,NA,NA,NA
135,1839.933,1840,2512.233,2515.7,3981.467,3982.467,1666.5,1679.3,3165,3167.433,NA,NA,NA,NA
136,1840.333,1846.833,2550.067,2550.633,3983,3989.533,1692.433,1693.367,3185.033,3186.3,NA,NA,NA,NA
137,1847.067,1847.133,2551.5,2552.567,3989.567,3989.633,1693.433,1693.933,3200.133,3200.167,NA,NA,NA,NA
138,1847.167,1847.333,2627.067,2629.167,3989.667,3990.367,1778.567,1785.633,3200.267,3203.267,NA,NA,NA,NA
139,1847.567,1847.767,2633.967,2634.167,4006.933,4007.467,1785.767,1787,3272.2,3274.6,NA,NA,NA,NA
140,1881.167,1897.533,2634.233,2634.433,4007.733,4009.233,1796.967,1797.1,3287,3287.2,NA,NA,NA,NA
141,1897.767,1910,2674.367,2674.5,4035.3,4038.8,1804.2,1806.8,3349.033,3350.4,NA,NA,NA,NA
142,1910.133,1911.833,2674.667,2674.767,4042.433,4044.1,1849,1852.733,3354.3,3355,NA,NA,NA,NA
143,1911.967,1913.4,2716.133,2716.5,4051.533,4060.167,1856.1,1871.667,3355.633,3361.667,NA,NA,NA,NA
144,1914.7,1916.267,2718.367,2718.433,4074.8,4113.167,1876,1878.733,3362.767,3362.9,NA,NA,NA,NA
145,1916.367,1916.5,2805.433,2805.633,4148.5,4154.233,1967.4,1968.067,3364.733,3364.867,NA,NA,NA,NA
146,1916.7,1916.933,2815.567,2817.767,4155.533,4168.733,2064.6,2085.5,3365.267,3365.467,NA,NA,NA,NA
147,1918.133,1918.567,2822.533,2822.6,4180.233,4180.8,2085.633,2085.8,3366.633,3369.467,NA,NA,NA,NA
148,1918.733,1961.933,2822.733,2822.8,4281.833,4290.3,2088.467,2089.433,3390.467,3393.233,NA,NA,NA,NA
149,1990.3,1995.733,2827.4,2828.367,4312.867,4315.8,2090.6,2111.333,3393.333,3393.367,NA,NA,NA,NA
150,1995.8,1996,2828.433,2829,4335.533,4339.233,2112.9,2115.533,3393.4,3395.3,NA,NA,NA,NA
151,1996.533,1997.1,2926.933,2928.467,4346.167,4346.333,2116.8,2120.533,3395.367,3395.4,NA,NA,NA,NA
152,1997.7,1997.967,2929.6,2929.7,4348.033,4381.3,2226.533,2243.267,3395.433,3398.9,NA,NA,NA,NA
153,1998.367,1998.7,2930.8,2931.6,4615.1,4618.533,2358.5,2359.5,3398.967,3399,NA,NA,NA,NA
154,1999,2056.667,3099.333,3100.733,4624.9,4626.767,2363.267,2369.2,3399.033,3401.333,NA,NA,NA,NA
155,2056.733,2056.867,3101.367,3104.367,4823.7,4871.767,2391.7,2391.967,3401.967,3412.933,NA,NA,NA,NA
156,2056.967,2057.233,3175.867,3176.167,4871.867,4873.733,2402.933,2405.733,3413.867,3413.9,NA,NA,NA,NA
157,2131.3,2136.967,3178.8,3179.033,4873.8,4873.867,2407.433,2414.933,3445,3468.967,NA,NA,NA,NA
158,2137.6,2138.5,3179.233,3179.933,4875.2,4878.067,2418.767,2425.3,3470.4,3475.8,NA,NA,NA,NA
159,2140.1,2140.567,3304,3314.167,4878.933,4881.267,2425.7,2425.833,3475.967,3491.4,NA,NA,NA,NA
160,2141.733,2143.2,3336.667,3339.3,5012.267,5013.767,2452.033,2454.1,3493.033,3494.367,NA,NA,NA,NA
161,2144.233,2148.567,3872.533,3872.6,5013.967,5014.267,2455.733,2455.933,3509.333,3535.767,NA,NA,NA,NA
162,2149.3,2149.767,3891.867,3895.1,5016.933,5017.7,2489.433,2492.2,3535.767,3574.167,NA,NA,NA,NA
163,2150.967,2151.633,3895.9,3896.367,5021.3,5023.533,2496.833,2502.9,3576.1,3628.167,NA,NA,NA,NA
164,2153.067,2168.633,4170.6,4172.3,5032.567,5032.6,2653.5,2655.367,3629.333,3630.267,NA,NA,NA,NA
165,2168.967,2169,4174.833,4174.867,5032.667,5032.9,2657.733,2661.667,3630.733,3630.767,NA,NA,NA,NA
166,2170.133,2172.5,4291.7,4291.767,5049.167,5049.733,2662.5,2662.9,3631.2,3632.467,NA,NA,NA,NA
167,2172.667,2175.433,4292.233,4292.333,5152.667,5164.9,2666.367,2666.6,3632.5,3632.8,NA,NA,NA,NA
