"X1","Center_start","Center_stop","Unknown_start","Unknown_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop"
51,3440.467,3444.667,NA,NA,448.433,454.167,441.767,441.967,3056.1,3079.8,4884.033,4884.066,NA,NA
52,3464.367,3482.2,NA,NA,454.7,454.8,448.133,448.433,3161.733,3162.833,4884.133,4884.166,NA,NA
53,3482.2,3483.933,NA,NA,454.9,454.933,454.167,454.7,3163.067,3163.667,4884.233,4884.433,NA,NA
54,3488.666,3497.066,NA,NA,454.967,471.167,454.8,454.9,3163.867,3163.9,4884.933,4956.466,NA,NA
55,3507.466,3676.166,NA,NA,471.2,475.033,454.933,454.967,3164,3164.267,4956.5,4957.633,NA,NA
56,3703.566,3704.833,NA,NA,475.133,475.833,471.167,471.2,3166.367,3173.7,4957.7,4957.766,NA,NA
57,3741.8,3776.6,NA,NA,476.067,482.133,475.033,475.133,3241.367,3291.133,4958.066,4958.366,NA,NA
58,3786.6,3793.533,NA,NA,484.9,488.833,475.833,476.067,3333.733,3334.667,4960.633,4988.2,NA,NA
59,3807.4,3807.533,NA,NA,528.233,528.767,482.133,484.9,3341.6,3346.767,5380.366,5384,NA,NA
60,3810.833,3835.266,NA,NA,529.2,529.267,488.833,508.333,3483.933,3488.666,5389.633,5396.466,NA,NA
61,4051.7,4053.666,NA,NA,530.833,546,527.533,528.233,3676.166,3685.4,5396.9,5397.033,NA,NA
62,4069.566,4124.7,NA,NA,600.133,646.467,528.767,529.2,3685.933,3691.166,5397.366,5397.433,NA,NA
63,4126.633,4137.633,NA,NA,646.667,721.1,529.267,530.833,3691.466,3692.433,5397.566,5399.233,NA,NA
64,4158.8,4159.566,NA,NA,721.133,758.267,546,550.033,3703.066,3703.566,5399.266,5399.533,NA,NA
65,4546.6,4565.133,NA,NA,758.9,781.9,592.267,600.133,3793.533,3796.033,5399.6,5399.733,NA,NA
66,4852.6,4868.6,NA,NA,781.933,783.067,646.467,646.667,3804.266,3804.333,5400.066,5400.166,NA,NA
67,5073.333,5095.566,NA,NA,783.233,790.1,721.1,721.133,3804.633,3804.766,5400.766,5400.9,NA,NA
68,5118.9,5119.4,NA,NA,790.367,817.933,758.267,758.9,3805.066,3807.4,5401.133,5410.033,NA,NA
69,5119.433,5119.5,NA,NA,818.067,822.5,781.9,781.933,3807.533,3810.833,5412.633,5413.866,NA,NA
70,5267.833,5378.433,NA,NA,831.7,832.2,783.067,783.233,4053.666,4069.566,5417.233,5417.433,NA,NA
71,5378.5,5378.666,NA,NA,832.233,832.3,790.1,790.367,4137.633,4140.033,5417.6,5417.633,NA,NA
72,5419.1,5424.733,NA,NA,832.333,832.667,817.933,818.067,4146.9,4158.8,5418.8,5418.866,NA,NA
73,5426.033,5429.166,NA,NA,833.167,839.733,822.5,831.7,4868.6,4883.266,5429.666,5430.733,NA,NA
74,5443.533,5446.166,NA,NA,839.933,848.467,832.2,832.233,4883.8,4883.866,5432.533,5432.866,NA,NA
75,5446.2,5453.066,NA,NA,848.833,865,832.3,832.333,4883.966,4884.033,5433,5435.4,NA,NA
76,5453.2,5453.266,NA,NA,867.267,867.367,832.667,833.167,4884.066,4884.133,5435.433,5435.5,NA,NA
