"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
56,2294.033,2296.066,602.266,603.066,775.7,777.933,1253.366,1253.6,1251.466,1253,NA,NA,NA,NA
57,2467.366,2495.5,603.633,605.433,778.6,778.833,1258.6,1258.666,1253.133,1253.366,NA,NA,NA,NA
58,2509.933,2511.5,605.666,605.766,780.366,780.4,1258.766,1258.833,1253.6,1258.6,NA,NA,NA,NA
59,2594.766,2617.1,606.666,617.533,782.366,782.5,1259.1,1259.233,1258.666,1258.766,NA,NA,NA,NA
60,2617.133,2627.566,617.733,624.833,783.4,783.566,1259.366,1259.5,1258.833,1259.1,NA,NA,NA,NA
61,3027.9,3039.6,624.9,626.5,783.966,784.233,1261.333,1261.4,1259.233,1259.366,NA,NA,NA,NA
62,4739.3,4747.033,626.566,626.833,784.266,784.3,1261.433,1266.566,1259.5,1261.333,NA,NA,NA,NA
63,4747.2,4747.233,626.933,630.266,838.8,838.933,1266.9,1267.833,1261.4,1261.433,NA,NA,NA,NA
64,4748.833,4748.866,633.566,644.7,899.666,899.7,1277.4,1280.9,1266.566,1266.9,NA,NA,NA,NA
65,4773.4,4777.5,756.3,773,915.1,916.033,1281.866,1282.266,1267.833,1277.4,NA,NA,NA,NA
66,6941.466,6944.999,773.933,774.866,917.166,917.466,1289.733,1290.7,1280.9,1281.866,NA,NA,NA,NA
67,7105.099,7106.999,775.3,775.7,1002.666,1003.066,1293.466,1293.8,1282.266,1289.733,NA,NA,NA,NA
68,7228.966,7230.566,777.933,778.6,1004.566,1004.766,1306.033,1306.566,1290.7,1293.466,NA,NA,NA,NA
69,7433.166,7457.966,778.833,780.366,1004.9,1004.933,1346.2,1365.566,1293.8,1306.033,NA,NA,NA,NA
70,7457.999,7458.099,780.4,782.366,1007.866,1008.2,1486.4,1487.566,1306.566,1346.2,NA,NA,NA,NA
71,7459.432,7459.999,782.5,783.4,1008.866,1008.966,1542.633,1542.8,1475.2,1486.4,NA,NA,NA,NA
72,7616.166,7633.032,783.566,783.966,1009.733,1011,1542.833,1543.1,1487.566,1494.433,NA,NA,NA,NA
73,7676.732,7713.066,784.233,784.266,1011.866,1012.466,1552.233,1552.533,1541.466,1542.633,NA,NA,NA,NA
74,8164.699,8166.566,784.3,790.5,1014.966,1015.033,1553.466,1553.666,1542.8,1542.833,NA,NA,NA,NA
75,8254.232,8268.166,838.466,838.8,1015.4,1015.566,1608.133,1608.666,1543.1,1552.233,NA,NA,NA,NA
76,8635.266,8648.232,838.933,852,1174.733,1174.866,1611.266,1611.533,1552.533,1553.466,NA,NA,NA,NA
77,8879.732,8897.732,886.166,899.666,1420.133,1421.1,1611.6,1611.8,1553.666,1560.133,NA,NA,NA,NA
78,8897.832,8917.032,899.7,915.1,1421.133,1421.4,1614.333,1614.4,1608.666,1611.266,NA,NA,NA,NA
79,8934.366,8978.332,916.033,917.166,1421.466,1421.6,1614.466,1614.666,1611.533,1611.6,NA,NA,NA,NA
80,8979.099,8992.666,917.466,964.533,1421.633,1421.7,1614.8,1616.133,1611.8,1614.333,NA,NA,NA,NA
81,8992.866,8992.999,1002.3,1002.666,1422.166,1422.866,1616.266,1618.333,1614.4,1614.466,NA,NA,NA,NA
82,9758.532,9768.932,1003.066,1004.566,1423.833,1423.9,1618.4,1619.666,1614.666,1614.8,NA,NA,NA,NA
83,9780.032,9781.332,1004.766,1004.9,1424.633,1424.766,1621.733,1621.866,1616.133,1616.266,NA,NA,NA,NA
84,9994.366,9997.666,1004.933,1007.866,1424.833,1434.933,1752.7,1759.733,1618.333,1618.4,NA,NA,NA,NA
85,10185.832,10301.599,1008.2,1008.866,1435,1435.6,1759.766,1764.4,1619.666,1621.733,NA,NA,NA,NA
86,10482.832,10483.532,1008.966,1009.733,1435.766,1439.2,1774.966,1776.3,1621.866,1622.8,NA,NA,NA,NA
87,10523.399,10523.599,1011,1011.866,1439.566,1440.466,1776.9,1782.233,1759.733,1759.766,NA,NA,NA,NA
88,10524.766,10535.432,1012.466,1014.966,1440.566,1443.666,1782.3,1784.2,1764.4,1774.966,NA,NA,NA,NA
89,10566.499,10568.199,1015.033,1015.4,1445.133,1445.3,1785.4,1788.933,1776.3,1776.9,NA,NA,NA,NA
90,10610.399,10620.566,1015.566,1054.866,1445.5,1447.033,1789,1790.366,1782.233,1782.3,NA,NA,NA,NA
91,10658.932,10682.799,1129.233,1174.733,1456.2,1456.266,1866.2,1871.033,1784.2,1785.4,NA,NA,NA,NA
92,14686.198,14688.364,1174.866,1178.533,1507.333,1507.9,1894.633,1894.766,1788.933,1789,NA,NA,NA,NA
93,14752.598,14841.264,1198,1214.133,1562.1,1563.066,1977.033,1985.466,1790.366,1790.566,NA,NA,NA,NA
94,15154.664,15158.031,1401.4,1420.133,1563.666,1564.333,1985.566,1989.1,1840.3,1866.2,NA,NA,NA,NA
95,15583.064,15645.331,1421.1,1421.133,1564.566,1564.6,1989.133,1990.633,1871.033,1894.633,NA,NA,NA,NA
96,15704.798,15705.998,1421.4,1421.466,1564.666,1564.766,1990.7,1990.866,1894.766,1894.8,NA,NA,NA,NA
97,15707.731,15741.731,1421.6,1421.633,1566.266,1568.5,1991.133,2003.633,1971.833,1977.033,NA,NA,NA,NA
98,15742.364,15742.764,1421.7,1422.166,1570,1570.866,2003.766,2003.8,1985.466,1985.566,NA,NA,NA,NA
99,15743.298,15744.764,1422.866,1423.833,1570.933,1573.066,2004.2,2004.8,1989.1,1989.133,NA,NA,NA,NA
100,15837.931,15838.831,1423.9,1424.633,1573.533,1575.133,2006.066,2008.866,1990.633,1990.7,NA,NA,NA,NA
101,18883.631,18894.831,1424.766,1424.833,1575.333,1576.066,2009.1,2009.733,1990.866,1991.133,NA,NA,NA,NA
102,18944.231,18957.864,1434.933,1435,1577.133,1580.066,2009.8,2010.8,2003.633,2003.766,NA,NA,NA,NA
103,18966.398,18966.464,1435.6,1435.766,1580.6,1581.133,2012.2,2012.333,2003.8,2004.2,NA,NA,NA,NA
104,18966.631,18967.498,1439.2,1439.566,1581.666,1581.866,2135.566,2164.166,2004.8,2006.066,NA,NA,NA,NA
105,18967.531,18968.031,1440.466,1440.566,1582,1583.933,2210.2,2211.233,2008.866,2009.1,NA,NA,NA,NA
106,18968.064,19040.564,1443.666,1445.133,1584.6,1584.666,2263.1,2263.2,2009.733,2009.8,NA,NA,NA,NA
107,19062.031,19062.564,1445.3,1445.5,1896.966,1897.833,2263.266,2263.333,2010.8,2012.2,NA,NA,NA,NA
