"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Interact_Left_start","Interact_Left_stop","Interact_Right_start","Interact_Right_stop","Left_start","Left_stop","Right_start","Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
45,1444.435,1452.235,808.235,809.068,725.668,727.401,NA,NA,NA,NA,657.168,657.768,708.335,708.468,NA,NA,NA,NA
46,1502.035,1505.435,809.268,811.768,727.468,727.835,NA,NA,NA,NA,658.668,659.535,708.568,708.668,NA,NA,NA,NA
47,1505.501,1505.868,813.435,813.468,727.868,727.901,NA,NA,NA,NA,687.601,692.335,709.268,710.468,NA,NA,NA,NA
48,1506.335,1507.035,815.135,815.835,727.968,728.035,NA,NA,NA,NA,692.501,693.735,710.535,725.001,NA,NA,NA,NA
49,1554.801,1626.268,817.235,817.901,738.501,738.535,NA,NA,NA,NA,752.668,753.768,725.168,725.368,NA,NA,NA,NA
50,1643.735,1645.601,821.001,821.035,739.668,740.801,NA,NA,NA,NA,754.101,754.501,725.468,725.501,NA,NA,NA,NA
51,1676.768,1699.568,821.201,825.068,740.868,747.135,NA,NA,NA,NA,755.168,755.868,725.601,725.668,NA,NA,NA,NA
52,1717.068,1725.035,829.801,830.401,763.968,764.001,NA,NA,NA,NA,788.835,791.568,727.401,727.468,NA,NA,NA,NA
53,1729.468,1736.901,864.235,864.268,778.768,785.268,NA,NA,NA,NA,791.901,791.935,727.835,727.868,NA,NA,NA,NA
54,1758.035,1771.468,864.401,864.468,852.535,853.935,NA,NA,NA,NA,792.335,792.468,727.901,727.968,NA,NA,NA,NA
55,1771.635,1777.401,866.168,866.335,899.635,899.835,NA,NA,NA,NA,792.535,794.035,728.035,730.835,NA,NA,NA,NA
56,1847.735,1851.101,867.735,867.801,901.868,901.968,NA,NA,NA,NA,794.068,795.001,731.035,731.235,NA,NA,NA,NA
57,1871.001,1885.001,872.668,872.835,902.301,914.735,NA,NA,NA,NA,808.135,808.235,738.035,738.501,NA,NA,NA,NA
58,1889.968,1910.968,873.168,875.601,914.935,915.735,NA,NA,NA,NA,809.068,809.268,738.535,739.668,NA,NA,NA,NA
59,1956.101,1961.501,1096.335,1100.568,915.901,917.168,NA,NA,NA,NA,811.768,813.435,740.801,740.868,NA,NA,NA,NA
60,2092.068,2094.368,1153.901,1154.368,917.201,917.701,NA,NA,NA,NA,813.468,815.135,747.135,750.468,NA,NA,NA,NA
61,2148.935,2151.501,1154.701,1156.568,917.935,918.001,NA,NA,NA,NA,815.835,817.235,761.668,763.968,NA,NA,NA,NA
62,2152.535,2156.401,1156.635,1157.368,918.035,919.835,NA,NA,NA,NA,817.901,821.001,764.001,778.768,NA,NA,NA,NA
63,2174.535,2176.401,1158.101,1160.168,920.735,921.401,NA,NA,NA,NA,821.035,821.201,785.268,785.568,NA,NA,NA,NA
64,2177.501,2180.235,1160.635,1160.701,921.468,921.935,NA,NA,NA,NA,825.068,829.801,842.768,852.535,NA,NA,NA,NA
65,2193.001,2197.701,1160.768,1161.635,922.001,922.068,NA,NA,NA,NA,830.401,833.468,853.935,861.935,NA,NA,NA,NA
66,2224.601,2245.101,1161.701,1170.768,923.068,923.735,NA,NA,NA,NA,862.835,864.235,899.201,899.635,NA,NA,NA,NA
67,2255.735,2258.735,1170.968,1171.701,923.868,925.868,NA,NA,NA,NA,864.268,864.401,899.835,901.868,NA,NA,NA,NA
68,2285.268,2287.268,1171.901,1184.635,926.335,926.735,NA,NA,NA,NA,864.468,866.168,901.968,902.301,NA,NA,NA,NA
69,2288.135,2291.068,1184.768,1196.301,927.135,927.801,NA,NA,NA,NA,866.335,867.735,914.735,914.935,NA,NA,NA,NA
70,2293.468,2311.068,1201.768,1201.901,930.535,930.668,NA,NA,NA,NA,867.801,872.668,915.735,915.901,NA,NA,NA,NA
71,2311.201,2313.201,1202.501,1202.568,930.735,930.768,NA,NA,NA,NA,872.835,873.168,917.168,917.201,NA,NA,NA,NA
72,2683.935,2688.601,1204.601,1205.101,931.001,931.235,NA,NA,NA,NA,875.601,885.035,917.701,917.935,NA,NA,NA,NA
73,2705.801,2708.635,1205.401,1225.401,931.468,931.668,NA,NA,NA,NA,885.701,892.368,918.001,918.035,NA,NA,NA,NA
74,2746.935,2769.301,1226.335,1226.801,931.801,931.935,NA,NA,NA,NA,1076.935,1096.335,919.835,920.735,NA,NA,NA,NA
75,2907.368,2909.335,1227.735,1228.868,932.901,937.568,NA,NA,NA,NA,1100.568,1100.635,921.401,921.468,NA,NA,NA,NA
76,2916.568,2919.068,1230.001,1230.501,937.635,946.501,NA,NA,NA,NA,1154.368,1154.701,921.935,922.001,NA,NA,NA,NA
77,2920.268,2932.268,1230.568,1232.768,963.335,966.401,NA,NA,NA,NA,1156.568,1156.635,922.068,923.068,NA,NA,NA,NA
78,2937.768,2949.868,1233.135,1233.335,980.168,980.301,NA,NA,NA,NA,1157.368,1158.101,923.735,923.868,NA,NA,NA,NA
79,2959.401,2960.701,1233.535,1238.135,980.668,981.335,NA,NA,NA,NA,1160.168,1160.635,925.868,926.335,NA,NA,NA,NA
80,3006.068,3009.835,1238.868,1238.935,999.401,1004.701,NA,NA,NA,NA,1160.701,1160.768,926.735,927.135,NA,NA,NA,NA
81,3018.435,3191.535,1239.001,1239.535,1008.501,1010.035,NA,NA,NA,NA,1161.635,1161.701,927.801,930.535,NA,NA,NA,NA
82,3191.635,3191.735,1239.735,1271.635,1011.268,1011.301,NA,NA,NA,NA,1170.768,1170.968,930.668,930.735,NA,NA,NA,NA
83,3191.868,3194.001,1271.768,1272.268,1011.501,1011.568,NA,NA,NA,NA,1171.701,1171.901,930.768,931.001,NA,NA,NA,NA
84,3352.601,3362.334,1336.868,1337.135,1011.868,1011.901,NA,NA,NA,NA,1184.635,1184.768,931.235,931.468,NA,NA,NA,NA
85,3366.034,3368.134,1338.568,1338.901,1026.868,1032.601,NA,NA,NA,NA,1196.301,1201.768,931.668,931.801,NA,NA,NA,NA
86,3520.834,3530.167,1354.201,1354.468,1032.868,1032.935,NA,NA,NA,NA,1201.901,1202.501,931.935,932.901,NA,NA,NA,NA
87,3573.634,3580.001,1354.501,1354.535,1034.035,1034.101,NA,NA,NA,NA,1202.568,1204.601,937.568,937.635,NA,NA,NA,NA
88,3581.667,3586.301,1354.668,1354.701,1034.135,1034.235,NA,NA,NA,NA,1205.101,1205.401,946.501,963.335,NA,NA,NA,NA
89,3605.967,3614.534,1355.135,1356.068,1034.501,1050.135,NA,NA,NA,NA,1225.401,1226.335,966.401,980.168,NA,NA,NA,NA
90,3719.567,3721.801,1357.101,1357.268,1050.201,1050.368,NA,NA,NA,NA,1226.801,1227.735,980.301,980.668,NA,NA,NA,NA
91,3738.067,3752.367,1357.301,1357.768,1051.868,1053.235,NA,NA,NA,NA,1228.868,1230.001,981.335,999.401,NA,NA,NA,NA
92,3786.734,3788.334,1361.935,1362.035,1053.301,1057.435,NA,NA,NA,NA,1230.501,1230.568,1004.701,1008.501,NA,NA,NA,NA
93,3789.101,3813.734,1370.335,1371.701,1057.468,1060.735,NA,NA,NA,NA,1232.768,1233.135,1010.035,1011.268,NA,NA,NA,NA
94,3814.834,3833.701,1379.868,1379.968,1060.801,1061.235,NA,NA,NA,NA,1233.335,1233.535,1011.301,1011.501,NA,NA,NA,NA
95,3847.934,3906.434,1380.568,1381.735,1061.268,1061.368,NA,NA,NA,NA,1238.135,1238.868,1011.568,1011.868,NA,NA,NA,NA
96,3919.601,3919.634,1506.001,1506.035,1061.401,1061.435,NA,NA,NA,NA,1238.935,1239.001,1011.901,1013.535,NA,NA,NA,NA
97,3921.567,3967.001,1507.068,1507.101,1061.468,1061.868,NA,NA,NA,NA,1239.535,1239.735,1025.835,1026.868,NA,NA,NA,NA
98,3997.001,4040.701,1507.301,1507.335,1063.435,1063.768,NA,NA,NA,NA,1271.635,1271.768,1032.601,1032.868,NA,NA,NA,NA
99,4088.867,4099.801,1531.868,1532.168,1064.035,1064.435,NA,NA,NA,NA,1272.268,1276.768,1032.935,1034.035,NA,NA,NA,NA
100,4145.667,4153.334,1532.668,1538.035,1104.501,1104.568,NA,NA,NA,NA,1336.335,1336.868,1034.101,1034.135,NA,NA,NA,NA
101,4155.134,4160.034,1539.035,1539.201,1104.835,1104.868,NA,NA,NA,NA,1337.135,1338.568,1034.235,1034.501,NA,NA,NA,NA
102,4163.201,4168.567,1541.768,1542.735,1105.101,1105.201,NA,NA,NA,NA,1338.901,1339.035,1050.135,1050.201,NA,NA,NA,NA
103,4701.367,4703.701,1542.935,1543.235,1108.235,1108.368,NA,NA,NA,NA,1342.068,1350.635,1050.368,1051.868,NA,NA,NA,NA
104,4906.767,4909.301,1705.168,1705.568,1108.701,1108.968,NA,NA,NA,NA,1354.168,1354.201,1053.235,1053.301,NA,NA,NA,NA
105,4931.001,4947.867,1705.968,1707.101,1109.601,1110.001,NA,NA,NA,NA,1354.468,1354.501,1057.435,1057.468,NA,NA,NA,NA
106,4954.301,4959.834,1738.301,1738.335,1111.201,1111.601,NA,NA,NA,NA,1354.535,1354.668,1060.735,1060.801,NA,NA,NA,NA
107,4999.134,5003.934,1738.401,1738.568,1119.368,1121.968,NA,NA,NA,NA,1354.701,1355.135,1061.235,1061.268,NA,NA,NA,NA
108,5041.101,5044.001,1746.235,1746.435,1122.368,1125.768,NA,NA,NA,NA,1356.068,1357.101,1061.368,1061.401,NA,NA,NA,NA
109,5062.267,5072.334,1748.368,1748.768,1291.635,1305.501,NA,NA,NA,NA,1357.268,1357.301,1061.435,1061.468,NA,NA,NA,NA
110,7433.7,7437.667,1748.901,1749.235,1314.535,1324.468,NA,NA,NA,NA,1357.768,1361.935,1061.868,1063.435,NA,NA,NA,NA
111,7473.933,7482.933,1771.468,1771.635,1324.635,1325.201,NA,NA,NA,NA,1362.035,1370.335,1063.768,1064.035,NA,NA,NA,NA
112,7652.6,7657.466,1857.601,1857.701,1325.235,1325.668,NA,NA,NA,NA,1371.701,1379.868,1064.435,1071.268,NA,NA,NA,NA
113,7711.9,7711.933,1860.135,1860.235,1326.101,1326.135,NA,NA,NA,NA,1379.968,1380.568,1104.868,1105.101,NA,NA,NA,NA
114,7712.1,7712.466,1860.401,1863.435,1326.235,1326.801,NA,NA,NA,NA,1381.735,1386.401,1105.201,1108.235,NA,NA,NA,NA
115,7715.466,7743.1,1863.468,1865.835,1327.801,1327.935,NA,NA,NA,NA,1505.435,1505.501,1108.368,1108.701,NA,NA,NA,NA
116,7840.733,7861.9,1866.235,1867.335,1328.101,1329.035,NA,NA,NA,NA,1505.868,1506.001,1108.968,1109.601,NA,NA,NA,NA
117,7886.1,7890.666,1868.535,1868.635,1388.335,1395.235,NA,NA,NA,NA,1506.035,1506.335,1110.001,1111.201,NA,NA,NA,NA
118,7891.166,7891.266,1868.868,1871.001,1395.368,1395.601,NA,NA,NA,NA,1507.035,1507.068,1111.601,1119.368,NA,NA,NA,NA
119,7956.833,7968.833,1969.868,1970.335,1395.701,1402.168,NA,NA,NA,NA,1507.101,1507.301,1121.968,1122.368,NA,NA,NA,NA
120,7971.4,7981.233,1971.068,1978.435,1408.835,1409.135,NA,NA,NA,NA,1507.335,1531.868,1125.768,1127.568,NA,NA,NA,NA
121,8103.466,8104.233,1978.501,1978.568,1409.301,1410.835,NA,NA,NA,NA,1532.168,1532.668,1287.968,1288.801,NA,NA,NA,NA
122,8104.333,8104.666,1979.301,1979.901,1411.668,1411.768,NA,NA,NA,NA,1538.035,1539.035,1291.168,1291.635,NA,NA,NA,NA
123,8106.866,8116,1983.268,1984.601,1415.401,1415.468,NA,NA,NA,NA,1539.201,1541.768,1305.501,1311.668,NA,NA,NA,NA
124,8186.7,8188.766,1984.801,1985.568,1415.601,1416.601,NA,NA,NA,NA,1542.735,1542.935,1312.835,1314.535,NA,NA,NA,NA
125,8241.6,8245.666,1985.901,1986.468,1416.768,1418.335,NA,NA,NA,NA,1543.235,1554.801,1324.468,1324.635,NA,NA,NA,NA
126,8278.066,8291.866,1986.901,1987.201,1419.401,1419.468,NA,NA,NA,NA,1699.568,1705.168,1325.201,1325.235,NA,NA,NA,NA
