"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
1,0,3.267,3.267,3.333,13.533,13.733,97,98.6,129.233,129.367,4832.233,4832.767
2,3.333,3.6,3.6,3.667,14,14.067,129,129.167,129.4,130.367,20782.497,20794.33
3,3.667,5.8,5.8,13.533,21.567,21.6,129.367,129.4,171.9,171.933,21412.23,21413.397
4,15.067,21.567,13.733,14,21.7,22,130.367,132.7,171.967,172.267,NA,NA
5,21.6,21.7,14.067,15.067,22.033,22.167,171.3,171.9,217.7,217.767,NA,NA
6,22.3,22.4,22,22.033,22.4,22.733,171.933,171.967,218.833,218.967,NA,NA
7,22.733,23.033,22.167,22.3,23.033,23.4,172.267,175.667,219.1,242.5,NA,NA
8,23.4,23.433,26.567,27.3,23.433,23.533,185.267,217.7,243.467,244.267,NA,NA
9,23.533,24.467,27.4,27.433,24.467,24.6,217.767,218.833,265.467,268.5,NA,NA
10,24.6,26.567,28.7,28.733,27.3,27.4,218.967,219.1,281.233,281.433,NA,NA
11,45.9,50.533,28.767,28.933,27.433,28.7,242.5,243.467,287.7,288.9,NA,NA
12,50.633,51.133,29.733,29.867,28.733,28.767,244.267,265.467,314.7,315,NA,NA
13,55.467,55.8,30.433,30.5,28.933,29.733,268.5,281.233,315.167,315.333,NA,NA
14,68.8,75,30.9,30.967,29.867,30.433,281.433,287.7,330.6,330.667,NA,NA
15,94.567,97,31.067,31.1,30.5,30.9,288.9,294.933,330.767,333,NA,NA
16,98.6,101.2,32.067,32.1,30.967,31.067,306.933,314.7,344.8,344.9,NA,NA
17,104.233,107.667,32.133,32.167,31.1,32.067,315,315.167,469.533,470.667,NA,NA
18,111.167,114.167,32.467,32.5,32.1,32.133,315.333,330.6,492.7,493.6,NA,NA
19,117.7,129,32.867,33.067,32.167,32.467,330.667,330.767,494.1,494.7,NA,NA
20,129.167,129.233,33.7,33.733,32.5,32.867,333,333.233,495.467,495.567,NA,NA
21,132.7,136.9,34.433,34.467,33.067,33.7,342.1,343.033,496.767,497.167,NA,NA
22,156.833,159.633,34.6,34.667,33.733,34.433,343.5,344.8,508.733,508.833,NA,NA
23,165.467,171.3,35.567,35.6,34.467,34.6,344.9,345.433,508.867,509.033,NA,NA
24,175.667,178.767,35.633,35.733,34.667,35.567,411.9,422.233,509.2,509.233,NA,NA
25,180.433,185.267,36.033,36.133,35.6,35.633,467.567,469.533,509.333,509.433,NA,NA
26,294.933,296.2,37.567,37.667,35.733,36.033,470.667,492.7,527.8,529.6,NA,NA
27,296.967,298.667,38.167,38.4,36.133,37.567,493.6,494.1,735.367,735.4,NA,NA
28,305.967,306.933,38.7,39.8,37.667,38.167,494.7,495.467,735.433,735.5,NA,NA
29,333.233,342.1,39.833,39.9,38.4,38.7,495.567,496.767,735.6,735.7,NA,NA
30,343.033,343.5,40.167,40.467,39.8,39.833,497.167,508.733,735.733,735.767,NA,NA
31,345.433,349.4,40.533,40.767,39.9,40.167,508.833,508.867,735.8,738.7,NA,NA
32,351.7,352.867,40.867,42.567,40.467,40.533,509.033,509.2,738.733,739.733,NA,NA
33,388.5,391.367,42.6,42.733,40.767,40.867,509.233,509.333,739.9,741.533,NA,NA
34,391.5,391.567,42.767,43.467,42.567,42.6,509.433,527.8,741.667,741.7,NA,NA
35,405.167,406.4,43.6,43.733,42.733,42.767,529.6,529.733,832.567,832.667,NA,NA
36,411.233,411.9,44,44.067,43.467,43.6,734.767,735.367,834.633,837.2,NA,NA
37,422.233,467.567,44.333,44.467,43.733,44,735.4,735.433,839.733,841.067,NA,NA
38,529.733,554.467,50.533,50.633,44.067,44.333,735.5,735.6,841.133,848.4,NA,NA
39,603.1,605.7,51.133,55.467,44.467,45.9,735.7,735.733,848.467,849.8,NA,NA
40,605.967,607.2,55.8,56.633,56.633,56.7,735.767,735.8,849.967,850.767,NA,NA
41,725,734.767,56.7,56.833,56.833,56.867,831.333,832.567,851.533,851.567,NA,NA
42,738.7,738.733,56.867,64.667,64.667,64.867,832.667,834.633,851.8,852.067,NA,NA
43,739.733,739.9,64.867,65,65,65.333,837.2,839.733,858.633,859.333,NA,NA
44,741.533,741.667,65.333,68.8,77.533,78.633,841.067,841.133,859.367,862.267,NA,NA
45,741.7,742.267,75,77.533,81.9,83.767,848.4,848.467,862.533,862.867,NA,NA
46,824.233,825.1,78.633,81.9,84.533,84.6,849.8,849.967,935.1,935.567,NA,NA
47,825.633,825.667,83.767,84.533,103.133,103.233,850.767,851.533,939.833,940.167,NA,NA
48,825.7,825.733,84.6,94.567,108.567,108.667,851.567,851.8,940.3,940.433,NA,NA
49,825.833,831.333,101.2,103.133,148.867,149.967,852.067,858.633,940.7,949.633,NA,NA
50,866.667,928.767,103.233,104.233,150,150.033,859.333,859.367,950.167,952.567,NA,NA
51,933.9,935.1,107.667,108.567,150.133,150.2,862.267,862.533,952.633,952.833,NA,NA
52,935.633,935.767,108.667,111.167,153.233,153.367,862.867,866.667,952.9,953.567,NA,NA
53,976.3,976.767,114.167,117.7,153.5,153.667,935.567,935.633,953.767,954.167,NA,NA
54,1022.967,1023.7,136.9,148.867,162.733,164.933,935.767,939.833,955.5,956.1,NA,NA
55,1026.567,1031.8,149.967,150,304.5,304.633,940.167,940.3,956.167,968.567,NA,NA
56,1147.9,1149.6,150.033,150.133,386.367,388.033,940.433,940.7,968.833,969.567,NA,NA
57,1293.7,1340.467,150.2,153.233,402.233,404.667,949.633,950.167,969.633,971.567,NA,NA
58,1420.067,1437.9,153.367,153.5,555.667,555.8,952.567,952.633,974.3,976.167,NA,NA
59,1544.533,1548.533,153.667,156.833,556.367,556.9,952.833,952.9,1162.233,1162.367,NA,NA
60,1560.2,1579.233,159.633,162.733,574.6,574.767,953.567,953.767,1162.633,1162.667,NA,NA
61,1616.067,1632.733,164.933,165.467,576.433,576.5,954.167,955.5,1162.967,1164.333,NA,NA
62,1633.133,1633.233,178.767,180.433,578.6,579.033,956.1,956.167,1171.567,1172,NA,NA
63,1647.933,1664.3,296.2,296.967,581.233,581.4,968.567,968.833,1172.433,1184.1,NA,NA
64,1694.767,1824.667,298.667,304.5,586.733,586.867,969.567,969.633,1185.333,1185.6,NA,NA
65,1874.6,1875.033,304.633,305.967,587.367,587.433,971.567,974.3,1185.833,1186.667,NA,NA
66,1875.567,1888.567,349.4,351.7,608.2,612.133,976.167,976.3,1193.2,1193.4,NA,NA
67,1963.367,1968.9,352.867,386.367,632.667,633.133,1023.7,1026.567,1194.7,1194.9,NA,NA
68,1982.167,2005.8,388.033,388.5,745.367,745.533,1149.6,1162.233,1247.567,1247.7,NA,NA
69,2252.4,2261.1,391.367,391.5,745.7,745.733,1162.367,1162.633,1251.067,1251.333,NA,NA
70,2314.067,2314.167,391.567,402.233,745.833,746.1,1162.667,1162.967,1251.4,1252.2,NA,NA
71,2332.033,2361.533,404.667,405.167,746.667,780.267,1164.333,1171.567,1252.467,1261.167,NA,NA
72,2483.7,2500.767,406.4,411.233,781.8,785.333,1172,1172.433,1271.933,1272.133,NA,NA
73,2500.933,2501,554.467,555.667,785.4,786.1,1184.1,1185.333,1272.6,1272.667,NA,NA
74,2501.167,2502.267,555.8,556.367,786.133,787.933,1185.6,1185.833,1273.533,1276.733,NA,NA
75,2547.167,2548.067,556.9,574.6,788.2,788.5,1186.667,1193.2,1276.933,1279,NA,NA
76,2548.433,2582.167,574.767,576.433,805.067,805.467,1193.4,1194.7,1495.533,1495.567,NA,NA
77,2590.5,2620.633,576.5,578.6,805.7,819.8,1194.9,1247.567,1495.6,1495.933,NA,NA
78,2677.567,2698.1,579.033,581.233,821.5,822,1247.7,1251.067,1500.167,1513.067,NA,NA
79,2698.2,2698.433,581.4,586.733,822.8,824.233,1251.333,1251.4,1514.167,1516.233,NA,NA
80,2709.433,2730.233,586.867,587.367,825.1,825.633,1252.2,1252.467,1516.367,1516.5,NA,NA
