"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
177,5081.899,5083.899,1796.133,1799.3,2700.266,2701.433,NA,NA,NA,NA,NA,NA
178,5086.166,5086.199,1808.366,1911.9,2704.166,2707.9,NA,NA,NA,NA,NA,NA
179,5086.766,5086.966,1912.5,1912.833,2708.8,2708.933,NA,NA,NA,NA,NA,NA
180,5089.566,5106.632,1913.633,1913.766,2709.033,2710.266,NA,NA,NA,NA,NA,NA
181,5108.566,5108.866,1915.8,1916.233,2711.033,2711.066,NA,NA,NA,NA,NA,NA
182,5928.932,5936.366,1918.7,1920.666,2712.266,2712.333,NA,NA,NA,NA,NA,NA
183,5943.432,5969.732,1922.733,1924.566,2712.366,2712.533,NA,NA,NA,NA,NA,NA
184,6014.166,6014.566,1924.833,1925.566,2720.866,2721.1,NA,NA,NA,NA,NA,NA
185,6014.799,6048.832,1937.166,1948.033,2724.066,2724.166,NA,NA,NA,NA,NA,NA
186,6050.566,6058.432,1959,1969.633,2724.3,2730.233,NA,NA,NA,NA,NA,NA
187,6061.632,6067.966,2022.266,2024.366,2778.4,2778.6,NA,NA,NA,NA,NA,NA
188,6070.732,6076.666,2025,2025.4,2817.866,2819.433,NA,NA,NA,NA,NA,NA
189,6076.699,6076.732,2025.9,2026.733,2819.733,2819.8,NA,NA,NA,NA,NA,NA
190,6076.832,6084.399,2035.5,2035.733,2820.933,2821.166,NA,NA,NA,NA,NA,NA
191,6120.599,6136.599,2071.066,2074.966,2822.333,2822.533,NA,NA,NA,NA,NA,NA
192,6308.399,6353.632,2082.2,2083.666,2841.833,2841.9,NA,NA,NA,NA,NA,NA
193,6354.566,6460.132,2083.866,2085,2843.966,2885.666,NA,NA,NA,NA,NA,NA
194,6508.066,6603.599,2085.066,2085.133,2885.733,2888.333,NA,NA,NA,NA,NA,NA
195,6604.399,6606.232,2089.3,2089.766,2888.7,2889.133,NA,NA,NA,NA,NA,NA
196,7433.665,7437.899,2093.1,2116.4,2889.333,2889.366,NA,NA,NA,NA,NA,NA
197,7438.465,7443.665,2118.533,2119.466,2889.633,2894.366,NA,NA,NA,NA,NA,NA
198,7443.699,7444.765,2120.2,2120.4,2916.9,2917.866,NA,NA,NA,NA,NA,NA
199,7448.432,7493.332,2120.533,2121.333,2918.266,2919.333,NA,NA,NA,NA,NA,NA
200,8560.732,8667.432,2133.366,2133.8,2920.466,2922.966,NA,NA,NA,NA,NA,NA
201,8667.499,8676.865,2134.033,2137.7,2987.366,3007,NA,NA,NA,NA,NA,NA
202,8681.032,8681.399,2137.833,2140.9,3007.033,3007.1,NA,NA,NA,NA,NA,NA
203,8854.299,8856.632,2152.733,2152.933,3007.4,3026.666,NA,NA,NA,NA,NA,NA
204,8856.899,8873.799,2152.966,2153.033,3026.766,3032.333,NA,NA,NA,NA,NA,NA
205,8906.965,8931.132,2171.3,2184.933,3034.3,3035.733,NA,NA,NA,NA,NA,NA
206,8933.199,8944.932,2277.133,2281.666,3036.7,3039.233,NA,NA,NA,NA,NA,NA
207,8948.465,8957.065,2285.866,2286,3039.433,3039.533,NA,NA,NA,NA,NA,NA
208,9049.032,9054.999,2290.833,2292.933,3110.066,3110.933,NA,NA,NA,NA,NA,NA
209,9274.565,9275.499,2303.966,2304.066,3117.366,3138.566,NA,NA,NA,NA,NA,NA
210,9276.932,9308.499,2304.133,2304.433,3217.633,3217.833,NA,NA,NA,NA,NA,NA
211,9381.765,9432.799,2304.933,2311.066,3218.4,3218.5,NA,NA,NA,NA,NA,NA
212,9432.932,9448.499,2325.8,2327.433,3219.066,3219.433,NA,NA,NA,NA,NA,NA
213,9448.632,9527.499,2327.8,2345.366,3221.466,3221.566,NA,NA,NA,NA,NA,NA
214,9527.599,9545.865,2351,2351.033,3222,3225.333,NA,NA,NA,NA,NA,NA
215,9566.799,9572.565,2352.766,2352.833,3229.5,3241.333,NA,NA,NA,NA,NA,NA
216,9574.699,9623.099,2354.766,2355.766,3242.3,3242.566,NA,NA,NA,NA,NA,NA
217,9624.399,9634.732,2356.833,2358.466,3244,3280.233,NA,NA,NA,NA,NA,NA
218,9752.599,9765.532,2388.5,2388.533,3280.6,3280.866,NA,NA,NA,NA,NA,NA
219,9774.399,9779.765,2438.533,2440.133,3282.1,3293.6,NA,NA,NA,NA,NA,NA
220,9781.965,9783.565,2459.066,2459.466,3293.633,3313.633,NA,NA,NA,NA,NA,NA
221,9786.299,9786.832,2459.833,2463.4,3313.933,3314.1,NA,NA,NA,NA,NA,NA
222,9798.699,9804.399,2614.033,2614.6,3315.3,3316.066,NA,NA,NA,NA,NA,NA
223,9804.765,9808.265,2615,2616.166,3316.2,3317.266,NA,NA,NA,NA,NA,NA
224,9836.732,9844.099,2616.233,2616.3,3317.3,3322,NA,NA,NA,NA,NA,NA
225,9845.799,9845.865,2619.133,2619.166,3326.466,3327.6,NA,NA,NA,NA,NA,NA
226,9846.332,9846.499,2622.5,2623.233,3327.733,3327.766,NA,NA,NA,NA,NA,NA
227,9849.565,9849.899,2623.333,2660.266,3328.166,3334,NA,NA,NA,NA,NA,NA
228,9870.432,9900.832,2661.166,2678.533,3356.633,3357.066,NA,NA,NA,NA,NA,NA
229,9910.299,9997.265,2678.8,2679.266,3359.566,3366.466,NA,NA,NA,NA,NA,NA
230,9997.332,9997.465,2679.5,2679.533,3367,3368.733,NA,NA,NA,NA,NA,NA
231,9997.532,10017.532,2679.8,2681.6,3371.066,3371.3,NA,NA,NA,NA,NA,NA
232,10074.732,10082.999,2681.8,2682.233,3456.7,3528.366,NA,NA,NA,NA,NA,NA
233,10088.032,10151.799,2682.433,2683.666,3532.7,3532.766,NA,NA,NA,NA,NA,NA
234,10152.032,10158.865,2683.766,2684.1,3532.966,3533.8,NA,NA,NA,NA,NA,NA
235,10163.965,10164.299,2684.266,2684.433,3536.8,3537.066,NA,NA,NA,NA,NA,NA
236,10179.265,10181.365,2686.8,2687.5,3537.7,3592.666,NA,NA,NA,NA,NA,NA
237,10332.965,10378.065,2689.3,2699.633,3592.666,3661.232,NA,NA,NA,NA,NA,NA
