"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Right_start","Contact_Right_stop"
68,2054.367,2054.5,1742.3,1746.334,1159.167,1161.334,1650.634,1651.1,1176.334,1176.467
69,2072.8,2075.9,1747.534,1747.8,1161.367,1161.567,1651.134,1653.567,1176.6,1178.3
70,2103.467,2106.6,1748.1,1748.2,1161.8,1162.3,1653.934,1703.267,1182.2,1182.267
71,2112.734,2169.1,1748.434,1748.6,1163.5,1164.234,1710.134,1721.2,1206.767,1206.934
72,2183.4,2185.334,1798.5,1798.6,1164.634,1164.8,1721.334,1722.034,1217.934,1218.367
73,2203.6,2204.367,1798.634,1798.7,1164.867,1165.234,1722.234,1722.467,1224.634,1226.634
74,2205.767,2205.867,1798.734,1799,1165.267,1165.567,1722.967,1740.667,1226.8,1226.867
75,2271.334,2277.7,1803.267,1803.634,1174.2,1174.367,1740.8,1741,1227.5,1227.834
76,2308.734,2312.8,2037.667,2039.567,1174.467,1174.834,1741.634,1741.7,1228.834,1229.134
77,2521.7,2589.667,2041.034,2042.367,1176,1176.334,1741.734,1742.3,1230.067,1232.467
78,2590.034,2590.067,2053.634,2054.367,1176.467,1176.6,1746.334,1747.534,1232.734,1232.967
79,2601.7,2628.3,2061.634,2061.7,1178.3,1182.2,1747.8,1748.1,1233.5,1235.934
80,2648.8,2660.567,2072.2,2072.467,1182.267,1184,1748.2,1748.434,1352.8,1352.934
81,2661.334,2661.467,2321.1,2321.2,1205.9,1206.767,1748.6,1798.5,1352.967,1353.134
82,2662.734,2662.834,2321.734,2322.8,1206.934,1217.934,1798.6,1798.634,1361.934,1362.134
83,2721.634,2722.234,2322.9,2326.567,1218.367,1224.634,1798.7,1798.734,1362.234,1367.7
84,2728.267,2774.567,2326.634,2328.667,1226.634,1226.8,1799,1803.267,1367.734,1368.267
85,2841.034,2842.3,2333.234,2333.434,1226.867,1227.5,1803.634,1804.5,1368.4,1372.467
86,2926.2,2927.034,2333.934,2334.034,1227.834,1228.834,2054.5,2061.634,1372.534,1377.3
87,2946.034,2977.567,2334.2,2334.6,1229.134,1230.067,2061.7,2072.2,1377.467,1378.367
88,2978.134,3023.167,2334.967,2335,1232.467,1232.734,2072.467,2072.8,1378.467,1379.7
89,3055.5,3056.034,2335.167,2335.2,1232.967,1233.5,2169.1,2183.4,1379.834,1380.4
90,3325.567,3334.467,2335.334,2335.634,1235.934,1352.8,2185.334,2203.6,1380.667,1383.034
91,3359.034,3386.3,2336.467,2336.5,1352.934,1352.967,2312.8,2321.1,1383.234,1384.9
92,3398.434,3398.934,2378.6,2379.5,1353.134,1361.934,2321.2,2321.734,1385.167,1386.434
93,3399.8,3429.734,2379.634,2379.934,1362.134,1362.234,2322.8,2322.9,1386.567,1387.134
94,3443.4,3448,2380.267,2380.3,1367.7,1367.734,2326.567,2326.634,1388.434,1388.6
95,3449.634,3449.934,2383.367,2383.5,1368.267,1368.4,2328.667,2333.234,1389.034,1389.267
96,3452.334,3452.434,2383.534,2383.567,1372.467,1372.534,2333.434,2333.934,1390.567,1390.834
97,3475.9,3475.934,2398.934,2399.8,1377.3,1377.467,2334.034,2334.2,1390.867,1393.267
98,3476.467,3476.6,2399.867,2400.134,1378.367,1378.467,2334.6,2334.967,1395.534,1395.834
99,3476.867,3482.834,2417.834,2417.867,1379.7,1379.834,2335,2335.167,1398.034,1398.334
100,3484.3,3486.567,2417.9,2417.934,1380.4,1380.667,2335.2,2335.334,1398.734,1402.767
101,3487.967,3488.634,2421.734,2422,1383.034,1383.234,2335.634,2336.467,1403.3,1403.5
102,3489.967,3507.534,2422.467,2422.534,1384.9,1385.167,2336.5,2378.6,1405.2,1405.567
103,3511.8,3522.134,2422.834,2422.9,1386.434,1386.567,2379.5,2379.634,1410,1410.434
104,3525.867,3525.934,2422.934,2423.434,1387.134,1388.434,2379.934,2380.267,1411.034,1411.267
105,3525.967,3526.134,2424.367,2424.567,1388.6,1389.034,2380.3,2383.367,1411.5,1415
106,3526.234,3533.334,2510.567,2510.834,1389.267,1390.567,2383.5,2383.534,1415.467,1417.1
107,3621.7,3622.266,2511.1,2512.1,1390.834,1390.867,2383.567,2398.934,1529.567,1529.634
108,3709.9,3710.866,2512.267,2514.3,1393.267,1395.534,2399.8,2399.867,1530.834,1530.9
109,3711.533,3711.733,2516.067,2521.1,1395.834,1398.034,2400.134,2417.834,1546.2,1548.767
110,3845.066,3845.733,2628.5,2629.767,1398.334,1398.734,2417.867,2417.9,1549.234,1551.467
111,3933.066,3940.3,2631.734,2632.634,1402.767,1403.3,2417.934,2421.734,1554.267,1554.334
112,3972.266,3979.966,2632.734,2632.767,1403.5,1405.2,2422,2422.467,1612.634,1613.1
113,3980,4012.566,2664.9,2664.934,1405.567,1410,2422.534,2422.834,1845,1847.567
114,4012.766,4013.266,2674.9,2675.1,1410.434,1411.034,2422.9,2422.934,1847.634,1847.8
115,4013.433,4018.033,2725.534,2725.667,1411.267,1411.5,2423.434,2424.367,1848.1,1852.434
116,4104.2,4116.366,2725.767,2725.8,1415,1415.467,2424.567,2510.567,1857.867,1859.934
117,4116.8,4116.933,2774.667,2778.3,1417.1,1420.7,2510.834,2511.1,1860.1,1860.134
118,4118.2,4118.266,2783.567,2783.8,1529.234,1529.567,2512.1,2512.267,1860.367,1860.434
119,4118.533,4118.9,2784.167,2786.5,1529.634,1530.834,2514.3,2516.067,1860.534,1860.6
120,4143.8,4144.566,2787,2787.434,1530.9,1546.2,2521.1,2521.7,1861.467,1863.434
121,4145.166,4148.7,2787.5,2787.6,1548.767,1549.234,2628.3,2628.5,1870.067,1870.167
122,4153.633,4159.4,2787.867,2788.2,1551.467,1552.167,2629.767,2631.734,1876.967,1878.234
123,4246.766,4247.833,2788.7,2789.634,1554.5,1554.8,2632.634,2632.734,1881.567,1881.767
124,4248.3,4248.466,2790.767,2792.667,1610.567,1612.634,2632.767,2648.8,1894.2,1894.334
125,4248.966,4249.033,2792.834,2792.867,1613.1,1619.567,2660.567,2661.334,1896.767,1897.034
126,4291.633,4292.033,2792.967,2794.1,1619.634,1620.267,2661.467,2662.734,1898.5,1899.234
127,4296.4,4299.766,2794.5,2795,1620.467,1621.034,2662.834,2664.9,1900.234,1902.1
128,4300.1,4304.833,2795.134,2795.167,1623.167,1623.5,2664.934,2674.9,1903.2,1903.367
129,4407.033,4407.766,2833.3,2833.4,1629.267,1630.3,2675.1,2721.634,1910.534,1910.767
130,4474.1,4474.633,2833.467,2833.8,1630.434,1630.6,2722.234,2725.534,1916.934,1917.267
131,4529.5,4531.933,2942.534,2942.9,1844.267,1845,2725.667,2725.767,1918.6,1918.9
132,4536.333,4536.8,2942.934,2943.4,1847.567,1847.634,2725.8,2728.267,1920.8,1920.9
133,4555.533,4592.9,2943.5,2945.334,1847.8,1848.1,2774.567,2774.667,1922.634,1922.9
134,4661.2,4662.066,3228.7,3234.3,1852.434,1857.867,2778.3,2783.567,1923.034,1923.3
135,4886.366,4887.766,3234.334,3235.8,1859.934,1860.1,2783.8,2784.167,1923.7,1923.767
136,4931.833,4936.3,3235.834,3236.734,1860.134,1860.367,2786.5,2787,1923.834,1924.167
137,4984.133,4991.266,3237.167,3237.2,1860.434,1860.534,2787.434,2787.5,1924.234,1931.2
138,4991.633,4998.5,3238.5,3255.234,1860.6,1861.467,2787.6,2787.867,1934.1,1934.234
139,4998.9,5027.6,3255.834,3256.1,1863.434,1870.067,2788.2,2788.7,1941.9,1942.067
140,5290.866,5292.066,3281.6,3281.667,1870.167,1876.967,2789.634,2790.767,1942.3,1942.667
141,5319.333,5319.8,3285.267,3285.667,1878.234,1881.567,2792.667,2792.834,1950.167,1950.434
142,5328.466,5329.4,3321.034,3321.067,1881.767,1894.2,2792.867,2792.967,1950.8,1951.034
143,5329.666,5337.033,3321.667,3321.834,1894.334,1896.767,2794.1,2794.5,1952.934,1953.334
144,5338.066,5339.3,3322,3322.467,1897.034,1898.5,2795,2795.134,1956.034,1956.367
145,5339.533,5339.866,3386.534,3386.6,1899.234,1900.234,2795.167,2833.3,1960.534,1990.067
146,5339.966,5341.266,3389.067,3389.167,1902.1,1903.2,2833.4,2833.467,1990.267,1991.134
147,5341.333,5341.533,3389.367,3389.834,1903.367,1910.534,2833.8,2841.034,1991.434,1992.134
148,5341.733,5353.433,3390.367,3390.467,1910.767,1916.934,2927.034,2942.534,1992.2,2000.134
