"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop","Unknown_start","Unknown_stop"
55,11604.099,11634.032,1454.8,1454.934,1784.8,1792.6,679.967,681.567,687,687.034,NA,NA,NA,NA
56,11739.032,11739.099,1534.667,1542.767,1793.2,1827.234,681.6,682.867,687.1,687.667,NA,NA,NA,NA
57,11895.532,11932.499,1564.3,1565.3,2374.134,2374.2,682.934,685.767,690,690.134,NA,NA,NA,NA
58,12015.766,12035.599,1567.834,1577.967,2374.5,2376.134,686.134,686.534,690.9,691.067,NA,NA,NA,NA
59,12037.432,12037.566,1737.634,1737.767,2376.767,2378.767,686.567,687,691.1,691.134,NA,NA,NA,NA
60,12038.966,12039.099,1738.734,1739.467,2378.834,2379.767,687.034,687.1,691.234,691.267,NA,NA,NA,NA
61,12039.266,12049.066,1740.1,1740.134,2380.034,2381.267,687.667,690,691.334,691.467,NA,NA,NA,NA
62,12062.532,12063.466,1741.534,1741.634,2381.334,2381.367,690.134,690.9,692.834,693.767,NA,NA,NA,NA
63,12068.866,12069.466,1741.667,1741.7,2381.434,2382.767,691.067,691.1,693.867,694.367,NA,NA,NA,NA
64,12147.166,12167.499,1744.034,1772,2383.1,2388.3,691.134,691.234,694.967,695.267,NA,NA,NA,NA
65,12239.666,12242.399,1784.1,1784.8,2392.834,2393.767,691.267,691.334,695.667,697.267,NA,NA,NA,NA
66,12312.166,12330.299,1792.6,1793.2,2394.167,2394.234,691.467,692.834,697.367,702.5,NA,NA,NA,NA
67,12378.132,12379.299,1827.234,1845.2,2394.3,2394.5,693.767,693.867,703.734,703.967,NA,NA,NA,NA
68,12443.566,12446.566,2371.434,2374.134,2394.834,2396.767,694.367,694.967,704.1,704.334,NA,NA,NA,NA
69,12684.599,12688.566,2374.2,2374.5,2398.234,2400.167,695.267,695.667,705.334,705.467,NA,NA,NA,NA
70,12707.532,12719.132,2376.134,2376.767,2400.434,2401.967,697.267,697.367,705.667,705.867,NA,NA,NA,NA
71,12751.799,12756.232,2378.767,2378.834,2403.1,2403.367,702.5,703.734,723.1,725.734,NA,NA,NA,NA
72,12767.199,12799.966,2379.767,2380.034,2404,2425.467,703.967,704.1,726,727.3,NA,NA,NA,NA
73,12838.232,12839.099,2381.267,2381.334,2428.934,2429.1,704.334,705.334,760.734,760.967,NA,NA,NA,NA
74,12888.632,12890.166,2381.367,2381.434,2429.5,2429.867,705.467,705.667,761.834,762.834,NA,NA,NA,NA
75,12896.666,12903.099,2382.767,2383.1,2688.867,2688.9,705.867,723.1,763.1,763.767,NA,NA,NA,NA
76,13149.999,13150.232,2388.3,2392.834,2688.934,3050,725.734,726,764.9,767.234,NA,NA,NA,NA
77,13226.332,13263.666,2393.767,2394.167,3452.267,3542.167,727.3,760.734,771.167,771.367,NA,NA,NA,NA
78,13283.399,13297.432,2394.234,2394.3,3569.334,3594.034,760.967,761.834,771.4,771.434,NA,NA,NA,NA
79,13304.766,13306.199,2394.5,2394.834,3595.934,3597.934,762.834,763.1,809.9,809.967,NA,NA,NA,NA
80,13331.132,13346.199,2396.767,2398.234,3620.767,3621.534,763.767,764.9,812.167,812.7,NA,NA,NA,NA
81,13489.666,13514.332,2400.167,2400.434,3621.8,3623.4,767.234,771.167,819.967,820,NA,NA,NA,NA
82,13585.199,13588.566,2401.967,2403.1,3624.667,3625.067,771.367,771.4,820.2,820.5,NA,NA,NA,NA
83,13588.599,13588.632,2403.367,2404,3625.467,3625.5,771.434,809.9,821.834,823.767,NA,NA,NA,NA
84,13605.399,13605.432,2425.467,2428.934,3625.767,3626.667,809.967,812.167,824.567,834.3,NA,NA,NA,NA
