"X1","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
243,13078.232,13083.432,NA,NA,NA,NA,21600,21600,NA,NA,NA,NA
244,13083.532,13083.866,NA,NA,NA,NA,21600,21600,NA,NA,NA,NA
245,13085.199,13113.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,13208.499,13209.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,13224.432,13227.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,13440.466,13440.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,13443.666,13443.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,13485.899,13506.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,13506.732,13506.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,13550.766,13550.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,13553.766,13563.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,13597.499,13602.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,13794.399,13794.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,14172.799,14195.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,14203.666,14206.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,14206.666,14207.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,14277.966,14282.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,19518.398,19518.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
