"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Unknown_start","Unknown_stop"
200,12862.178,12863.70354,5065.988,5069.8392,6939.66818,6945.47652,NA,NA,4577.0848,4578.2136,3247.0264,3247.0928,NA,NA
201,12967.92,12972.86514,5070.9016,5070.968,6946.30818,6946.72152,NA,NA,4580.2056,4580.3384,3247.2256,3269.204,NA,NA
202,12980.1376,12986.44394,5071.1672,5071.2336,6950.4532,6951.28652,NA,NA,4596.1416,4596.6728,3269.4032,3348.2864,NA,NA
203,13030.3028,13031.56274,5071.3664,5071.5656,6952.94818,6953.77652,NA,NA,4598.2664,4600.5904,3418.2056,3464.3536,NA,NA
204,13039.4328,13041.62234,5072.96,5073.3584,6955.85318,6956.26652,NA,NA,4600.7232,4604.9064,3467.8728,3468.0056,NA,NA
205,13049.9572,13053.10954,5073.4248,5073.7568,6957.51318,6957.92652,NA,NA,4605.7032,4605.9024,3471.1928,3472.1888,NA,NA
206,13083.8544,13084.31754,5073.8896,5074.1552,6959.17318,6967.47152,NA,NA,4605.9688,4609.488,3499.2136,3510.7672,NA,NA
207,13087.772,13127.70994,5074.5536,5075.0184,6969.13318,6970.78654,NA,NA,4610.5504,4611.2808,3510.9,3511.564,NA,NA
208,13248.61438,13249.02772,5075.0848,5075.7488,6973.69818,6974.11152,NA,NA,4769.5784,4769.7776,3512.2944,3541.444,NA,NA
209,13475.12138,13475.94972,5075.948,5076.0144,6975.76986,6976.18154,NA,NA,4771.6368,4771.9024,3578.4952,3650.0744,NA,NA
210,13522.9244,13526.64114,5076.0808,5077.3424,6979.50818,6979.92152,NA,NA,4772.168,4772.8984,3651.8008,3655.7184,NA,NA
211,13913.1572,13946.97472,5078.1392,5078.3384,6980.75318,6981.99652,NA,NA,4773.2968,4773.5624,3673.58,3674.3104,NA,NA
212,14032.9428,14034.16954,5080.7288,5083.8496,6982.91118,6983.32452,NA,NA,4797.1344,4800.7864,3674.7088,3678.228,NA,NA
213,14054.0912,14055.61674,5084.3144,5084.9784,6987.4712,6995.35786,NA,NA,4800.9192,4801.1848,3679.9544,3680.4192,NA,NA
214,14116.2084,14116.6234,5114.792,5115.9208,6995.35952,6997.01952,NA,NA,4801.6496,4801.9152,3680.4856,3686.1296,NA,NA
215,14157.29838,14157.71172,5115.9872,5136.9032,7001.58286,7001.99786,NA,NA,4802.2472,4810.0824,3692.5704,3701.136,NA,NA
216,14221.70638,14235.81638,5136.9696,5171.4976,7004.9012,7005.31952,NA,NA,4812.672,4813.1368,3767.4032,3771.188,NA,NA
217,14316.32638,14336.99172,5171.6304,5177.208,7017.34954,7017.3512,NA,NA,4813.5352,4813.7344,3771.3872,3771.52,NA,NA
218,14360.73138,14361.14638,5177.2744,5177.8056,7041.09086,7041.09252,NA,NA,4813.8008,4817.5856,3772.2504,3773.1136,NA,NA
219,14513.1144,14513.53272,5178.536,5183.3832,7042.75252,7044.40754,NA,NA,4871.3032,4872.8304,3773.6448,3774.0432,NA,NA
220,14516.43938,14545.90272,5364.9872,5377.6696,7046.07252,7050.22086,NA,NA,5105.7616,5113.8624,3774.176,3774.2424,NA,NA
221,14648.32638,14648.7364,5377.8024,5378.7984,7053.95918,7054.37086,NA,NA,5186.172,5186.3712,3779.488,3779.6208,NA,NA
222,14655.38138,14673.22472,5378.9312,5380.7904,7055.20418,7057.27752,NA,NA,5201.5768,5202.0416,3779.6872,3780.2848,NA,NA
223,14717.21638,14729.24972,5381.056,5386.4344,7070.14252,7072.21752,NA,NA,5248.1232,5249.6504,3780.484,3780.5504,NA,NA
224,14922.6364,14935.08972,5387.032,5391.016,7100.85418,7101.26254,NA,NA,5249.9824,5250.8456,3780.8824,3781.0152,NA,NA
225,15113.12638,15132.96172,5391.1488,5391.2152,7146.41786,7146.41952,NA,NA,5349.3168,5355.5584,3781.2144,3785.796,NA,NA
226,15192.72338,15213.05672,5391.348,5391.5472,7147.25118,7147.65954,NA,NA,5356.4216,5356.6208,3786.2608,3788.0536,NA,NA
227,15283.19338,15304.35672,5391.68,5392.344,7149.32286,7149.73952,NA,NA,5357.0856,5363.2608,3788.7176,3788.9168,NA,NA
228,15317.2184,15318.04674,5393.5392,5403.4992,7150.1512,7151.81452,NA,NA,5541.94818,5557.30152,3789.116,3789.2488,NA,NA
229,15320.95838,15335.47674,5403.4992,5434.43994,7152.6412,7156.37952,NA,NA,5557.71486,5558.95986,3789.3816,3789.5808,NA,NA
230,15345.44006,15386.52672,5434.5744,5436.09994,7158.45618,7159.28452,NA,NA,5559.3732,5560.20154,3789.78,3790.9752,NA,NA
231,15530.28438,15611.62272,5436.7324,5436.89674,7159.69952,7162.18952,NA,NA,5738.82418,5741.31252,3836.3264,3839.9784,NA,NA
232,15763.01638,15763.84472,5437.2304,5449.48452,7166.75286,7167.16952,NA,NA,5846.14152,5848.63152,3840.244,3840.908,NA,NA
233,15766.33638,15768.40474,5449.48618,5450.31452,7170.07618,7172.14952,NA,NA,5849.46152,5849.46318,3841.8376,3842.1032,NA,NA
234,15819.87138,15820.69972,5451.56118,5462.43086,7173.80786,7174.22286,NA,NA,6589.15918,6593.72252,3842.1696,3842.568,NA,NA
235,15824.85138,15838.54472,5462.84586,5480.52652,7179.70418,7182.19086,NA,NA,6594.13586,6600.36252,3843.564,3860.6288,NA,NA
236,15950.59638,15953.49972,5481.35818,5488.82652,7183.02418,7183.43752,NA,NA,6751.67318,6755.40652,3860.7616,3860.9608,NA,NA
237,15994.9964,16021.97472,5489.65818,5490.48154,7204.52118,7204.93452,NA,NA,6757.89652,6762.04486,3864.5464,3864.812,NA,NA
238,16093.35638,16096.34438,5492.97818,5497.95652,7208.67284,7209.0812,NA,NA,6771.1732,6777.8132,4004.916,4007.1736,NA,NA
239,16764.82638,16766.89474,5498.7832,5524.1812,7209.91618,7215.71954,NA,NA,6914.10418,6915.15994,4008.9664,4009.0328,NA,NA
240,16864.01138,16868.98474,5524.18286,5540.28652,7218.2112,7218.50834,NA,NA,7109.15418,7110.39752,4346.2784,4348.0712,NA,NA
241,16905.51138,16914.63972,5561.0332,5575.14652,7218.6428,7219.20554,NA,NA,7111.1412,7111.55952,4349.2,4354.7776,NA,NA
242,17040.88438,17051.25772,5576.80486,5584.27652,7219.54418,7219.95752,NA,NA,7290.09418,7290.50752,4357.4336,4357.5664,NA,NA
243,17068.19138,17073.16972,5591.74486,5639.47152,7221.61752,7221.61918,NA,NA,7291.75086,7292.16586,4359.6248,4359.6912,NA,NA
244,17089.35638,17093.08972,5641.13318,5642.37486,7228.67418,7229.08752,NA,NA,7310.42918,7327.85752,4359.7576,4368.9208,NA,NA
245,17129.69438,17192.7694,5643.2032,5654.68874,7230.74918,7231.9892,NA,NA,7333.49986,7333.91652,4572.4368,4577.0848,NA,NA
246,17314.78438,17334.70272,5655.122,5659.9692,7258.97084,7260.04818,NA,NA,7456.01118,7456.0892,4578.2136,4580.2056,NA,NA
247,17519.29638,17520.20772,5662.46584,5664.53752,7260.21418,7260.87154,NA,NA,7552.2032,7579.52514,4580.3384,4596.1416,NA,NA
248,17531.41438,17532.24272,5669.52084,5679.89252,7261.6368,7261.66834,NA,NA,7579.5932,7580.02314,4596.6728,4598.2664,NA,NA
249,17706.3236,17706.65394,5679.89418,5719.73252,7261.9024,7262.00034,NA,NA,7580.1576,7581.67152,4600.5904,4600.7232,NA,NA
250,17857.93638,17860.83972,5742.06118,5744.05152,7263.9276,7264.12514,NA,NA,7582.50152,7584.57652,4604.9064,4605.7032,NA,NA
251,17971.14672,17972.39172,5744.46486,5749.03152,7480.49452,7490.45452,NA,NA,8053.61118,8054.43952,4605.9024,4605.9688,NA,NA
252,21448.48152,21453.6242,5749.86318,5752.84952,7501.4404,7501.73754,NA,NA,8081.00118,8081.54234,4609.488,4610.5504,NA,NA
253,21600,21600,5753.68118,5765.21652,7528.266,7528.56314,NA,NA,10332.70818,10368.39486,4611.2808,4613.5384,NA,NA
254,NA,NA,5860.83418,5862.07752,7530.5236,7530.75434,NA,NA,10370.05818,10370.88652,4652.648,4692.7536,NA,NA
255,NA,NA,5862.07918,6491.8782,7536.02318,7536.43154,NA,NA,10371.30318,10372.13152,4756.9624,4769.5784,NA,NA
256,NA,NA,6492.29652,6493.12652,7613.37918,7623.38234,NA,NA,10372.13318,10372.29752,4769.7776,4771.6368,NA,NA
257,NA,NA,6495.20318,6496.86152,7624.546,7624.84314,NA,NA,10373.5392,10373.87286,4771.9024,4772.168,NA,NA
258,NA,NA,6498.52318,6499.35152,7625.1768,7625.24154,NA,NA,10468.58084,10471.06752,4772.8984,4773.2968,NA,NA
259,NA,NA,6500.18318,6502.25818,7628.4636,7628.62794,NA,NA,10471.48418,10472.72752,4773.5624,4781.0656,NA,NA
260,NA,NA,6503.08818,6505.99152,7636.53618,7636.94952,NA,NA,10714.25918,10714.5032,4796.2048,4797.1344,NA,NA
261,NA,NA,6506.82318,6509.8062,7840.0804,7840.21154,NA,NA,10714.92318,10716.42714,4800.7864,4800.9192,NA,NA
262,NA,NA,6509.80786,6511.79654,7840.8772,7849.07594,NA,NA,10716.5284,10724.96452,4801.1848,4801.6496,NA,NA
263,NA,NA,6511.7982,6514.70652,7851.7668,7852.42914,NA,NA,10729.11286,10730.35952,4801.9152,4802.2472,NA,NA
264,NA,NA,6514.70818,6525.91152,7854.0908,7854.18874,NA,NA,10732.02118,10733.98994,4810.0824,4812.672,NA,NA
265,NA,NA,6525.91318,6527.5682,7859.05918,7859.88586,NA,NA,10734.5892,10735.21834,4813.1368,4813.5352,NA,NA
266,NA,NA,6527.56986,6527.98486,7862.79418,7863.20752,NA,NA,10735.3196,10735.45074,4813.7344,4813.8008,NA,NA
267,NA,NA,6527.98652,6528.40152,7871.09418,7890.59752,NA,NA,10735.5852,10736.64594,4817.5856,4823.8936,NA,NA
268,NA,NA,6528.40318,6542.67586,7891.0092,7892.25752,NA,NA,10737.2784,10737.74154,4867.2528,4867.3192,NA,NA
269,NA,NA,6542.67918,6587.08252,7892.25918,7893.50252,NA,NA,10738.374,10738.70434,4869.3112,4871.3032,NA,NA
270,NA,NA,6608.24918,6610.32252,7894.33418,7895.16252,NA,NA,10739.0712,10739.36834,4872.8304,4875.8184,NA,NA
271,NA,NA,6612.81418,6635.05652,7895.57752,7895.57918,NA,NA,12124.75786,12152.97952,5086.1736,5105.7616,NA,NA
272,NA,NA,6635.05818,6637.54154,7896.41084,7896.82086,NA,NA,12154.22618,12167.8332,5113.8624,5114.0616,NA,NA
273,NA,NA,6637.96152,6638.79152,7973.93118,7974.34286,NA,NA,12168.66652,12170.32652,5184.9104,5186.172,NA,NA
274,NA,NA,6638.79318,6642.11152,7975.58786,7976.41952,NA,NA,12171.57318,12185.26652,5186.3712,5201.5768,NA,NA
275,NA,NA,6642.94318,6650.41152,8034.93618,8042.40452,NA,NA,12185.68152,12186.51152,5202.0416,5248.1232,NA,NA
276,NA,NA,6651.6532,6652.90152,8099.67286,8100.91952,NA,NA,12489.41006,12507.79954,5249.6504,5249.9824,NA,NA
277,NA,NA,6655.80818,6672.82152,8102.16286,8102.58118,NA,NA,12509.262,12510.58834,5250.8456,5349.3168,NA,NA
278,NA,NA,6673.65318,6692.74152,8166.90618,8168.52634,NA,NA,12511.1544,12515.66794,5355.5584,5356.4216,NA,NA
279,NA,NA,6698.55318,6700.6232,8168.5944,8169.28994,NA,NA,12516.1344,12518.52314,5356.6208,5357.0856,NA,NA
280,NA,NA,6709.34152,6712.66152,8169.4576,8174.40274,NA,NA,12519.6868,12520.05034,5363.2608,5363.792,NA,NA
281,NA,NA,6720.96318,6723.86652,8174.5372,8175.56474,NA,NA,12586.6512,12587.01474,5540.70318,5541.94652,NA,NA
282,NA,NA,6724.6932,6729.26152,8177.492,8178.65234,NA,NA,12588.8756,12590.10234,5557.30318,5557.7132,NA,NA
283,NA,NA,6730.09318,6732.58152,9917.4376,9918.16634,NA,NA,12637.64972,12639.83594,5558.96152,5559.37154,NA,NA
284,NA,NA,6732.99818,6744.61652,9919.33,9920.42394,NA,NA,12645.88,12646.11074,5560.2032,5560.62152,NA,NA
285,NA,NA,6746.27486,6746.69152,9921.1892,9925.50354,NA,NA,12648.9012,12650.36034,5734.25918,5738.82252,NA,NA
286,NA,NA,6778.64818,6788.27286,9926.8332,9936.62554,NA,NA,12652.2544,12653.91274,5741.31418,5741.7242,NA,NA
287,NA,NA,6790.35118,6791.17952,9937.5568,9952.03034,NA,NA,12655.1428,12655.70554,5781.81818,5846.13986,NA,NA
288,NA,NA,6792.01118,6792.4212,9969.8272,9975.86794,NA,NA,12709.458,12709.72194,5848.63318,5849.46152,NA,NA
289,NA,NA,6796.65918,6811.59752,10023.0468,10024.37314,NA,NA,12740.23938,12740.56972,5849.46318,5859.99754,NA,NA
290,NA,NA,6811.59918,6861.39586,10024.4744,10026.13274,NA,NA,12741.81638,12743.8864,6588.32918,6589.15752,NA,NA
291,NA,NA,6863.88918,6865.49274,10034.3348,10034.46594,NA,NA,12751.02772,12752.68274,6593.72418,6594.1342,NA,NA
292,NA,NA,6865.5608,6904.9692,10034.7,10034.83114,NA,NA,12753.51938,12754.76272,6600.36418,6601.44152,NA,NA
293,NA,NA,6916.224,6927.37754,10040.2444,10040.67434,NA,NA,12756.42438,12757.25272,6750.42818,6751.67152,NA,NA
294,NA,NA,6927.6448,6929.29152,10046.2204,10046.71674,NA,NA,12757.66772,12760.15274,6755.40818,6757.89486,NA,NA
295,NA,NA,6929.29318,6930.53652,10050.5696,10050.86674,NA,NA,12760.57106,12761.81772,6762.04652,6771.17154,NA,NA
296,NA,NA,6931.78318,6933.8532,10101.30418,10105.8642,NA,NA,12762.64938,12763.0594,6777.81486,6778.22986,NA,NA
297,NA,NA,6935.51652,6939.66652,10255.26918,10258.17252,NA,NA,12808.71438,12809.22234,6907.87918,6914.10252,NA,NA
298,NA,NA,6945.47818,6946.30652,10258.58918,10259.83252,NA,NA,12811.3488,12811.77874,6915.1616,6915.52514,NA,NA
299,NA,NA,6946.72318,6950.45154,10260.24918,10261.90752,NA,NA,12813.6064,12813.90354,7107.49418,7109.15252,NA,NA
300,NA,NA,6951.28818,6952.94652,10262.32418,10286.80918,NA,NA,12814.9344,12815.06554,7110.39918,7111.13954,NA,NA
301,NA,NA,6953.77818,6955.85152,10288.88252,10295.10752,NA,NA,12815.2664,12820.74274,7111.56118,7123.18118,NA,NA
302,NA,NA,6956.26818,6957.51152,10300.91918,10305.47754,NA,NA,12821.5412,12821.80514,7285.44618,7290.09252,NA,NA
303,NA,NA,6957.92818,6959.17152,10306.31418,10307.97252,NA,NA,12823.2676,12823.69754,7290.50918,7291.7492,NA,NA
304,NA,NA,6967.47318,6969.13152,10309.21918,10310.04752,NA,NA,12825.3592,12825.55674,7292.16752,7310.42752,NA,NA
305,NA,NA,6970.7882,6973.69652,10388.8112,10391.43234,NA,NA,12829.5424,12830.70274,7327.85918,7333.4982,NA,NA
306,NA,NA,6974.11318,6975.7682,10391.6,10391.79754,NA,NA,12893.552,12894.14794,7333.91818,7343.04652,NA,NA
307,NA,NA,6976.1832,6979.50652,10505.92918,10507.58586,NA,NA,12894.8136,12895.17714,7358.81652,7456.00952,NA,NA
308,NA,NA,6979.92318,6980.75152,10510.07918,10550.65954,NA,NA,12895.71,12898.86234,7456.09086,7465.88652,NA,NA
309,NA,NA,6981.99818,6982.90952,10554.48418,10555.72752,NA,NA,12898.9968,12907.12914,7477.9265,7478.41786,NA,NA
310,NA,NA,6983.32618,6987.46954,10559.87918,10561.53752,NA,NA,12925.6564,12926.08634,7550.13318,7552.20154,NA,NA
311,NA,NA,6995.35786,6995.35952,10563.19918,10566.10252,NA,NA,12940.5964,12940.86034,7579.5268,7579.59154,NA,NA
312,NA,NA,6997.02118,7001.5812,10663.13118,10678.89952,NA,NA,12941.6588,12941.85634,7580.0248,7580.15594,NA,NA
313,NA,NA,7001.99952,7004.89954,10703.46918,10703.7962,NA,NA,12942.0904,12942.98514,7581.67318,7582.49986,NA,NA
314,NA,NA,7005.32118,7017.34954,10704.21618,10705.54252,NA,NA,12943.2856,12943.84834,7584.57818,7592.46318,NA,NA
315,NA,NA,7017.3512,7041.09086,10705.95752,10706.37252,NA,NA,12944.3148,12950.22274,8052.78118,8053.60952,NA,NA
316,NA,NA,7041.09252,7042.75086,10707.1992,10709.69252,NA,NA,12950.7556,12957.42714,8054.44118,8080.99952,NA,NA
317,NA,NA,7044.4092,7046.07086,10783.56418,10783.97918,NA,NA,12959.3544,12960.18274,8081.544,8084.31952,NA,NA
318,NA,NA,7050.22252,7053.95752,10784.80918,10789.78752,NA,NA,12961.8444,12963.03794,10331.87486,10332.70652,NA,NA
319,NA,NA,7054.37252,7055.20252,10901.75618,10902.99454,NA,NA,12964.4672,12965.16274,10368.39652,10370.05652,NA,NA
320,NA,NA,7057.27918,7070.14086,10906.73618,10907.14952,NA,NA,12965.762,12967.61954,10370.88818,10371.30152,NA,NA
321,NA,NA,7072.21918,7100.85252,10907.15118,10911.29952,NA,NA,12986.7444,12987.04154,10372.13152,10372.13318,NA,NA
322,NA,NA,7101.2642,7106.24752,10921.26118,10922.08952,NA,NA,12987.2424,12987.34034,10372.29918,10373.53754,NA,NA
323,NA,NA,7142.27118,7146.41786,10979.85918,10980.68752,NA,NA,13024.9908,13025.08874,10373.87452,10374.2862,NA,NA
324,NA,NA,7146.41952,7147.25118,10982.76086,10983.59252,NA,NA,13025.2232,13026.38354,10466.91752,10468.57918,NA,NA
325,NA,NA,7147.6612,7149.3212,10998.11918,10998.94752,NA,NA,13026.5844,13027.74474,10471.06918,10471.48252,NA,NA
326,NA,NA,7149.74118,7150.14954,11010.15418,11011.81252,NA,NA,13029.7716,13030.00234,10472.72918,10492.23252,NA,NA
327,NA,NA,7151.81618,7152.63954,11026.33918,11028.40754,NA,NA,13063.3368,13063.66714,10493.47752,10494.72252,NA,NA
328,NA,NA,7156.38118,7158.45452,11035.46918,11048.33252,NA,NA,13064.7644,13065.26074,10712.59918,10714.25752,NA,NA
329,NA,NA,7159.28618,7159.69786,11048.74918,11051.23752,NA,NA,13082.9912,13083.71994,10714.50486,10714.92152,NA,NA
330,NA,NA,7162.19118,7166.7512,11052.48418,11052.89752,NA,NA,13185.44806,13186.27972,10716.4288,10716.52674,NA,NA
331,NA,NA,7167.17118,7170.07452,11073.64918,11074.06252,NA,NA,13220.31138,13231.09972,10724.96618,10729.1112,NA,NA
332,NA,NA,7172.15118,7173.8062,11922.15486,11925.89152,NA,NA,13243.13638,13244.79472,10730.36118,10732.01952,NA,NA
333,NA,NA,7174.22452,7179.70252,12036.28318,12041.20674,NA,NA,13247.28638,13247.6964,10733.9916,10734.58754,NA,NA
334,NA,NA,7182.19252,7183.02252,12041.3412,12043.29834,NA,NA,13476.36638,13480.92806,10735.22,10735.31794,NA,NA
335,NA,NA,7183.43918,7204.51952,12043.4328,12051.96354,NA,NA,13481.34638,13485.97114,10735.4524,10735.58354,NA,NA
336,NA,NA,7204.93618,7208.67118,12052.6956,12056.91034,NA,NA,13486.172,13488.82634,10736.6476,10737.27674,NA,NA
337,NA,NA,7209.08286,7209.91452,12068.40418,12068.81918,NA,NA,13490.4548,13491.08394,10737.7432,10738.37234,NA,NA
338,NA,NA,7215.7212,7218.20954,12072.13918,12073.3792,NA,NA,13491.38938,13521.32914,10738.706,10739.06954,NA,NA
339,NA,NA,7218.51,7218.64114,12187.84118,12188.67118,NA,NA,13521.6628,13522.25874,10739.37,10775.26252,NA,NA
340,NA,NA,7219.2072,7219.54252,12189.91618,12190.32952,NA,NA,14130.73838,14141.94172,12152.98118,12154.22452,NA,NA
341,NA,NA,7219.95918,7221.61752,12223.3104,12223.60754,NA,NA,14155.6334,14157.29672,12167.83486,12168.66486,NA,NA
342,NA,NA,7221.61918,7228.67252,12266.8356,12268.12874,NA,NA,14238.72138,14239.54972,12170.32818,12171.57152,NA,NA
343,NA,NA,7229.08918,7230.74752,12268.3628,12277.45794,NA,NA,14277.73138,14278.97472,12185.26818,12185.67986,NA,NA
344,NA,NA,7231.99086,7258.96918,12279.5844,12281.57474,NA,NA,14280.22138,14296.40472,12186.51152,12186.51318,NA,NA
345,NA,NA,7260.04984,7260.21252,12321.00472,12323.49306,NA,NA,14302.21638,14308.85472,12486.9184,12489.4084,NA,NA
346,NA,NA,7260.8732,7261.63514,12328.47638,12331.37972,NA,NA,14361.97638,14362.80472,12507.8012,12509.26034,NA,NA
347,NA,NA,7261.67,7261.90074,12332.20806,12333.86972,NA,NA,14364.05138,14366.95472,12510.59,12511.15274,NA,NA
348,NA,NA,7262.002,7263.92594,12334.28306,12334.69972,NA,NA,14393.10138,14394.34472,12515.6696,12516.13274,NA,NA
349,NA,NA,7264.1268,7284.6112,12338.02138,12338.4314,NA,NA,14395.59138,14398.9064,12518.5248,12519.68514,NA,NA
350,NA,NA,7478.8312,7480.49286,12451.81438,12453.47272,NA,NA,14399.32472,14422.64772,12520.052,12522.34114,NA,NA
351,NA,NA,7490.45618,7501.43874,12454.7144,12454.84554,NA,NA,14425.80338,14426.21838,12587.0164,12588.87394,NA,NA
352,NA,NA,7501.7392,7528.26434,12459.3624,12459.65954,NA,NA,14442.7636,14443.09394,12590.104,12609.42972,NA,NA
353,NA,NA,7528.5648,7530.52194,12860.5844,12860.68234,NA,NA,14461.49338,14463.1484,12627.27804,12637.64806,NA,NA
354,NA,NA,7530.756,7536.02152,13032.3944,13033.22274,NA,NA,14465.22838,14465.64006,12639.8376,12645.87834,NA,NA
355,NA,NA,7536.4332,7549.30152,13035.6148,13035.77914,NA,NA,14466.88672,14466.88838,12646.1124,12648.89954,NA,NA
356,NA,NA,7593.04418,7613.37752,13035.9136,13039.43114,NA,NA,14467.30172,14467.30338,12650.362,12652.25274,NA,NA
357,NA,NA,7623.384,7624.54434,13085.0496,13086.37594,NA,NA,14470.6184,14471.86672,12653.9144,12655.14114,NA,NA
358,NA,NA,7624.8448,7625.17514,13249.44272,13252.24314,NA,NA,14473.11338,14473.93674,12655.7072,12709.45634,NA,NA
359,NA,NA,7625.2432,7628.46194,13527.5724,13528.03554,NA,NA,14479.33838,14479.75172,12709.7236,12719.90272,NA,NA
360,NA,NA,7628.6296,7636.53452,13529.6972,13530.39274,NA,NA,14480.99506,14481.5744,12735.25938,12740.23772,NA,NA
361,NA,NA,7636.95118,7840.07874,13532.1872,13532.3532,NA,NA,14484.06938,14484.89938,12740.57138,12741.81472,NA,NA
362,NA,NA,7840.2132,7840.87554,13894.7644,13895.06154,NA,NA,14554.1828,14554.44674,12743.88806,12751.02606,NA,NA
363,NA,NA,7849.0776,7851.76514,13896.026,13898.94594,NA,NA,14554.86672,14556.11172,12752.6844,12753.51772,NA,NA
364,NA,NA,7852.4308,7854.08914,13906.816,13908.47434,NA,NA,14598.44338,14599.27172,12754.76438,12756.42272,NA,NA
365,NA,NA,7854.1904,7859.05752,14031.2164,14031.67954,NA,NA,14599.68506,14601.34672,12757.25438,12757.66606,NA,NA
366,NA,NA,7859.88752,7862.79252,14169.91438,14175.30772,NA,NA,14603.00838,14605.08172,12760.1544,12760.5694,NA,NA
367,NA,NA,7863.20918,7871.09252,14176.13938,14187.34272,NA,NA,14619.19338,14624.1684,12761.81938,12762.64772,NA,NA
368,NA,NA,7890.59918,7891.00754,14191.49438,14215.97772,NA,NA,14624.58672,14640.35672,12763.06106,12808.71272,NA,NA
369,NA,NA,7892.25752,7892.25918,14217.22438,14218.46938,NA,NA,14640.77338,14641.60172,12809.224,12809.58754,NA,NA
370,NA,NA,7893.50418,7894.33252,14218.8628,14219.06034,NA,NA,14733.81306,14734.64472,12810.9172,12811.34714,NA,NA
371,NA,NA,7895.16418,7895.57752,14220.04638,14220.45806,NA,NA,14735.06138,14740.03972,12811.7804,12813.60474,NA,NA
372,NA,NA,7895.57918,7896.40918,14338.23838,14340.72672,NA,NA,14747.50806,14752.89974,12813.9052,12814.13594,NA,NA
373,NA,NA,7896.82252,7973.92952,14342.898,14343.02914,NA,NA,14753.73638,14759.95972,12815.0672,12815.26474,NA,NA
374,NA,NA,7974.34452,7975.5862,14345.554,14347.64394,NA,NA,14761.70438,14762.11606,12820.7444,12821.53954,NA,NA
375,NA,NA,7976.42118,8034.93452,14348.6416,14348.73954,NA,NA,14762.53438,14765.02272,12821.8068,12822.17034,NA,NA
376,NA,NA,8042.40618,8044.47952,14358.15838,14358.98672,NA,NA,14765.85438,14768.75274,12822.8028,12823.26594,NA,NA
377,NA,NA,8098.43118,8099.6712,14514.3594,14515.60274,NA,NA,14769.58938,14770.41274,12823.6992,12825.35754,NA,NA
378,NA,NA,8100.92118,8102.1612,14649.98638,14653.71474,NA,NA,14777.47438,14779.13272,12825.5584,12829.54074,NA,NA
379,NA,NA,8102.58284,8166.90452,14714.31138,14716.38472,NA,NA,14780.79438,14782.45272,12830.7044,12841.49274,NA,NA
380,NA,NA,8168.528,8168.5944,14935.92138,14938.40972,NA,NA,14784.11438,14784.94272,12863.7052,12893.55034,NA,NA
381,NA,NA,8169.2916,8169.45594,14943.3864,14956.66972,NA,NA,14787.84938,14789.09272,12894.1496,12894.81194,NA,NA
382,NA,NA,8174.4044,8174.53554,14957.91472,14957.91638,NA,NA,14793.24438,14793.65772,12895.1788,12895.70834,NA,NA
383,NA,NA,8175.5664,8177.49034,15059.5864,15060.00306,NA,NA,14795.31938,14797.80772,12898.864,12898.99514,NA,NA
384,NA,NA,8178.654,9917.43594,15061.66638,15066.22474,NA,NA,14798.63606,14808.18272,12907.1308,12925.65474,NA,NA
385,NA,NA,9918.168,9919.32834,15109.80638,15111.87474,NA,NA,14810.25938,14815.15472,12926.088,12940.59474,NA,NA
386,NA,NA,9920.4256,9921.18754,15214.30172,15214.30338,NA,NA,14815.98638,14818.47472,12940.862,12941.65714,NA,NA
387,NA,NA,9925.5052,9926.83154,15234.22338,15255.88472,NA,NA,14819.30638,14820.5464,12941.858,12942.08874,NA,NA
388,NA,NA,9936.6272,9937.55514,15256.71638,15258.37472,NA,NA,14821.79804,14823.86474,12942.9868,12943.28394,NA,NA
389,NA,NA,9952.032,9969.82554,15258.7864,15259.19974,NA,NA,14829.67806,14833.41472,12943.85,12944.31314,NA,NA
390,NA,NA,9975.8696,10023.04514,15259.2014,15260.03472,NA,NA,14836.32138,14839.22306,12950.2244,12950.75394,NA,NA
391,NA,NA,10024.3748,10024.47274,15264.18638,15265.01472,NA,NA,14839.63806,14842.12972,12957.4288,12959.35274,NA,NA
392,NA,NA,10026.1344,10034.33314,15266.26138,15266.67306,NA,NA,14843.37638,14845.03472,12960.1844,12961.84274,NA,NA
393,NA,NA,10034.4676,10034.69834,15267.50472,15267.50638,NA,NA,14846.28138,14847.52472,12963.0396,12964.46554,NA,NA
394,NA,NA,10034.8328,10040.24274,15271.2364,15271.65306,NA,NA,14848.77138,14850.42972,12965.1644,12965.76034,NA,NA
395,NA,NA,10040.676,10046.21874,15271.65472,15273.72806,NA,NA,14851.67638,14852.08474,12967.6212,12967.91834,NA,NA
396,NA,NA,10046.7184,10046.98234,15274.56138,15275.71674,NA,NA,14854.99638,14857.8964,12986.4456,12986.74274,NA,NA
397,NA,NA,10050.8684,10101.30252,15276.13838,15277.79672,NA,NA,14859.5564,14861.21972,12987.0432,12987.24074,NA,NA
398,NA,NA,10105.86586,10255.26752,15306.43338,15307.67672,NA,NA,15139.18506,15139.18672,12987.342,13024.98914,NA,NA
399,NA,NA,10258.17418,10258.58752,15308.50672,15316.39172,NA,NA,15140.01838,15152.05172,13025.0904,13025.22154,NA,NA
