"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Unknown_start","Unknown_stop"
48,527.7472,528.4776,591.292,592.0888,4145.1528,4145.2192,NA,NA,204.844,204.9104,195.4816,204.844,NA,NA
49,561.3456,562.3416,610.0832,630.8,4147.6096,4147.676,NA,NA,208.2304,208.7616,204.9104,208.2304,NA,NA
50,592.0888,593.4168,636.3112,636.9088,4148.672,4148.7384,NA,NA,209.0936,209.16,208.7616,208.828,NA,NA
51,607.4272,610.0832,644.412,647.6656,4151.4608,4151.66,NA,NA,210.3552,210.4216,209.16,210.3552,NA,NA
52,636.1784,636.3112,659.7504,662.4728,4152.7224,4153.984,NA,NA,213.4096,213.7416,210.4216,213.4096,NA,NA
53,636.9088,644.412,670.2416,678.3424,4158.2336,4158.3664,NA,NA,214.2064,214.2728,213.7416,214.2064,NA,NA
54,647.6656,658.688,699.3912,743.2152,4158.4992,4158.632,NA,NA,216.7296,217.5928,214.2728,216.7296,NA,NA
55,658.8208,659.7504,747.3984,751.4488,4161.2216,4161.288,NA,NA,246.4104,249.5312,217.5928,218.124,NA,NA
56,662.4728,665.1288,789.0312,800.5184,4161.4872,4161.6864,NA,NA,251.3904,259.2256,244.2192,246.4104,NA,NA
57,669.5776,670.2416,847.9944,850.916,4162.0848,4162.4168,NA,NA,259.4912,261.2176,249.5312,251.3904,NA,NA
58,678.3424,679.604,860.6768,950.9808,4163.2136,4163.28,NA,NA,261.7488,261.8152,259.2256,259.4912,NA,NA
59,697.9968,698.86,951.0472,953.1056,4197.5424,4198.0072,NA,NA,263.2096,263.276,261.2176,261.7488,NA,NA
60,699.0592,699.3912,955.7616,998.2576,4203.3192,4205.112,NA,NA,332.996,334.324,261.8152,263.2096,NA,NA
61,743.8128,745.4728,999.7848,1000.8472,4205.5104,4206.5064,NA,NA,334.4568,338.3744,263.276,264.4048,NA,NA
62,746.4688,747.3984,1052.8384,1061.072,4206.772,4210.6232,NA,NA,346.1432,346.276,287.1136,288.2424,NA,NA
63,751.4488,772.2984,1061.2048,1061.6032,4223.3056,4228.6176,NA,NA,346.3424,346.4088,330.1408,332.996,NA,NA
64,788.3672,789.0312,1112.2664,1158.7464,4230.6096,4230.676,NA,NA,346.4752,346.7408,334.324,334.4568,NA,NA
65,800.5184,808.2208,1190.3528,1515.1152,4230.8752,4230.9416,NA,NA,349.5296,349.6624,338.3744,346.1432,NA,NA
66,847.3304,847.9944,1532.844,1610.532,4231.008,4231.0744,NA,NA,350.924,351.0568,346.276,346.3424,NA,NA
67,850.916,860.6768,1610.5984,1638.3536,4231.2072,4232.4688,NA,NA,437.1112,437.3768,346.4088,346.4752,NA,NA
68,953.1056,955.7616,1638.4864,1724.1424,4233.8632,4237.5816,NA,NA,438.1072,438.1736,346.7408,349.5296,NA,NA
69,999.1872,999.7848,1743.0664,1892.0016,4240.4368,4240.5696,NA,NA,440.564,440.6304,349.6624,350.924,NA,NA
70,1000.8472,1005.0968,1909.996,1972.3456,4240.636,4242.96,NA,NA,442.224,442.4896,351.0568,351.4552,NA,NA
71,1016.8496,1052.8384,2058.5992,2095.0528,4246.5456,4246.612,NA,NA,442.888,442.9544,433.1272,437.1112,NA,NA
72,1061.6032,1089.3584,2177.1896,2184.56,4248.272,4248.4048,NA,NA,443.22,443.2864,437.3768,438.1072,NA,NA
73,1102.4392,1105.1616,2191.1336,2191.2,4276.8904,4277.0232,NA,NA,443.4856,443.8176,438.1736,440.564,NA,NA
74,1111.4032,1112.2664,2193.856,2195.4496,4277.156,4277.2224,NA,NA,446.6728,446.7392,440.6304,442.224,NA,NA
75,1158.7464,1168.4408,2221.4784,2232.1688,4387.9112,4387.9776,NA,NA,553.8424,554.5728,442.4896,442.888,NA,NA
76,1181.0568,1181.1896,2232.2352,2259.7248,4388.8408,4388.9072,NA,NA,554.8384,555.3032,442.9544,443.22,NA,NA
77,1181.256,1182.916,2260.4552,2262.5136,4404.0464,4404.1128,NA,NA,555.9672,556.3656,443.2864,443.4856,NA,NA
78,1188.56,1190.3528,2262.58,2266.2984,4404.1792,4404.312,NA,NA,559.752,559.8848,443.8176,446.6728,NA,NA
79,1515.1152,1520.8256,2266.8296,2267.0288,4408.0968,4408.5616,NA,NA,559.9512,560.1504,446.7392,448.3992,NA,NA
80,1532.2464,1532.844,2292.3272,2327.7848,4416.264,4416.5296,NA,NA,689.9624,696.9344,451.9184,467.9208,NA,NA
81,1724.1424,1728.9896,2342.592,2360.3872,4418.8536,4419.0528,NA,NA,697.0672,697.4656,497.2032,499.1952,NA,NA
82,1729.1888,1730.4504,2361.7152,2362.0472,4453.2488,4453.6472,NA,NA,786.508,788.1016,528.4776,553.8424,NA,NA
83,1730.5832,1730.6496,2362.6448,2362.7112,4503.3144,4503.3808,NA,NA,814.3296,814.728,554.5728,554.8384,NA,NA
84,1731.4464,1731.9776,2362.844,2363.0432,4503.4472,4503.7128,NA,NA,845.4712,845.6704,555.3032,555.9672,NA,NA
85,1742.336,1743.0664,2363.1096,2369.484,4525.0272,4526.2888,NA,NA,846.3344,846.4008,556.3656,559.752,NA,NA
86,1892.0016,1909.996,2370.2144,2371.5424,4526.4216,4526.488,NA,NA,1007.6864,1007.8856,559.8848,559.9512,NA,NA
87,1972.3456,1973.3416,2371.6088,2371.6752,4527.3512,4527.484,NA,NA,1097.9904,1098.0568,560.1504,561.3456,NA,NA
88,1978.388,1988.8128,2371.808,2381.3696,4529.2768,4529.3432,NA,NA,1100.1152,1100.1816,593.4168,607.4272,NA,NA
89,2057.404,2058.5992,2423.268,2529.176,4529.5424,4529.808,NA,NA,1100.248,1100.3144,658.688,658.8208,NA,NA
90,2095.0528,2096.6464,2555.4704,2559.8528,4529.9408,4530.3392,NA,NA,1106.0912,1107.0872,665.1288,669.5776,NA,NA
91,2163.0464,2165.304,2560.052,2560.3176,4531.6672,4531.7336,NA,NA,1169.636,1169.7688,679.604,689.9624,NA,NA
92,2176.592,2177.1896,2560.4504,2563.8368,4531.8,4532.5304,NA,NA,1170.3,1170.6984,696.9344,697.0672,NA,NA
93,2184.56,2191.1336,2563.9696,2568.352,4532.6632,4532.9952,NA,NA,1175.28,1175.944,697.4656,697.9968,NA,NA
94,2191.2,2193.856,2579.308,2586.4128,4533.3272,4533.5264,NA,NA,1176.2096,1176.94,745.4728,746.4688,NA,NA
95,2195.4496,2221.4784,2586.944,2591.7912,4535.12,4535.2528,NA,NA,1177.0728,1177.1392,772.2984,786.508,NA,NA
96,2259.7248,2260.4552,2591.8576,2596.24,4536.116,4536.3816,NA,NA,1177.2056,1177.4048,788.1016,788.3672,NA,NA
97,2262.5136,2262.58,2596.3728,2612.2424,4537.8424,4538.5728,NA,NA,1186.568,1186.7008,808.2208,814.3296,NA,NA
98,2266.2984,2266.8296,2615.8944,2625.3232,4541.6936,4542.2248,NA,NA,1186.7672,1186.8336,814.728,845.4712,NA,NA
99,2267.0288,2279.4456,2671.2056,2772.9968,4707.6272,4707.6936,NA,NA,1732.1104,1732.1768,845.6704,846.3344,NA,NA
100,2279.9768,2280.176,2773.3288,2773.3952,4709.752,4709.8184,NA,NA,1732.5752,1732.7744,846.4008,847.3304,NA,NA
101,2288.5424,2288.6752,2775.188,2815.4264,4721.9032,4722.4344,NA,NA,1732.9072,1733.3056,1005.0968,1007.6864,NA,NA
102,2288.7416,2292.3272,2818.6136,2902.7424,4722.5008,4722.6336,NA,NA,1733.372,1733.4384,1007.8856,1016.8496,NA,NA
103,2327.7848,2331.304,2902.8088,3066.8832,4729.8712,4730.004,NA,NA,1733.704,1735.8288,1089.3584,1097.9904,NA,NA
104,2333.1632,2342.592,3067.4144,3079.2336,4730.9336,4731.7968,NA,NA,1735.8952,1736.028,1098.0568,1100.1152,NA,NA
105,2381.3696,2382.8968,3160.2416,3187.2664,4782.0616,4782.5928,NA,NA,1736.4264,1737.356,1100.1816,1100.248,NA,NA
106,2422.5376,2423.268,3204.8624,3211.104,5033.784,5034.116,NA,NA,1737.8208,1738.9496,1100.3144,1102.4392,NA,NA
107,2529.176,2529.9064,3211.1704,3212.764,5035.112,5038.1664,NA,NA,1739.4808,1739.68,1105.1616,1106.0912,NA,NA
108,2553.1464,2555.4704,3358.512,3404.7928,5043.8104,5044.6072,NA,NA,1739.7464,1740.1448,1107.0872,1111.4032,NA,NA
109,2568.352,2579.308,3475.3096,3480.4888,5049.6536,5049.8528,NA,NA,1740.2112,1740.344,1168.4408,1169.636,NA,NA
110,2612.2424,2615.8944,3555.8528,3556.4504,5050.1848,5050.2512,NA,NA,1740.7424,1740.9416,1169.7688,1170.3,NA,NA
111,2625.3232,2626.2528,3556.5168,3571.0584,5051.9776,5052.5752,NA,NA,1741.1408,1741.8048,1170.6984,1175.28,NA,NA
112,2662.4408,2671.2056,3571.1912,3571.5896,5065.656,5065.988,NA,NA,1975.8648,1975.9312,1175.944,1176.2096,NA,NA
113,2815.4264,2816.9536,3701.9328,3702.7296,5069.8392,5070.9016,NA,NA,1977.5248,1977.7904,1176.94,1177.0728,NA,NA
114,2817.4184,2818.6136,3702.796,3757.908,5070.968,5071.1672,NA,NA,1977.9232,1977.9896,1177.1392,1177.2056,NA,NA
115,3079.2336,3082.8856,3791.6392,3798.8768,5071.2336,5071.3664,NA,NA,2047.5104,2047.5768,1177.4048,1181.0568,NA,NA
116,3155.7928,3160.2416,3808.6376,3827.296,5071.5656,5072.96,NA,NA,2047.776,2047.8424,1181.1896,1181.256,NA,NA
117,3187.2664,3189.7896,4009.564,4068.1288,5073.3584,5073.4248,NA,NA,2048.108,2048.1744,1182.916,1186.568,NA,NA
118,3204.0656,3204.8624,4068.1952,4109.5624,5073.7568,5073.8896,NA,NA,2048.9712,2049.2368,1186.7008,1186.7672,NA,NA
119,3212.764,3241.7144,4109.828,4117.132,5074.1552,5074.5536,NA,NA,2049.3032,2049.3696,1186.8336,1188.56,NA,NA
120,3348.2864,3358.512,4117.1984,4144.024,5075.0184,5075.0848,NA,NA,2054.1504,2056.8064,1520.8256,1532.2464,NA,NA
121,3404.7928,3418.2056,4144.1568,4145.1528,5075.7488,5075.948,NA,NA,2118.824,2119.488,1728.9896,1729.1888,NA,NA
122,3472.1888,3475.3096,4145.2192,4147.6096,5076.0144,5076.0808,NA,NA,2119.82,2119.8864,1730.4504,1730.5832,NA,NA
123,3480.4888,3499.2136,4147.676,4148.672,5077.3424,5078.1392,NA,NA,2119.9528,2120.0856,1730.6496,1731.4464,NA,NA
124,3541.444,3555.8528,4148.7384,4151.4608,5078.3384,5080.7288,NA,NA,2122.3432,2122.6088,1731.9776,1732.1104,NA,NA
125,3571.0584,3571.1912,4151.66,4152.7224,5115.9208,5115.9872,NA,NA,2126.1944,2126.5264,1732.1768,1732.5752,NA,NA
126,3571.5896,3578.4952,4153.984,4158.2336,5136.9032,5136.9696,NA,NA,2130.5768,2132.3032,1732.7744,1732.9072,NA,NA
127,3686.1296,3692.5704,4158.3664,4158.4992,5171.4976,5171.6304,NA,NA,2133.3656,2133.432,1733.3056,1733.372,NA,NA
128,3701.2688,3701.9328,4158.632,4161.2216,5177.208,5177.2744,NA,NA,2134.0296,2134.1624,1733.4384,1733.704,NA,NA
129,3757.908,3767.4032,4161.288,4161.4872,5177.8056,5178.536,NA,NA,2136.088,2137.8144,1735.8288,1735.8952,NA,NA
130,3790.9752,3791.6392,4161.6864,4162.0848,5377.6696,5377.8024,NA,NA,2140.404,2140.5368,1736.028,1736.4264,NA,NA
131,3798.8768,3808.6376,4162.4168,4163.2136,5378.7984,5378.9312,NA,NA,2140.6032,2140.9352,1737.356,1737.8208,NA,NA
132,3827.296,3836.3264,4163.28,4197.5424,5380.7904,5381.056,NA,NA,2141.2672,2141.4,1738.9496,1739.4808,NA,NA
133,4009.0328,4009.564,4198.0072,4203.3192,5386.4344,5387.032,NA,NA,2141.5328,2141.6656,1739.68,1739.7464,NA,NA
134,4264.3408,4264.7392,4205.112,4205.5104,5391.016,5391.1488,NA,NA,2145.3176,2148.9696,1740.1448,1740.2112,NA,NA
135,4265.0048,4265.0712,4206.5064,4206.772,5391.2152,5391.348,NA,NA,2149.8328,2150.5632,1740.344,1740.7424,NA,NA
136,4269.1216,4273.504,4210.6232,4223.3056,5391.5472,5391.68,NA,NA,2153.7504,2153.9496,1740.9416,1741.1408,NA,NA
137,4338.1776,4339.24,4228.6176,4230.6096,5392.344,5393.5392,NA,NA,2159.1288,2162.3824,1741.8048,1742.336,NA,NA
138,4339.8376,4340.1032,4230.676,4230.8752,5434.4416,5434.57274,NA,NA,2171.2136,2172.1432,1973.3416,1975.8648,NA,NA
139,4344.1536,4346.2784,4230.9416,4231.008,5436.1016,5436.73074,NA,NA,2282.3672,2283.0312,1975.9312,1977.5248,NA,NA
140,4368.9208,4375.2288,4231.0744,4231.2072,5436.8984,5437.2304,NA,NA,2287.2808,2287.812,1977.7904,1977.9232,NA,NA
141,4557.1648,4557.2312,4232.4688,4233.8632,5449.48452,5449.48618,NA,NA,2331.8352,2331.9016,1977.9896,1978.388,NA,NA
142,4557.2976,4557.4304,4237.5816,4240.4368,5450.31618,5451.55952,NA,NA,2416.6944,2416.96,1988.8128,2047.5104,NA,NA
143,4559.7544,4559.8208,4240.5696,4240.636,5462.43252,5462.8442,NA,NA,2419.5496,2421.3424,2047.5768,2047.776,NA,NA
144,4559.9536,4560.02,4242.96,4246.5456,5480.52818,5481.35652,NA,NA,2421.4752,2422.0064,2047.8424,2048.108,NA,NA
145,4570.644,4572.4368,4246.612,4248.272,5488.82818,5489.65652,NA,NA,2530.5704,2530.7032,2048.1744,2048.9712,NA,NA
146,4613.5384,4614.136,4248.4048,4264.3408,5490.4832,5492.97652,NA,NA,2530.9688,2531.1016,2049.2368,2049.3032,NA,NA
147,4645.4104,4652.648,4264.7392,4265.0048,5497.95818,5498.78154,NA,NA,2546.5728,2546.6392,2049.3696,2054.1504,NA,NA
148,4692.7536,4696.0736,4265.0712,4269.1216,5524.1812,5524.18286,NA,NA,2547.5688,2549.428,2056.8064,2057.404,NA,NA
149,4737.7064,4756.9624,4273.504,4276.8904,5575.14818,5576.8032,NA,NA,2549.4944,2550.092,2096.6464,2118.824,NA,NA
150,4781.0656,4781.7296,4277.0232,4277.156,5584.27818,5591.7432,NA,NA,2550.4904,2550.6232,2119.488,2119.82,NA,NA
151,4783.9872,4796.2048,4277.2224,4338.1776,5639.47318,5641.13152,NA,NA,2551.4864,2551.752,2119.8864,2119.9528,NA,NA
152,4823.8936,4867.2528,4339.24,4339.8376,5642.37652,5643.20154,NA,NA,2551.8184,2553.08,2120.0856,2122.3432,NA,NA
153,4867.3192,4869.3112,4340.1032,4344.1536,5654.6904,5655.12034,NA,NA,2817.352,2817.4184,2122.6088,2126.1944,NA,NA
154,4875.8184,4899.2576,4375.2288,4387.9112,5659.97086,5662.46418,NA,NA,3086.604,3086.8696,2126.5264,2130.5768,NA,NA
155,5083.8496,5084.3144,4387.9776,4388.8408,5664.53918,5669.51918,NA,NA,3087.4672,3089.5256,2132.3032,2133.3656,NA,NA
156,5084.9784,5086.1736,4388.9072,4404.0464,5679.89252,5679.89418,NA,NA,3089.7912,3089.8576,2133.432,2134.0296,NA,NA
157,5114.0616,5114.792,4404.1128,4404.1792,5744.05318,5744.4632,NA,NA,3089.924,3090.9864,2134.1624,2136.088,NA,NA
158,5183.3832,5184.9104,4404.312,4408.0968,5749.03318,5749.86152,NA,NA,3151.8088,3153.4688,2137.8144,2140.404,NA,NA
159,5363.792,5364.9872,4408.5616,4416.264,5752.85118,5753.67952,NA,NA,3193.84,3198.9528,2140.5368,2140.6032,NA,NA
160,5540.28818,5540.70152,4416.5296,4418.8536,5862.07752,5862.07918,NA,NA,3246.4288,3246.628,2140.9352,2141.2672,NA,NA
161,5560.62318,5561.03154,4419.0528,4453.2488,6491.87986,6492.29486,NA,NA,3246.8272,3247.0264,2141.4,2141.5328,NA,NA
162,5719.73418,5734.25752,4453.6472,4503.3144,6493.12818,6495.20152,NA,NA,3247.0928,3247.2256,2141.6656,2145.3176,NA,NA
163,5741.72586,5742.05952,4503.3808,4503.4472,6496.86318,6498.52152,NA,NA,3269.204,3269.4032,2148.9696,2149.8328,NA,NA
164,5765.21818,5781.81652,4503.7128,4525.0272,6499.35318,6500.18152,NA,NA,3464.3536,3467.8728,2150.5632,2153.7504,NA,NA
165,5859.9992,5860.83252,4526.2888,4526.4216,6502.25984,6503.08652,NA,NA,3468.0056,3471.1928,2153.9496,2159.1288,NA,NA
166,6587.08418,6588.32752,4526.488,4527.3512,6505.99318,6506.82152,NA,NA,3510.7672,3510.9,2162.3824,2163.0464,NA,NA
167,6601.44318,6608.24752,4527.484,4529.2768,6509.8062,6509.80786,NA,NA,3511.564,3512.2944,2165.304,2171.2136,NA,NA
168,6746.69318,6750.42652,4529.3432,4529.5424,6511.79654,6511.7982,NA,NA,3650.0744,3651.8008,2172.1432,2176.592,NA,NA
169,6778.23152,6778.64652,4529.808,4529.9408,6514.70652,6514.70818,NA,NA,3655.7184,3673.58,2279.4456,2279.9768,NA,NA
170,6904.97086,6907.87752,4530.3392,4531.6672,6525.91152,6525.91318,NA,NA,3674.3104,3674.7088,2280.176,2282.3672,NA,NA
171,6915.5268,6916.22234,4531.7336,4531.8,6527.5682,6527.56986,NA,NA,3678.228,3679.9544,2283.0312,2287.2808,NA,NA
172,7106.24918,7107.49252,4532.5304,4532.6632,6527.98486,6527.98652,NA,NA,3680.4192,3680.4856,2287.812,2288.5424,NA,NA
173,7123.18118,7142.26952,4532.9952,4533.3272,6528.40152,6528.40318,NA,NA,3701.136,3701.2688,2288.6752,2288.7416,NA,NA
174,7284.61286,7285.44452,4533.5264,4535.12,6542.67752,6542.67918,NA,NA,3771.188,3771.3872,2331.304,2331.8352,NA,NA
175,7343.04818,7358.81486,4535.2528,4536.116,6610.32418,6612.81252,NA,NA,3771.52,3772.2504,2331.9016,2333.1632,NA,NA
176,7465.88818,7477.92484,4536.3816,4537.8424,6635.05652,6635.05818,NA,NA,3773.1136,3773.6448,2382.8968,2416.6944,NA,NA
177,7478.41952,7478.82954,4538.5728,4541.6936,6637.5432,6637.95986,NA,NA,3774.0432,3774.176,2416.96,2419.5496,NA,NA
178,7549.30318,7550.13152,4542.2248,4557.1648,6638.79152,6638.79318,NA,NA,3774.2424,3779.488,2421.3424,2421.4752,NA,NA
179,7592.46484,7593.04252,4557.2312,4557.2976,6642.11318,6642.94152,NA,NA,3779.6208,3779.6872,2422.0064,2422.5376,NA,NA
180,8044.48118,8052.77952,4557.8952,4559.7544,6650.41318,6651.65154,NA,NA,3780.2848,3780.484,2529.9064,2530.5704,NA,NA
181,8084.32118,8098.42952,4559.8208,4559.9536,6652.90318,6655.80652,NA,NA,3780.5504,3780.8824,2530.7032,2530.9688,NA,NA
182,10046.984,10050.56794,4560.02,4570.644,6672.82318,6673.65152,NA,NA,3781.0152,3781.2144,2531.1016,2546.5728,NA,NA
183,10331.46318,10331.8732,4614.136,4645.4104,6692.74318,6698.55152,NA,NA,3785.796,3786.2608,2546.6392,2547.5688,NA,NA
184,10374.28786,10376.3612,4696.0736,4707.6272,6700.62486,6709.33986,NA,NA,3788.0536,3788.7176,2549.428,2549.4944,NA,NA
185,10453.97118,10466.91586,4707.6936,4709.752,6712.66318,6720.96152,NA,NA,3788.9168,3789.116,2550.092,2550.4904,NA,NA
186,10492.23418,10493.47586,4709.8184,4721.9032,6723.86818,6724.69154,NA,NA,3789.2488,3789.3816,2550.6232,2551.4864,NA,NA
187,10494.72418,10496.79752,4722.4344,4722.5008,6729.26318,6730.09152,NA,NA,3789.5808,3789.78,2551.752,2551.8184,NA,NA
188,10711.76752,10712.59752,4722.6336,4729.8712,6732.58318,6732.99652,NA,NA,3839.9784,3840.244,2553.08,2553.1464,NA,NA
189,10775.26418,10776.09252,4730.004,4730.9336,6744.61818,6746.2732,NA,NA,3840.908,3841.8376,2626.2528,2662.4408,NA,NA
190,12120.61118,12124.7562,4731.7968,4737.7064,6788.27452,6790.34952,NA,NA,3842.1032,3842.1696,3082.8856,3086.604,NA,NA
191,12186.51318,12187.00952,4781.7296,4782.0616,6791.18118,6792.00952,NA,NA,3842.568,3843.564,3086.8696,3087.4672,NA,NA
192,12486.09338,12486.91674,4782.5928,4783.9872,6792.42286,6796.65752,NA,NA,3860.6288,3860.7616,3089.5256,3089.7912,NA,NA
193,12522.3428,12585.35972,4899.2576,5033.784,6811.59752,6811.59918,NA,NA,3860.9608,3864.5464,3089.8576,3089.924,NA,NA
194,12609.43138,12627.27638,5034.116,5035.112,6861.39752,6863.88752,NA,NA,3864.812,4004.916,3090.9864,3151.8088,NA,NA
195,12719.90438,12735.25772,5038.1664,5043.8104,6865.4944,6865.55914,NA,NA,4007.1736,4008.9664,3153.4688,3155.7928,NA,NA
196,12809.5892,12810.91554,5044.6072,5049.6536,6927.3792,6927.64314,NA,NA,4348.0712,4349.2,3189.7896,3193.84,NA,NA
197,12814.1376,12814.50114,5049.8528,5050.1848,6929.29152,6929.29318,NA,NA,4354.7776,4357.4336,3198.9528,3204.0656,NA,NA
198,12822.172,12822.80114,5050.2512,5051.9776,6930.53818,6931.78152,NA,NA,4357.5664,4359.6248,3241.7144,3246.4288,NA,NA
199,12841.4944,12848.03314,5052.5752,5065.656,6933.85486,6935.51486,NA,NA,4359.6912,4359.7576,3246.628,3246.8272,NA,NA
