"X1","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Huddle_Center_start","Huddle_Center_stop"
55,318.667,318.867,312.8,313.067,1907.434,1908.834,402,408.467,690.134,690.6,NA,NA,NA,NA
56,319.067,319.334,316.2,317.2,1913.634,1914.567,408.534,414.067,693.534,693.8,NA,NA,NA,NA
57,322.734,322.867,317.334,317.667,1915.834,1918.8,414.134,481.334,697.934,699.6,NA,NA,NA,NA
58,328.734,328.8,317.734,318.667,1955.667,1957.734,551,579.2,701.6,701.8,NA,NA,NA,NA
59,344.934,345.334,318.867,319.067,1983.534,1998.834,593.267,598.067,701.867,702.2,NA,NA,NA,NA
60,345.4,345.467,319.334,322.734,2070.334,2074.067,598.8,611.8,702.6,704.467,NA,NA,NA,NA
61,345.734,345.8,322.867,328.734,2076.4,2085.6,611.934,612,705.067,705.867,NA,NA,NA,NA
62,345.867,359.2,328.8,344.934,2103.734,2104.367,612.267,617,706.334,708.067,NA,NA,NA,NA
63,359.267,359.8,345.334,345.4,2109.934,2110.434,621.467,622.4,708.867,708.934,NA,NA,NA,NA
64,359.934,367.4,345.467,345.734,2143.334,2144.567,654.2,661,709,709.067,NA,NA,NA,NA
65,369,369.534,345.8,345.867,2152.167,2152.334,685.4,690.134,710.134,710.334,NA,NA,NA,NA
66,369.6,369.667,359.2,359.267,2152.4,2152.834,690.6,693.534,863,863.1,NA,NA,NA,NA
67,370.4,370.667,359.8,359.934,2152.867,2153.167,693.8,697.934,863.267,863.567,NA,NA,NA,NA
68,375,379.334,367.4,369,2166.034,2196.734,699.6,701.6,864.3,866.067,NA,NA,NA,NA
69,380.134,380.467,369.534,369.6,2202.2,2202.8,701.8,701.867,966.467,967,NA,NA,NA,NA
70,489.934,489.967,369.667,370.4,2253.467,2256.767,702.2,702.6,969.567,970.3,NA,NA,NA,NA
71,490.034,490.067,370.667,375,2270.467,2275.967,704.467,705.067,970.4,970.734,NA,NA,NA,NA
72,490.567,509.734,379.334,380.134,2294.6,2295.3,705.867,706.334,1015.734,1020.034,NA,NA,NA,NA
73,511.867,512.034,380.467,381.334,2523.5,2528.3,708.067,708.867,1036.934,1037.134,NA,NA,NA,NA
74,523.867,524.134,487.467,489.934,2576.2,2587,708.934,709,1037.2,1038,NA,NA,NA,NA
75,527.067,527.867,489.967,490.034,2672.167,2675.867,709.067,710.134,1038.034,1043.2,NA,NA,NA,NA
76,527.967,528.5,490.067,490.567,2697.134,2707.434,710.334,711.667,1043.334,1043.367,NA,NA,NA,NA
77,528.567,531.2,509.734,511.867,2718.467,2720.767,788.667,789.9,1043.534,1043.667,NA,NA,NA,NA
78,531.8,533.7,512.034,523.867,2746.3,2754,841.034,841.8,1045.667,1049.1,NA,NA,NA,NA
79,533.834,534.034,524.134,527.067,2755.7,2761.834,844.4,851.5,1051.167,1054.834,NA,NA,NA,NA
80,534.2,535.234,527.867,527.967,2775.834,2776.6,861.334,863,1054.9,1056.634,NA,NA,NA,NA
81,535.4,535.734,528.5,528.567,2835.434,2837.534,863.1,863.267,1057.167,1057.534,NA,NA,NA,NA
82,535.9,535.934,531.2,531.8,2844.167,2849.267,863.567,864.3,1057.8,1057.9,NA,NA,NA,NA
83,536.2,536.234,533.7,533.834,2878.934,2881.1,866.067,870.6,1058,1058.034,NA,NA,NA,NA
84,536.4,536.567,534.034,534.2,2884.334,2884.734,960.234,966.467,1058.134,1058.234,NA,NA,NA,NA
85,537.234,537.4,535.234,535.4,2922.5,2927,967,969.567,1058.3,1058.634,NA,NA,NA,NA
86,537.967,538,535.734,535.9,2945,2952.433,970.3,970.4,1058.7,1059.867,NA,NA,NA,NA
87,538.667,539.334,535.934,536.2,5583.3,5583.9,970.734,973.467,1060.134,1060.4,NA,NA,NA,NA
88,539.467,539.8,536.234,536.4,5718.8,5719.666,1015.134,1015.734,1062.534,1063.034,NA,NA,NA,NA
89,540.234,540.267,536.567,537.234,6211.7,6220.366,1020.034,1022.567,1065.934,1066.267,NA,NA,NA,NA
90,540.667,542.467,537.4,537.967,6560.766,6561.266,1035.934,1036.934,1066.3,1066.467,NA,NA,NA,NA
91,542.534,542.7,538,538.667,6586.666,6595.3,1037.134,1037.2,1067.3,1067.7,NA,NA,NA,NA
92,542.767,545.634,539.334,539.467,6600.4,6600.9,1038,1038.034,1068.267,1068.734,NA,NA,NA,NA
93,545.767,549.267,539.8,540.234,6738.066,6738.733,1043.2,1043.334,1070.267,1071.1,NA,NA,NA,NA
94,635.8,644.334,540.267,540.667,6752.933,6759.8,1043.367,1043.534,1072.7,1072.967,NA,NA,NA,NA
95,645.934,647.267,542.467,542.534,6791.533,6797.1,1043.667,1045.667,1249.734,1250.1,NA,NA,NA,NA
96,647.334,647.4,542.7,542.767,6807.7,6810.4,1049.1,1051.167,1250.2,1251.067,NA,NA,NA,NA
97,647.734,647.934,545.634,545.767,6811.133,6811.2,1054.834,1054.9,1251.167,1251.3,NA,NA,NA,NA
98,648.534,648.6,549.267,550.2,6811.266,6811.9,1056.634,1057.167,1251.4,1252.434,NA,NA,NA,NA
99,648.734,652.667,624.067,635.8,6816.7,6858.5,1057.534,1057.8,1252.5,1253.7,NA,NA,NA,NA
100,763.567,763.7,644.334,645.934,6866.9,6869.566,1057.9,1058,1254.034,1255.867,NA,NA,NA,NA
101,763.734,763.767,647.267,647.334,6883.533,6886.1,1058.034,1058.134,1256.567,1257.3,NA,NA,NA,NA
102,764.067,764.167,647.4,647.734,6918.866,6920.066,1058.234,1058.3,1257.767,1257.834,NA,NA,NA,NA
103,764.2,764.267,647.934,648.534,6961.6,6965.2,1058.634,1058.7,1257.9,1257.967,NA,NA,NA,NA
104,764.434,764.467,648.6,648.734,7069.466,7070.4,1059.867,1060.134,1258.034,1259.034,NA,NA,NA,NA
105,764.5,764.6,652.667,653.467,7074.033,7079.1,1060.4,1062.534,1259.967,1261.967,NA,NA,NA,NA
106,764.667,765.234,661.534,663.934,7092.766,7097.133,1063.034,1065.934,1262.034,1262.6,NA,NA,NA,NA
107,765.3,765.367,666,672.8,7113.2,7126.833,1066.267,1066.3,1264.134,1264.934,NA,NA,NA,NA
108,766.4,766.6,678.134,684.8,7126.866,7133,1066.467,1067.3,1265.334,1265.467,NA,NA,NA,NA
109,766.667,769.534,713.134,763.567,7414.7,7415.5,1067.7,1068.267,1265.567,1266.867,NA,NA,NA,NA
110,769.667,769.8,763.7,763.734,7429.466,7429.9,1068.734,1070.267,1266.967,1267.467,NA,NA,NA,NA
111,770.234,770.7,763.767,764.067,7469.566,7470.133,1071.1,1072.7,1267.6,1273.134,NA,NA,NA,NA
112,771.067,771.167,764.167,764.2,7475.233,7476.933,1072.967,1109.9,1273.634,1273.8,NA,NA,NA,NA
113,771.3,773.834,764.267,764.434,7507.966,7525.2,1247.4,1249.734,1332.067,1332.2,NA,NA,NA,NA
114,773.967,774,764.467,764.5,7757.9,7768.433,1250.1,1250.2,1332.267,1332.734,NA,NA,NA,NA
115,774.167,774.234,764.6,764.667,7921.866,7922.433,1251.067,1251.167,1332.8,1332.867,NA,NA,NA,NA
116,774.334,776.334,765.234,765.3,7932.266,7932.766,1251.3,1251.4,1333.4,1333.467,NA,NA,NA,NA
117,776.467,778.9,765.367,766.4,8067.866,8068.433,1252.434,1252.5,1410.867,1410.9,NA,NA,NA,NA
118,802.5,802.834,766.6,766.667,8100.9,8101.966,1253.7,1254.034,1411.034,1411.1,NA,NA,NA,NA
119,825.334,825.434,769.534,769.667,8191.4,8198.4,1255.867,1256.567,1640.267,1641.167,NA,NA,NA,NA
120,825.567,825.634,769.8,770.234,8211.133,8223.233,1257.3,1257.767,1641.8,1643.3,NA,NA,NA,NA
121,825.767,827.934,770.7,771.067,8476.8,8477.366,1257.834,1257.9,1644.4,1646.2,NA,NA,NA,NA
122,827.967,828.1,771.167,771.3,8495.7,8496.366,1257.967,1258.034,1646.467,1646.567,NA,NA,NA,NA
123,828.167,828.367,773.834,773.967,8532.366,8532.9,1259.034,1259.967,1649,1649.367,NA,NA,NA,NA
124,897.9,898,774,774.167,8537.533,8552.766,1261.967,1262.034,1650.667,1650.767,NA,NA,NA,NA
125,901.1,901.5,774.234,774.334,8619.6,8625.666,1262.6,1264.134,1651.7,1651.8,NA,NA,NA,NA
