"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
65,4074.1,4083.766,858.766,859.633,1145.1,1145.2,482.533,482.566,475.2,480.033,NA,NA
66,4140.466,4141.066,861.566,864.3,1145.866,1146,482.8,483,480.4,482.533,NA,NA
67,4143.2,4149.066,864.466,884.6,1146.066,1146.133,483.266,483.3,482.566,482.8,NA,NA
68,4156.066,4156.2,884.666,884.8,1146.4,1146.433,483.4,484.033,483,483.266,NA,NA
69,4156.333,4215.833,884.833,902.8,1146.566,1147.166,530,532.866,483.3,483.4,NA,NA
70,4230.6,4231.866,1100.3,1100.766,1149.333,1149.366,533.9,534.033,532.866,533.9,NA,NA
71,6330.332,6335.699,1100.933,1122.566,1150.633,1150.733,535,535.1,534.033,535,NA,NA
72,6434.166,6460.199,1124.1,1144.3,1159.9,1160.166,535.433,537.2,535.1,535.433,NA,NA
73,6688.066,6690.332,1144.433,1145.1,1160.4,1171.4,537.266,537.4,537.2,537.266,NA,NA
74,6746.299,6871.632,1145.2,1145.866,1171.733,1173.366,537.466,537.5,537.4,537.466,NA,NA
75,6901.666,6903.832,1146,1146.066,1173.7,1174,537.566,537.666,537.5,537.566,NA,NA
76,6926.632,6938.332,1146.133,1146.4,1181.3,1182.533,538.133,538.266,537.666,538.133,NA,NA
77,6938.699,6940.232,1146.433,1146.566,1182.8,1184.866,538.533,539.033,538.266,538.533,NA,NA
78,10194.499,10197.766,1147.166,1149.333,1185.166,1185.233,540.566,540.733,539.033,540.566,NA,NA
79,10235.099,10247.432,1149.366,1150.633,1222.633,1222.7,540.8,543.933,540.733,540.8,NA,NA
80,10463.466,10464.966,1150.733,1159.9,1222.733,1223.7,559,559.133,543.933,559,NA,NA
81,10507.699,10525.599,1160.166,1160.4,1279.233,1279.333,559.233,559.366,559.133,559.233,NA,NA
82,10587.932,10599.932,1171.4,1171.733,1281.6,1287.766,560.4,562.533,559.366,560.4,NA,NA
83,10605.032,10605.599,1173.366,1173.7,1291.9,1294.833,572.033,573.033,562.533,572.033,NA,NA
84,10765.598,10766.765,1174,1181.3,1295.166,1303.333,581.8,587.833,573.033,581.8,NA,NA
85,10780.765,10825.565,1182.533,1182.8,1303.5,1303.633,590,590.1,587.833,590,NA,NA
86,10901.232,10902.065,1184.866,1185.166,1303.733,1303.966,590.2,590.266,590.1,590.2,NA,NA
87,10986.865,11019.365,1185.233,1222.633,1304.766,1307.233,590.833,593.266,590.266,590.833,NA,NA
88,11019.432,11019.565,1222.7,1222.733,1307.466,1309.366,593.3,607.966,593.266,593.3,NA,NA
89,11079.632,11231.432,1223.7,1279.233,1310.566,1310.666,611.8,613,607.966,611.8,NA,NA
90,11231.498,11233.165,1279.333,1281.6,1310.733,1310.933,617.366,617.733,613,617.366,NA,NA
91,11233.198,11234.698,1287.766,1291.9,1311,1311.833,619.066,619.533,617.733,619.066,NA,NA
92,11234.965,11236.532,1294.833,1295.166,1312.733,1313.933,619.8,620.6,619.533,619.8,NA,NA
93,11236.865,11236.932,1303.333,1303.5,1321.333,1323.833,682,684.133,680.866,682,NA,NA
94,11236.998,11237.265,1303.633,1303.733,1324,1328.366,688.5,688.533,684.133,688.5,NA,NA
95,11277.198,11339.298,1303.966,1304.766,1328.733,1328.8,688.566,688.6,688.533,688.566,NA,NA
96,11409.565,11497.098,1307.233,1307.466,1329.1,1333.466,688.966,689.066,688.6,688.966,NA,NA
97,11512.098,11513.132,1309.366,1310.566,1333.7,1333.833,689.366,689.666,689.066,689.366,NA,NA
98,11683.565,11685.198,1310.666,1310.733,1365.2,1365.333,746.1,746.4,746.4,746.433,NA,NA
99,11763.865,11795.065,1310.933,1311,1374.166,1379.033,746.433,746.733,746.733,747.033,NA,NA
100,11859.931,11862.565,1311.833,1312.733,1379.233,1379.533,747.033,747.4,747.4,748.533,NA,NA
101,11909.798,11916.865,1313.933,1321.333,1388.2,1388.3,748.533,748.633,748.633,749.633,NA,NA
102,11986.331,11987.065,1323.833,1324,1688.333,1688.866,749.633,749.833,749.833,757.533,NA,NA
103,11987.165,12080.131,1328.366,1328.733,1700.6,1700.866,757.533,757.633,757.633,760.7,NA,NA
104,12176.331,12205.131,1328.8,1329.1,1701.8,1701.866,760.7,767.933,767.933,769.7,NA,NA
105,12205.465,12206.598,1333.466,1333.666,1702,1702.066,769.7,769.9,769.9,778.533,NA,NA
106,12258.531,12263.498,1364.833,1365.2,1702.133,1702.4,778.533,779.6,779.6,779.733,NA,NA
107,12263.865,12264.698,1365.333,1374.166,1702.6,1702.8,779.733,779.966,786.4,792.666,NA,NA
108,12280.898,12286.298,1379.033,1379.233,1703.8,1705.6,786.133,786.4,792.733,794,NA,NA
109,12346.231,12357.731,1379.533,1388.2,1707,1707.2,792.666,792.733,794.1,794.366,NA,NA
110,12423.698,12424.598,1388.3,1396.3,1707.4,1709,794,794.1,795.566,795.733,NA,NA
111,12563.298,12578.065,1683.4,1688.333,1709.133,1713,794.366,795.566,795.766,795.833,NA,NA
112,12578.231,12578.365,1688.866,1700.6,1714.666,1719.533,795.733,795.766,795.866,796.066,NA,NA
113,12619.131,12650.331,1700.866,1701.8,1719.933,1720.133,795.833,795.866,796.166,807.066,NA,NA
114,12863.998,12894.998,1701.866,1702,1722.533,1722.866,796.066,796.166,807.533,807.866,NA,NA
115,13015.031,13101.998,1702.066,1702.133,1725.4,1725.6,807.066,807.533,808.5,810.833,NA,NA
116,13340.231,13384.498,1702.4,1702.6,1726.866,1727.2,807.866,808.5,810.9,817.7,NA,NA
117,13437.731,13450.565,1702.8,1703.8,1727.733,1727.8,810.833,810.9,818.1,818.266,NA,NA
118,13450.698,13450.998,1705.6,1707,1728.2,1728.533,817.7,818.1,818.3,818.5,NA,NA
119,13558.498,13558.965,1707.2,1707.4,1752.066,1753.033,818.266,818.3,821.266,822.8,NA,NA
120,13728.398,13756.265,1709,1709.133,1755.133,1755.533,818.5,821.266,823.566,837.9,NA,NA
121,13756.465,13758.198,1713,1714.666,1755.733,1756.066,822.8,823.566,839,843.266,NA,NA
122,13758.265,13762.465,1719.533,1719.933,1757.133,1757.866,837.9,839,843.3,843.566,NA,NA
123,13763.531,13766.031,1720.133,1722.533,1758.066,1758.533,843.266,843.3,845.233,847.366,NA,NA
124,13767.665,13812.031,1722.866,1725.4,1801.8,1802.233,843.566,845.233,848.066,856.6,NA,NA
125,13904.665,13906.831,1725.6,1726.866,1803,1803.3,847.366,848.066,856.866,857.933,NA,NA
126,13907.465,13907.998,1727.2,1727.733,1952.933,1953,856.6,856.866,912.566,913,NA,NA
127,14167.931,14177.831,1727.8,1728.2,1953.666,1953.766,911.366,912.566,914.766,915.833,NA,NA
128,14199.765,14204.298,1728.533,1752.066,1954.2,1954.4,913,914.766,915.9,916.533,NA,NA
129,14238.565,14238.698,1753.033,1755.133,1954.633,1955.133,915.833,915.9,916.6,916.766,NA,NA
130,14240.331,14253.031,1755.533,1755.733,1956.666,1956.866,916.533,916.6,917.766,917.866,NA,NA
131,14345.264,14364.831,1756.066,1757.133,1957.066,1957.2,916.766,917.766,917.966,919.933,NA,NA
132,14364.864,14364.931,1757.866,1758.066,1983.566,1985.066,917.866,917.966,920.033,922.4,NA,NA
133,14365.931,14366.831,1758.533,1801.8,2037.933,2040.366,919.933,920.033,922.433,922.533,NA,NA
134,14508.498,14530.231,1802.233,1803,2052.1,2052.9,922.4,922.433,923.266,923.533,NA,NA
135,14534.864,14540.331,1803.3,1893.2,2053.8,2054.033,922.533,923.266,929.333,930.8,NA,NA
136,14878.898,14886.631,1948.6,1952.933,2058.033,2058.233,923.533,929.333,973.3,973.366,NA,NA
137,14886.731,14886.831,1953,1953.666,2058.633,2059.033,930.8,947.733,973.4,974.466,NA,NA
138,14887.231,14888.798,1953.766,1954.2,2066.4,2067.8,953.966,970.733,988.433,989.133,NA,NA
139,14888.931,14889.031,1954.4,1954.633,2077,2077.266,971.266,973.3,990.3,991.3,NA,NA
140,14931.831,14931.864,1955.133,1956.666,2172.933,2173.133,973.366,973.4,991.966,993.366,NA,NA
141,14932.031,15005.764,1956.866,1957.066,2177.533,2177.666,974.466,988.433,993.4,993.433,NA,NA
