"X1","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Center_start","Center_stop","Unknown_start","Unknown_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Center_start","Contact_Center_stop"
55,472.167,474,483.4,514.267,2176.049,2210.416,NA,NA,1246.181,1255.428,1426.548,1429.545,NA,NA
56,474.367,476,562.2,562.234,2223.883,2237.316,NA,NA,1256.431,1256.68,1429.798,1430.047,NA,NA
57,476.367,476.534,565.634,566.334,2237.549,2237.749,NA,NA,1257.931,1271.68,1430.298,1430.547,NA,NA
58,476.667,476.7,610.2,611.367,2246.549,2248.983,NA,NA,1276.931,1277.43,1431.048,1431.297,NA,NA
59,477.334,477.367,611.434,611.8,2271.149,2276.816,NA,NA,1319.181,1321.18,1432.048,1432.796,NA,NA
60,482,482.267,619.9,619.934,2293.916,2294.616,NA,NA,1321.93,1323.429,1433.298,1434.297,NA,NA
61,482.3,482.8,626.167,630.667,2294.649,2294.849,NA,NA,1323.679,1337.679,1440.546,1448.047,NA,NA
62,482.9,483.4,631.034,634.3,2294.983,2295.083,NA,NA,1340.181,1348.68,1497.865,1502.114,NA,NA
63,514.267,517.034,636.234,640.167,2295.216,2295.283,NA,NA,1370.18,1370.43,1535.349,1541.316,NA,NA
64,562.1,562.2,643.534,643.6,2300.483,2308.483,NA,NA,1370.931,1374.679,1598.349,1598.716,NA,NA
65,562.234,565.634,645.367,646.1,2397.616,2399.049,NA,NA,1376.931,1377.18,1598.783,1598.949,NA,NA
66,566.334,567.4,646.367,646.6,2406.083,2407.549,NA,NA,1392.931,1393.93,1598.983,1599.016,NA,NA
67,609.334,610.2,647.234,661.567,2408.216,2410.049,NA,NA,1394.931,1395.43,1599.116,1599.149,NA,NA
68,611.367,611.434,680.7,688.234,2415.916,2417.716,NA,NA,1396.681,1400.93,1599.216,1599.283,NA,NA
69,611.8,619.9,688.367,719,2417.783,2418.283,NA,NA,1403.931,1404.297,1599.316,1600.249,NA,NA
70,619.934,626.167,719.034,719.167,2418.483,2418.916,NA,NA,1423.046,1425.045,1600.283,1600.316,NA,NA
71,630.667,631.034,719.3,764.867,2419.049,2423.849,NA,NA,1426.047,1426.547,1600.349,1600.583,NA,NA
72,634.3,636.234,765.9,766.467,2424.649,2425.016,NA,NA,1429.546,1429.797,1600.649,1602.249,NA,NA
73,640.167,643.534,783.867,789.5,2425.683,2433.983,NA,NA,1430.048,1430.297,1603.649,1603.749,NA,NA
74,643.6,645.367,809.034,823.367,2490.649,2520.883,NA,NA,1430.548,1431.047,1603.849,1604.049,NA,NA
75,646.1,646.367,823.467,825.367,2943.183,2947.183,NA,NA,1431.298,1432.047,1604.316,1610.616,NA,NA
76,646.6,647.234,1015.434,1044.433,2976.583,2977.149,NA,NA,1432.797,1433.297,1610.783,1615.316,NA,NA
77,661.567,680.7,1069.434,1077.178,3199.049,3200.849,NA,NA,1434.298,1440.545,1616.349,1624.716,NA,NA
78,688.234,688.367,1084.931,1092.928,3214.616,3215.216,NA,NA,1448.048,1450.046,1626.049,1626.083,NA,NA
79,719,719.034,1124.181,1124.678,3240.116,3251.683,NA,NA,1452.548,1456.297,1629.616,1629.949,NA,NA
80,719.167,719.3,1161.941,1163.179,3295.149,3316.616,NA,NA,1492.365,1497.864,1630.283,1631.483,NA,NA
81,764.867,765.9,1287.431,1292.18,3515.683,3519.549,NA,NA,1502.115,1534.416,1631.916,1631.983,NA,NA
82,766.467,783.867,1292.93,1296.679,3532.949,3533.849,NA,NA,1534.416,1535.349,1635.283,1635.416,NA,NA
83,789.5,809.034,1363.931,1364.429,3578.483,3578.616,NA,NA,1541.316,1541.716,1639.083,1639.749,NA,NA
84,823.367,823.467,1405.046,1405.297,3580.216,3580.716,NA,NA,1542.083,1542.149,1644.983,1646.416,NA,NA
85,825.367,835.134,1469.548,1474.864,3649.582,3657.882,NA,NA,1542.183,1543.083,1652.183,1653.216,NA,NA
86,895.567,900.934,1481.365,1486.615,3690.349,3739.682,NA,NA,1575.483,1598.349,1653.316,1654.783,NA,NA
87,900.934,911.645,1661.249,1661.849,3747.549,3748.016,NA,NA,1598.716,1598.783,1655.716,1656.016,NA,NA
88,1010.684,1015.433,1662.549,1686.216,3838.516,3838.716,NA,NA,1598.949,1598.983,1656.049,1657.116,NA,NA
89,1044.434,1069.433,1687.816,1693.049,3859.116,3919.316,NA,NA,1599.016,1599.116,1657.683,1658.183,NA,NA
90,1077.179,1084.931,1693.216,1701.916,4012.082,4012.582,NA,NA,1599.149,1599.216,1715.983,1717.816,NA,NA
91,1092.929,1124.18,1702.149,1702.616,4041.916,4052.849,NA,NA,1599.283,1599.316,1718.016,1718.149,NA,NA
92,1124.679,1161.94,1764.216,1774.883,4054.916,4061.282,NA,NA,1600.249,1600.283,1718.649,1719.049,NA,NA
93,1163.18,1165.43,2062.883,2094.183,4061.682,4062.782,NA,NA,1600.316,1600.349,1725.516,1735.449,NA,NA
94,1277.681,1287.43,2249.683,2254.016,4066.482,4087.516,NA,NA,1600.583,1600.649,1735.516,1737.049,NA,NA
95,1292.181,1292.929,2267.816,2270.849,4121.516,4123.282,NA,NA,1602.249,1603.649,1737.549,1738.083,NA,NA
96,1296.68,1301.43,2549.916,2550.016,4254.316,4264.882,NA,NA,1603.749,1603.849,1738.149,1739.183,NA,NA
97,1305.43,1307.678,2552.283,2576.216,4280.716,4282.249,NA,NA,1604.049,1604.316,1739.316,1739.349,NA,NA
98,1352.931,1363.93,2592.249,2622.683,4381.782,4382.216,NA,NA,1610.616,1610.783,1739.449,1746.649,NA,NA
99,1364.43,1367.18,2738.649,2761.016,4413.849,4415.349,NA,NA,1615.316,1616.349,1785.783,1785.816,NA,NA
100,1404.798,1405.045,2761.049,2761.983,4415.416,4419.749,NA,NA,1624.716,1626.049,1785.883,1785.949,NA,NA
101,1405.298,1414.795,2762.083,2780.183,4423.516,4428.449,NA,NA,1626.083,1629.616,1786.083,1786.183,NA,NA
102,1465.798,1469.547,2780.783,2780.916,4470.749,4479.949,NA,NA,1629.949,1630.283,1791.649,1791.683,NA,NA
103,1474.865,1481.364,2780.983,2781.049,4480.116,4491.582,NA,NA,1631.483,1631.916,1791.783,1791.883,NA,NA
104,1486.615,1488.364,2781.116,2782.483,4559.549,4560.182,NA,NA,1631.983,1635.283,1792.016,1792.983,NA,NA
105,1660.749,1661.249,2788.483,2805.316,4632.549,4637.949,NA,NA,1635.416,1639.083,1793.016,1793.049,NA,NA
106,1661.849,1662.549,2806.516,2810.116,4898.916,5015.716,NA,NA,1639.749,1644.983,1793.083,1793.149,NA,NA
107,1686.216,1687.816,2810.316,2810.383,5148.849,5151.582,NA,NA,1646.416,1652.183,1795.516,1799.183,NA,NA
108,1693.049,1693.216,2810.783,2811.183,5192.082,5201.616,NA,NA,1653.216,1653.316,1801.783,1801.916,NA,NA
109,1701.916,1702.149,2812.183,2813.116,5210.749,5211.449,NA,NA,1654.783,1655.716,1802.116,1805.583,NA,NA
110,1702.616,1714.383,2825.916,2837.716,5211.549,5211.682,NA,NA,1656.016,1656.049,1808.883,1808.983,NA,NA
111,1760.216,1764.216,2837.816,2843.083,5365.982,5367.516,NA,NA,1657.116,1657.683,1815.849,1825.649,NA,NA
112,1774.883,1775.383,2845.083,2887.149,5367.549,5367.916,NA,NA,1658.183,1660.149,1827.249,1828.216,NA,NA
113,1844.949,1911.216,2887.316,2887.783,5368.149,5368.182,NA,NA,1717.816,1718.016,1828.383,1828.416,NA,NA
114,1922.849,1943.349,2888.116,2893.116,5373.349,5373.482,NA,NA,1718.149,1718.649,1829.716,1832.083,NA,NA
115,2062.283,2062.883,2893.583,2895.049,5374.449,5374.482,NA,NA,1719.049,1725.516,1832.216,1834.283,NA,NA
116,2094.183,2176.049,2895.849,2895.883,5447.316,5489.282,NA,NA,1735.449,1735.516,1834.349,1834.416,NA,NA
117,2248.983,2249.683,2896.016,2920.116,5806.416,5807.182,NA,NA,1737.049,1737.549,1834.949,1835.916,NA,NA
118,2254.016,2267.816,2977.516,2991.583,5836.549,5850.716,NA,NA,1738.083,1738.149,1836.016,1840.183,NA,NA
119,2270.849,2271.149,3003.216,3004.383,5881.782,5889.882,NA,NA,1739.183,1739.316,1956.349,1957.449,NA,NA
120,2276.816,2293.916,3004.416,3008.549,5890.582,5893.982,NA,NA,1739.349,1739.449,2001.983,2002.116,NA,NA
121,2399.049,2406.083,3009.816,3016.083,5897.282,5900.616,NA,NA,1746.649,1748.416,2006.449,2010.049,NA,NA
122,2407.549,2408.216,3016.283,3016.683,5900.649,5900.782,NA,NA,1778.249,1785.783,2210.416,2210.883,NA,NA
123,2410.049,2415.916,3016.783,3019.883,6119.082,6120.182,NA,NA,1785.816,1785.883,2210.916,2215.849,NA,NA
124,2520.883,2549.916,3019.983,3020.049,6161.082,6178.316,NA,NA,1785.949,1786.083,2215.883,2216.383,NA,NA
125,2550.016,2552.283,3020.083,3025.449,6379.649,6385.582,NA,NA,1786.183,1791.649,2294.616,2294.649,NA,NA
126,2576.216,2592.249,3033.849,3037.749,6391.316,6391.916,NA,NA,1791.683,1791.783,2295.649,2296.383,NA,NA
127,2622.683,2738.649,3112.816,3184.183,6427.182,6427.982,NA,NA,1791.883,1792.016,2296.549,2296.616,NA,NA
128,2761.016,2761.049,3215.816,3216.716,6551.616,6555.382,NA,NA,1792.983,1793.016,2296.649,2299.449,NA,NA
129,2761.983,2762.083,3216.883,3216.983,6560.449,6581.016,NA,NA,1793.049,1793.083,2308.716,2309.783,NA,NA
130,2780.183,2780.783,3317.149,3317.183,6593.882,6594.516,NA,NA,1793.149,1795.516,2361.716,2361.849,NA,NA
131,2780.916,2780.983,3317.516,3391.983,6594.649,6594.982,NA,NA,1799.183,1801.783,2363.049,2363.283,NA,NA
132,2781.049,2781.116,3394.449,3405.049,6640.782,6642.816,NA,NA,1801.916,1802.116,2363.383,2363.616,NA,NA
133,2782.483,2788.483,3406.449,3406.516,6642.849,6643.316,NA,NA,1805.583,1808.883,2363.649,2365.616,NA,NA
134,2805.316,2806.516,3415.049,3415.349,6731.182,6735.916,NA,NA,1808.983,1809.783,2367.083,2367.216,NA,NA
