"X1","Center_start","Center_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
289,NA,NA,NA,NA,NA,NA,13307.198,13325.631,15084.498,15084.631,NA,NA
290,NA,NA,NA,NA,NA,NA,13326.998,13327.031,15654.531,15654.698,NA,NA
291,NA,NA,NA,NA,NA,NA,13792.631,13804.398,15654.998,15655.065,NA,NA
292,NA,NA,NA,NA,NA,NA,13840.765,13860.331,15655.098,15657.898,NA,NA
293,NA,NA,NA,NA,NA,NA,13870.131,13871.698,15659.365,15659.498,NA,NA
294,NA,NA,NA,NA,NA,NA,13871.731,13871.931,15659.565,15659.631,NA,NA
295,NA,NA,NA,NA,NA,NA,13872.731,13872.865,15659.898,15661.098,NA,NA
296,NA,NA,NA,NA,NA,NA,13873.031,13873.331,15661.898,15668.765,NA,NA
297,NA,NA,NA,NA,NA,NA,13877.165,13877.265,15778.498,15779.065,NA,NA
298,NA,NA,NA,NA,NA,NA,13919.031,13919.065,15779.698,15780.265,NA,NA
299,NA,NA,NA,NA,NA,NA,13920.331,13921.098,15781.565,15786.398,NA,NA
300,NA,NA,NA,NA,NA,NA,13935.765,13937.931,15786.598,15793.831,NA,NA
301,NA,NA,NA,NA,NA,NA,13938.198,13938.331,15793.965,15818.765,NA,NA
302,NA,NA,NA,NA,NA,NA,13938.498,13939.431,15954.131,15954.331,NA,NA
303,NA,NA,NA,NA,NA,NA,13939.598,13939.665,15954.465,15954.498,NA,NA
304,NA,NA,NA,NA,NA,NA,13939.765,13939.898,15954.531,15954.598,NA,NA
305,NA,NA,NA,NA,NA,NA,13940.065,13940.398,15955.098,15955.131,NA,NA
306,NA,NA,NA,NA,NA,NA,13942.365,13942.665,15955.198,15956.998,NA,NA
307,NA,NA,NA,NA,NA,NA,14282.365,14286.298,15957.898,15958.231,NA,NA
308,NA,NA,NA,NA,NA,NA,14306.298,14306.631,15959.298,15960.631,NA,NA
309,NA,NA,NA,NA,NA,NA,14350.265,14350.665,15967.198,15967.465,NA,NA
310,NA,NA,NA,NA,NA,NA,14350.831,14351.631,16134.565,16136.731,NA,NA
311,NA,NA,NA,NA,NA,NA,14354.031,14354.131,16136.831,16137.531,NA,NA
312,NA,NA,NA,NA,NA,NA,14434.231,14434.298,16138.198,16139.465,NA,NA
313,NA,NA,NA,NA,NA,NA,14434.331,14434.365,16139.565,16141.298,NA,NA
314,NA,NA,NA,NA,NA,NA,14434.731,14434.931,16390.465,16390.931,NA,NA
315,NA,NA,NA,NA,NA,NA,14436.031,14436.131,16391.165,16391.331,NA,NA
316,NA,NA,NA,NA,NA,NA,14436.165,14436.198,16391.798,16391.865,NA,NA
317,NA,NA,NA,NA,NA,NA,14440.898,14441.265,16391.931,16392.265,NA,NA
318,NA,NA,NA,NA,NA,NA,14441.298,14441.365,16392.365,16392.765,NA,NA
319,NA,NA,NA,NA,NA,NA,14441.465,14441.965,16393.265,16393.998,NA,NA
320,NA,NA,NA,NA,NA,NA,14450.665,14450.931,16394.231,16394.998,NA,NA
321,NA,NA,NA,NA,NA,NA,14451.831,14454.031,16440.598,16441.431,NA,NA
322,NA,NA,NA,NA,NA,NA,14458.931,14459.365,16441.498,16441.631,NA,NA
323,NA,NA,NA,NA,NA,NA,14969.298,14975.665,16444.098,16451.965,NA,NA
324,NA,NA,NA,NA,NA,NA,14975.731,14975.798,16577.965,16579.031,NA,NA
325,NA,NA,NA,NA,NA,NA,14975.898,14976.065,16580.031,16584.231,NA,NA
326,NA,NA,NA,NA,NA,NA,14977.331,14977.565,16584.965,16601.231,NA,NA
327,NA,NA,NA,NA,NA,NA,14977.698,14978.031,18415.298,21600,NA,NA
328,NA,NA,NA,NA,NA,NA,14978.198,14978.231,21600,21600,NA,NA
329,NA,NA,NA,NA,NA,NA,14983.998,14984.365,NA,NA,NA,NA
330,NA,NA,NA,NA,NA,NA,15069.865,15069.898,NA,NA,NA,NA
331,NA,NA,NA,NA,NA,NA,15073.431,15074.465,NA,NA,NA,NA
332,NA,NA,NA,NA,NA,NA,15077.365,15077.431,NA,NA,NA,NA
333,NA,NA,NA,NA,NA,NA,15082.765,15083.298,NA,NA,NA,NA
334,NA,NA,NA,NA,NA,NA,15083.398,15084.165,NA,NA,NA,NA
335,NA,NA,NA,NA,NA,NA,15084.231,15084.331,NA,NA,NA,NA
336,NA,NA,NA,NA,NA,NA,15084.398,15084.498,NA,NA,NA,NA
337,NA,NA,NA,NA,NA,NA,15084.631,15084.798,NA,NA,NA,NA
338,NA,NA,NA,NA,NA,NA,15661.565,15661.898,NA,NA,NA,NA
339,NA,NA,NA,NA,NA,NA,15668.765,15672.765,NA,NA,NA,NA
340,NA,NA,NA,NA,NA,NA,15779.598,15779.698,NA,NA,NA,NA
341,NA,NA,NA,NA,NA,NA,15780.265,15781.565,NA,NA,NA,NA
342,NA,NA,NA,NA,NA,NA,15786.398,15786.598,NA,NA,NA,NA
343,NA,NA,NA,NA,NA,NA,15793.831,15793.965,NA,NA,NA,NA
344,NA,NA,NA,NA,NA,NA,15818.765,15823.731,NA,NA,NA,NA
345,NA,NA,NA,NA,NA,NA,15949.665,15954.131,NA,NA,NA,NA
346,NA,NA,NA,NA,NA,NA,15954.331,15954.465,NA,NA,NA,NA
347,NA,NA,NA,NA,NA,NA,15954.498,15954.531,NA,NA,NA,NA
348,NA,NA,NA,NA,NA,NA,15954.598,15955.098,NA,NA,NA,NA
349,NA,NA,NA,NA,NA,NA,15955.131,15955.198,NA,NA,NA,NA
350,NA,NA,NA,NA,NA,NA,15956.998,15957.898,NA,NA,NA,NA
351,NA,NA,NA,NA,NA,NA,15958.231,15959.298,NA,NA,NA,NA
352,NA,NA,NA,NA,NA,NA,15960.631,15967.198,NA,NA,NA,NA
353,NA,NA,NA,NA,NA,NA,15967.465,15970.465,NA,NA,NA,NA
354,NA,NA,NA,NA,NA,NA,16132.398,16134.565,NA,NA,NA,NA
355,NA,NA,NA,NA,NA,NA,16136.731,16136.831,NA,NA,NA,NA
356,NA,NA,NA,NA,NA,NA,16137.531,16138.198,NA,NA,NA,NA
357,NA,NA,NA,NA,NA,NA,16139.465,16139.565,NA,NA,NA,NA
358,NA,NA,NA,NA,NA,NA,16141.298,16141.498,NA,NA,NA,NA
359,NA,NA,NA,NA,NA,NA,16390.331,16390.465,NA,NA,NA,NA
360,NA,NA,NA,NA,NA,NA,16390.931,16391.165,NA,NA,NA,NA
361,NA,NA,NA,NA,NA,NA,16391.331,16391.798,NA,NA,NA,NA
362,NA,NA,NA,NA,NA,NA,16391.865,16391.931,NA,NA,NA,NA
363,NA,NA,NA,NA,NA,NA,16392.265,16392.365,NA,NA,NA,NA
364,NA,NA,NA,NA,NA,NA,16392.765,16393.265,NA,NA,NA,NA
365,NA,NA,NA,NA,NA,NA,16393.998,16394.231,NA,NA,NA,NA
366,NA,NA,NA,NA,NA,NA,16394.998,16395.031,NA,NA,NA,NA
367,NA,NA,NA,NA,NA,NA,16441.431,16441.498,NA,NA,NA,NA
368,NA,NA,NA,NA,NA,NA,16441.631,16444.098,NA,NA,NA,NA
369,NA,NA,NA,NA,NA,NA,16570.165,16577.965,NA,NA,NA,NA
370,NA,NA,NA,NA,NA,NA,16579.031,16580.031,NA,NA,NA,NA
371,NA,NA,NA,NA,NA,NA,16584.231,16584.965,NA,NA,NA,NA
372,NA,NA,NA,NA,NA,NA,16601.231,16601.431,NA,NA,NA,NA
373,NA,NA,NA,NA,NA,NA,18414.731,18415.298,NA,NA,NA,NA
