"X1","Center_start","Center_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
131,6864.3,6867.533,3485.467,3485.7,2925.267,2928.867,1970.967,1971.033,2222.8,2223,NA,NA
132,6910.1,6911.8,3504.167,3506.767,3313.433,3315.167,1972.633,1972.667,2223.033,2223.167,NA,NA
133,6935.833,6942.5,3506.8,3507,3315.233,3317.567,1972.933,1973.033,2223.367,2223.433,NA,NA
134,6954.6,6972.8,3510.9,3512.567,3317.667,3318.4,1980.733,1981.933,2223.6,2224.833,NA,NA
135,7049.366,7050.033,3578.067,3582,3318.433,3318.9,1983.5,1983.933,2224.867,2229.533,NA,NA
136,7065.966,7202.166,3684.3,3684.766,3440.667,3446.033,1985.7,1986,2500.733,2501.067,NA,NA
137,7202.166,7394.366,3791.066,3791.1,3448.4,3448.767,1986.133,1986.167,2501.233,2501.333,NA,NA
138,7446.999,7449.699,3791.266,3791.366,3466.233,3466.567,1986.4,1986.467,2501.467,2502.3,NA,NA
139,7482.832,9243.632,6383.4,6383.433,3466.833,3466.9,1986.533,1986.7,2505.1,2511.567,NA,NA
140,9266.699,9267.399,6389.966,6390.633,3468.233,3469.033,1993.233,1993.567,2511.867,2514.3,NA,NA
141,13804.398,13812.831,6390.766,6390.9,3469.267,3472.567,1995.5,1995.567,2515.167,2518.767,NA,NA
142,13822.598,13822.665,6391.7,6398.366,3472.6,3472.767,1995.6,1995.933,2618.667,2619.1,NA,NA
143,13822.765,13840.765,6399.6,6407.066,3472.833,3472.933,1999.9,2000.033,2619.233,2619.267,NA,NA
144,13867.065,13870.131,6643.133,6643.6,3473.967,3474.233,2000.133,2004.433,2619.9,2620.033,NA,NA
145,13877.265,13877.865,6643.9,6658.466,3474.567,3481.567,2012.933,2013.933,2620.233,2621.467,NA,NA
146,13886.565,13886.598,6694.566,6696.033,3481.8,3481.867,2037.167,2053.567,2638.067,2638.2,NA,NA
147,13886.731,13909.965,6696.433,6709.6,3482.867,3483,2053.767,2056.2,2728.333,2728.5,NA,NA
148,13916.265,13918.531,6782.233,6782.6,3485.367,3485.467,2057.533,2060.3,2728.567,2728.6,NA,NA
149,13918.831,13919.031,6782.7,6783.7,3485.7,3485.967,2112.4,2113.233,2728.633,2728.967,NA,NA
150,13942.665,14280.565,6783.733,6787.133,3496.933,3504.167,2119.567,2120.767,2729.067,2730.367,NA,NA
151,14280.665,14280.765,6867.966,6869.166,3506.767,3506.8,2122.4,2131.2,2736.233,2736.733,NA,NA
152,14281.765,14282.365,6869.333,6869.966,3507,3510.9,2134.867,2136.6,2946.7,2946.733,NA,NA
153,14306.631,14350.265,6870.133,6870.166,3512.567,3512.767,2137.833,2137.967,2947.067,2948.4,NA,NA
154,14354.131,14404.365,6870.766,6871.533,3575.433,3578.067,2138.4,2141,2948.567,2949.567,NA,NA
155,14404.365,14426.898,6871.733,6871.833,3582,3582.067,2146.267,2146.4,3166.367,3166.8,NA,NA
156,14432.831,14434.231,6873,6873.066,3669.133,3684.3,2146.5,2146.767,3167.233,3167.7,NA,NA
157,14459.365,14459.998,6873.166,6909.866,3684.766,3685.2,2149.433,2149.5,3168.133,3169.467,NA,NA
158,14591.498,14969.298,6943.233,6952.933,3788.266,3791.066,2150.567,2151.833,3169.8,3169.867,NA,NA
159,14984.365,15069.865,7050.5,7065.633,3791.1,3791.266,2152.033,2152.567,3169.933,3170.067,NA,NA
160,15084.798,15085.331,7450.932,7451.366,3791.366,3793.1,2152.833,2158.233,3170.467,3173.6,NA,NA
161,15119.731,15287.031,7451.432,7452.399,6382.666,6383.4,2162.967,2163.1,3176.267,3176.467,NA,NA
162,15297.031,15654.531,7452.432,7482.799,6383.433,6389.966,2169.7,2169.833,3351,3351.6,NA,NA
163,15654.698,15654.998,9244.499,9265.965,6390.633,6390.766,2170.167,2170.7,3353.167,3353.533,NA,NA
164,15655.065,15655.098,13814.798,13821.398,6390.9,6391.7,2171.233,2171.833,3354.833,3359.4,NA,NA
165,15657.898,15659.365,13822.231,13822.531,6398.366,6399.6,2176.9,2177.433,3459.433,3462,NA,NA
166,15659.498,15659.565,13822.665,13822.765,6407.066,6421.566,2178.5,2178.567,3494.6,3494.633,NA,NA
167,15659.631,15659.898,13878.298,13878.465,6641.866,6643.133,2178.633,2178.7,3494.667,3494.933,NA,NA
168,15661.098,15661.565,13878.531,13878.598,6643.6,6643.9,2178.767,2183.233,3495.933,3495.967,NA,NA
169,15672.765,15674.331,13878.665,13880.098,6658.466,6659.133,2187.3,2222.8,3541.2,3541.433,NA,NA
170,15684.765,15778.498,13880.131,13882.065,6694.066,6694.566,2223,2223.033,3592.633,3592.867,NA,NA
171,15779.065,15779.598,13882.165,13882.565,6696.033,6696.433,2223.167,2223.367,3604.4,3604.466,NA,NA
172,15823.731,15892.031,13882.665,13886.131,6709.6,6710.966,2223.433,2223.6,3687.933,3689.966,NA,NA
173,15946.365,15949.665,13886.598,13886.731,6781.6,6782.233,2224.833,2224.867,3690.1,3690.166,NA,NA
174,15970.465,16015.165,13910.298,13910.398,6782.6,6782.7,2229.533,2230.033,3690.3,3693.066,NA,NA
175,16024.098,16024.365,13911.031,13911.265,6783.7,6783.733,2429.2,2430.067,3693.233,3695.066,NA,NA
176,16027.965,16028.031,13911.898,13912.031,6787.133,6842.3,2504.933,2505.1,3695.533,3695.8,NA,NA
177,16028.298,16028.365,13912.098,13912.865,6867.533,6867.966,2511.567,2511.867,3702.433,3702.533,NA,NA
178,16030.765,16075.131,13913.065,13913.165,6869.166,6869.333,2514.3,2515.167,6599.5,6599.766,NA,NA
179,16075.865,16082.665,13913.431,13916.131,6869.966,6870.133,2518.767,2519,6599.966,6603.033,NA,NA
180,16083.931,16100.465,14427.698,14428.698,6870.166,6870.766,2638,2638.067,6603.533,6604.3,NA,NA
181,16106.798,16108.465,14428.731,14431.298,6871.533,6871.733,2638.2,2638.267,6605.066,6605.5,NA,NA
182,16108.931,16108.998,14431.498,14432.198,6871.833,6873,2715.933,2728.333,6606.333,6606.666,NA,NA
183,16109.331,16113.398,14432.265,14432.698,6873.066,6873.166,2728.5,2728.567,6607.033,6607.3,NA,NA
184,16129.165,16132.398,14461.931,14462.365,6909.866,6910.1,2728.6,2728.633,6607.366,6607.6,NA,NA
185,16141.498,16143.898,14463.465,14465.031,6942.5,6943.233,2728.967,2729.067,6607.8,6607.866,NA,NA
186,16190.431,16364.531,14465.198,14469.331,6952.933,6954.6,2730.367,2736.233,6608.833,6610.9,NA,NA
187,16367.298,16390.331,14505.031,14505.331,7050.033,7050.5,2736.733,2736.967,6627.233,6638.7,NA,NA
188,16395.031,16440.598,14505.398,14505.531,7065.633,7065.966,2932.5,2946.7,6639.733,6639.833,NA,NA
189,16451.965,16452.331,14505.598,14506.265,7449.699,7450.932,2946.733,2947.067,6660.266,6660.333,NA,NA
190,16458.231,16570.165,14506.598,14506.998,7451.366,7451.432,2948.4,2948.567,6660.466,6660.833,NA,NA
191,16601.431,18007.565,14507.265,14507.765,7452.399,7452.432,2949.567,2950.2,6662.333,6662.5,NA,NA
192,18007.565,18414.731,14508.198,14508.598,7482.799,7482.832,3130.1,3166.367,6662.6,6669.133,NA,NA
193,NA,NA,14579.298,14582.065,9243.632,9244.499,3166.8,3167.233,6669.2,6669.8,NA,NA
194,NA,NA,15086.331,15086.365,9265.965,9266.699,3167.7,3168.133,6669.866,6678.533,NA,NA
195,NA,NA,15086.598,15086.765,13812.831,13814.798,3169.467,3169.8,6711.9,6711.966,NA,NA
196,NA,NA,15086.798,15086.865,13821.398,13822.231,3169.867,3169.933,6712.366,6712.5,NA,NA
197,NA,NA,15087.165,15087.365,13822.531,13822.598,3170.067,3170.467,6718.266,6720.266,NA,NA
198,NA,NA,15291.998,15292.065,13877.865,13878.298,3173.6,3176.267,6728,6738.1,NA,NA
199,NA,NA,15292.098,15292.165,13878.465,13878.531,3176.467,3199.233,6747,6755.5,NA,NA
200,NA,NA,15892.765,15893.565,13878.598,13878.665,3326.267,3351,6755.633,6765.733,NA,NA
201,NA,NA,16121.531,16124.998,13880.098,13880.131,3351.6,3353.167,6766.2,6773.3,NA,NA
202,NA,NA,16126.365,16126.398,13882.065,13882.165,3353.533,3354.833,6843.6,6847.7,NA,NA
203,NA,NA,16126.431,16127.598,13882.565,13882.665,3359.4,3359.933,6848.3,6848.366,NA,NA
204,NA,NA,16127.665,16128.465,13886.131,13886.565,3430.1,3433.067,6848.433,6849.233,NA,NA
205,NA,NA,16144.298,16144.765,13909.965,13910.298,3462,3462.1,6849.7,6863.233,NA,NA
206,NA,NA,16169.465,16169.931,13910.398,13911.031,3486.667,3494.6,6863.6,6863.966,NA,NA
207,NA,NA,16171.165,16171.431,13911.265,13911.898,3494.633,3494.667,6864.066,6864.2,NA,NA
208,NA,NA,16171.865,16171.998,13912.031,13912.098,3494.933,3495.933,6913.866,6917.6,NA,NA
209,NA,NA,16172.298,16172.565,13912.865,13913.065,3495.967,3496.133,6919.6,6919.966,NA,NA
210,NA,NA,16172.598,16173.065,13913.165,13913.431,3592.967,3598.2,6920.633,6922.166,NA,NA
211,NA,NA,16173.298,16174.731,13916.131,13916.265,3598.2,3604.4,6922.5,6922.633,NA,NA
212,NA,NA,16365.331,16366.798,14426.898,14427.698,3604.466,3608.066,6922.7,6923.666,NA,NA
213,NA,NA,16453.565,16454.031,14428.698,14428.731,3685.633,3687.933,6925.533,6925.933,NA,NA
214,NA,NA,NA,NA,14431.298,14431.498,3689.966,3690.1,6973.833,6973.9,NA,NA
215,NA,NA,NA,NA,14432.198,14432.265,3690.166,3690.3,6973.933,6974.133,NA,NA
216,NA,NA,NA,NA,14432.698,14432.831,3693.066,3693.233,6978.533,7007.166,NA,NA
217,NA,NA,NA,NA,14459.998,14461.931,3695.066,3695.533,7007.366,7008.9,NA,NA
218,NA,NA,NA,NA,14462.365,14463.465,3695.8,3695.966,7009.233,7016.433,NA,NA
219,NA,NA,NA,NA,14465.031,14465.198,3702.833,3709,7017.233,7019.233,NA,NA
220,NA,NA,NA,NA,14469.331,14505.031,6599.766,6599.966,7022.3,7025.3,NA,NA
221,NA,NA,NA,NA,14505.331,14505.398,6603.033,6603.533,7025.366,7025.433,NA,NA
222,NA,NA,NA,NA,14505.531,14505.598,6604.3,6605.066,7025.966,7027.9,NA,NA
223,NA,NA,NA,NA,14506.265,14506.598,6605.5,6606.333,7037.9,7049.366,NA,NA
224,NA,NA,NA,NA,14506.998,14507.265,6606.666,6607.033,7400.266,7403.999,NA,NA
