"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
65,1842.7,1843.6,631.8,632.8,2101.166,2102.566,757.466,757.533,833.9,835.466,NA,NA
66,1845.766,1847,761.666,762.4,2104.066,2126.1,758.7,760.5,977.333,977.466,NA,NA
67,1848.266,1849.2,763.6,768.8,2127.866,2128.133,817.733,820.933,977.533,978.2,NA,NA
68,1858.733,1906.966,769.266,769.4,2128.2,2128.3,833.266,833.8,978.933,979.133,NA,NA
69,1975.366,1977.3,789.5,806.933,2128.4,2132.833,833.833,833.9,979.2,980.533,NA,NA
70,2012.366,2017.066,813.5,814.666,2157.1,2160.166,835.466,848.333,981.2,983.066,NA,NA
71,2018.033,2026.666,884.866,884.966,2160.233,2160.266,977.133,977.333,983.2,983.6,NA,NA
72,2091.766,2100.933,885.2,891.466,2160.3,2161.066,977.466,977.533,983.733,984.666,NA,NA
73,2182.366,2184,929.366,932.633,2180.566,2181.666,978.2,978.933,984.733,986.266,NA,NA
74,2209.033,2231.666,949.6,970.4,2340,2355.8,979.133,979.2,989.466,991.933,NA,NA
75,2237.3,2244.033,974.466,976.4,2356.4,2358.266,980.533,981.2,992,996.266,NA,NA
76,2273.633,2277.2,1011.466,1027,2488.299,2488.799,983.066,983.2,996.333,997.266,NA,NA
77,2278.7,2284.633,1059.4,1068.4,2488.866,2488.999,983.6,983.733,998.4,999.6,NA,NA
78,2323.9,2339.3,1068.6,1068.666,2489.033,2489.699,984.666,984.733,999.666,999.866,NA,NA
79,2381.3,2382.066,1068.933,1069,2489.733,2502.933,986.266,989.466,1000.066,1000.4,NA,NA
80,2400.7,2410.066,1093.233,1093.866,2506.266,2506.299,991.933,992,1000.533,1000.933,NA,NA
81,2413.433,2425.066,1209.2,1210.266,2506.399,2506.999,996.266,996.333,1117.4,1132.4,NA,NA
82,2430.666,2443.033,1210.366,1210.466,2507.133,2507.466,997.266,998.4,1132.466,1134.433,NA,NA
83,2446.166,2460.1,1221.5,1226.8,2507.533,2511.033,999.6,999.666,1135.266,1135.466,NA,NA
84,2467.299,2472.333,1230.366,1231.933,2511.299,2511.366,999.866,1000.066,1136.666,1137.9,NA,NA
85,2612.266,2620.533,1260.833,1260.966,2512.166,2599.266,1000.4,1000.533,1138.9,1139.133,NA,NA
86,2649.166,2653.433,1264.8,1269.833,2599.733,2600.133,1000.933,1007.6,1139.166,1155.4,NA,NA
87,2700.899,2701.733,1277.133,1281.766,2600.866,2610.799,1042.133,1042.6,1155.833,1164.4,NA,NA
88,2723.099,2766.733,1282.1,1282.133,2702.366,2715.766,1044.466,1054.4,1166.233,1166.266,NA,NA
89,2863.266,2871.866,1474.966,1475.733,2889.899,2895.899,1114.1,1117.4,1169.366,1172.9,NA,NA
90,2872.866,2873.399,1476.033,1476.766,2901.633,2901.699,1132.4,1132.466,1173.1,1173.366,NA,NA
91,2876.066,2886.699,1582.1,1591.233,2901.766,2902.099,1134.433,1135.266,1174.3,1175.9,NA,NA
92,2905.366,2912.033,1591.766,1591.8,3037.799,3038.099,1135.466,1136.666,1181.633,1182,NA,NA
93,3036.766,3037.366,1713.8,1714.5,3327.999,3355.366,1137.9,1138.9,1478.433,1479.133,NA,NA
94,3104.366,3136.033,1788.533,1789.333,3476.499,3476.566,1139.133,1139.166,1479.366,1485.566,NA,NA
95,3256.033,3265.033,1816.766,1842.7,3476.633,3476.833,1155.4,1155.833,1486.333,1492.733,NA,NA
96,3326.233,3327.399,2017.1,2017.266,3479.699,3480.099,1164.4,1166.233,1715.566,1715.766,NA,NA
97,3355.933,3362.299,2017.333,2017.366,3480.233,3535.699,1166.266,1169.366,1715.8,1719.833,NA,NA
98,3372.899,3372.966,2017.866,2018.033,3821.199,3822.732,1172.9,1173.1,1719.9,1719.933,NA,NA
99,3373.133,3374.166,2100.933,2101.166,3913.099,3913.332,1173.366,1174.3,1720,1720.2,NA,NA
100,3379.766,3390.633,2102.566,2104.066,3913.832,3927.999,1175.9,1181.633,1720.266,1720.666,NA,NA
101,3475.499,3476.166,2126.1,2127.866,3937.632,3939.265,1182,1193.433,1721.133,1721.166,NA,NA
102,3556.099,3606.365,2128.133,2128.2,3941.632,3941.665,1477.9,1478.433,1721.233,1737.433,NA,NA
103,3608.365,3610.099,2128.3,2128.4,3941.932,3943.132,1479.133,1479.366,1738.033,1738.066,NA,NA
104,3635.365,3678.432,2132.833,2157.1,4219.565,7136.565,1485.566,1486.333,1738.133,1738.4,NA,NA
105,3678.465,3678.565,2160.166,2160.233,7136.565,9622.365,1492.733,1523.3,1741.133,1747.633,NA,NA
106,3678.665,3678.799,2160.266,2160.3,9638.431,9648.098,1715.533,1715.566,1747.7,1748.4,NA,NA
107,3678.832,3678.899,2161.066,2180.566,9719.031,9719.065,1715.766,1715.8,1756.8,1757.1,NA,NA
108,3687.099,3687.399,2181.666,2182.366,9719.265,9719.565,1719.833,1719.9,1757.833,1759.966,NA,NA
109,3732.399,3733.199,2231.666,2237.3,9720.965,9762.031,1719.933,1720,1850.333,1850.366,NA,NA
110,3734.532,3735.532,2277.2,2278.7,9762.998,9763.265,1720.2,1720.266,1850.433,1854.333,NA,NA
111,3741.265,3741.465,2339.3,2340,9763.331,9763.398,1720.666,1721.133,1854.366,1855.333,NA,NA
112,3753.765,3772.432,2355.8,2356.4,9765.631,9766.831,1721.166,1721.233,1857.133,1857.866,NA,NA
113,3806.932,3817.599,2358.266,2381.3,9767.998,9768.065,1737.433,1738.033,1858.266,1858.533,NA,NA
114,3819.932,3820.732,2443.033,2446.166,9768.131,9768.231,1738.066,1738.133,1907.066,1907.1,NA,NA
