"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Right_start","Right_stop"
66,2935.431,2939.798,1635.665,1635.731,2227.265,2227.531,1280.612,1306.346,1939.431,1995.065
67,2943.831,2946.231,1648.398,1648.698,2227.565,2227.965,1302.097,1307.846,2045.431,2045.731
68,2950.565,2951.165,1656.231,1656.631,2228.631,2228.798,1306.847,1311.345,2045.898,2046.065
69,2988.265,2989.431,1756.431,1756.531,2234.131,2234.198,1309.597,1575.031,2046.131,2046.531
70,3000.265,3007.131,1786.831,1787.031,2236.131,2236.498,1574.698,1580.198,2054.531,2054.698
71,3018.498,3024.731,1787.065,1790.998,2236.631,2236.665,1580.065,1585.398,2054.898,2078.165
72,3024.898,3024.965,1791.198,1791.431,2236.765,2238.465,1580.298,1625.498,2080.831,2083.965
73,3078.731,3083.698,1792.065,1793.598,2238.698,2239.098,1623.898,1626.698,2086.198,2088.931
74,3086.131,3090.431,1794.398,1794.531,2239.198,2239.298,1626.131,1627.031,2088.998,2089.465
75,3092.765,3094.198,1794.698,1794.731,2239.598,2239.798,1626.765,1635.665,2101.065,2102.131
76,3098.998,3100.598,1795.031,1804.165,2240.031,2290.265,1635.598,1648.398,2136.065,2137.398
77,3104.931,3105.531,1804.431,1804.498,2313.165,2313.431,1635.731,1652.298,2146.465,2146.798
78,3114.198,3114.798,1812.031,1812.165,2313.898,2317.398,1648.698,1656.231,2147.198,2147.265
79,3118.365,3130.765,1813.265,1813.998,2342.665,2347.198,1652.898,1656.965,2147.331,2150.998
80,3245.398,3246.331,1846.531,1846.665,2349.931,2350.031,1656.631,1787.065,2151.298,2151.331
81,3268.498,3280.298,1847.365,1847.465,2350.565,2351.165,1787.031,1791.198,2151.531,2151.598
82,3285.531,3329.798,1881.065,1888.398,2351.265,2351.465,1790.998,1792.065,2151.631,2152.398
83,3358.331,3359.531,2010.165,2010.231,2351.698,2353.198,1791.431,1794.398,2152.565,2152.665
84,3377.598,3383.298,2010.598,2011.198,2358.198,2358.565,1793.598,1794.698,2152.731,2154.198
85,3387.498,3390.398,2011.565,2011.598,2422.431,2422.631,1794.531,1795.031,2207.231,2207.431
86,3391.898,3392.631,2011.998,2012.131,2422.898,2423.065,1794.731,1804.431,2208.265,2227.265
87,3395.365,3399.798,2015.031,2021.198,2423.665,2423.765,1804.165,1812.031,2227.531,2227.565
88,3411.098,3413.498,2042.098,2042.131,2423.865,2424.065,1804.498,1813.265,2227.965,2228.631
89,3428.431,3428.898,2042.198,2042.731,2424.131,2435.931,1812.165,1846.531,2228.798,2234.131
90,3444.798,3447.631,2043.031,2043.498,2436.098,2437.065,1813.998,1847.365,2234.198,2236.131
91,3447.931,3448.098,2043.731,2044.498,2437.598,2437.665,1846.665,1848.698,2236.498,2236.631
92,3467.798,3469.365,2106.598,2118.965,2437.698,2437.765,1847.465,1881.065,2236.665,2236.765
93,3512.031,3513.198,2119.065,2120.931,2441.098,2451.098,1879.498,1889.198,2238.465,2238.698
94,3577.265,3584.631,2121.465,2121.498,2491.931,2491.965,1888.398,2010.165,2239.098,2239.198
95,3599.498,3608.931,2122.065,2122.331,2491.998,2492.131,2006.065,2010.598,2239.298,2239.598
96,3664.631,3666.298,2122.365,2122.698,2492.331,2492.465,2010.231,2011.565,2239.798,2240.031
97,3686.898,3692.931,2142.798,2144.865,2492.598,2495.165,2011.198,2011.998,2290.265,2313.165
98,3700.665,3701.065,2144.898,2145.798,2495.331,2495.398,2011.598,2015.031,2313.431,2313.898
99,3751.731,3752.598,2329.331,2329.398,2495.498,2495.598,2012.131,2022.331,2317.398,2319.998
100,3759.665,3767.498,2329.431,2329.565,2495.631,2497.665,2021.198,2037.531,2342.065,2342.665
101,3780.531,3781.765,2329.765,2329.965,2548.731,2550.098,2028.198,2042.098,2347.198,2349.931
102,3799.398,3810.365,2331.165,2338.398,2550.198,2551.465,2040.531,2042.198,2350.031,2350.565
